ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
600981.SH,20221223,2.79,0.3523,1.0808,0.76,25.1617,,1.1775,0.1382,0.1443,1.2545,1.2545,224243.3192,224243.3192,73085.2181,625638.8606,625638.8606
300888.SZ,20221223,68.61,2.3202,2.7951,1.25,23.611,21.1188,2.5734,3.6407,2.9678,2.6235,1.291,42649.2308,13599.6985,11288.7832,2926163.7252,933075.3141
600176.SH,20221223,13.65,0.3956,0.6888,0.8,9.0641,7.5461,2.0559,2.7728,2.4868,1.4357,3.5165,400313.6728,400313.6728,229917.2063,5464281.6337,5464281.6337
600637.SH,20221223,6.66,0.3391,0.6277,0.95,12.2241,19.4644,0.7743,2.5075,3.111,3.9916,3.9916,341450.0201,341450.0201,184466.977,2274057.1339,2274057.1339
300857.SZ,20221223,17.25,0.6917,1.2388,0.84,28.2174,25.7533,2.5287,1.2038,1.2555,0.2899,0.4058,20655.7782,14173.8782,7913.7999,356312.174,244499.399
600032.SH,20221223,11.18,1.003,1.003,0.76,51.1132,25.6154,2.6793,7.9925,5.3027,0.0,0.4025,208000.0,20800.0,20800.0,2325440.0,232544.0
300138.SZ,20221223,16.97,1.4649,1.5633,0.98,25.7206,21.0916,2.9388,1.8551,1.3985,0.5893,0.7661,53277.3991,42712.4244,40022.439,904117.4627,724829.8421
300868.SZ,20221223,15.48,0.6805,0.7024,0.61,74.9973,,1.156,2.7713,2.5743,2.4548,,12800.0,6154.6903,5962.8319,198144.0,95274.6058
688078.SH,20221223,31.67,1.4003,1.4003,0.93,35.8533,29.8062,3.6769,7.7752,6.7862,0.682,0.8384,7141.0,3564.4124,3564.4124,226155.47,112884.9407
002230.SZ,20221223,33.36,0.8749,1.0942,1.46,49.8055,62.119,4.8646,4.2329,3.8555,0.5738,0.2998,232375.2783,211894.0554,169436.5184,7752039.2841,7068785.6881
300984.SZ,20221223,21.09,1.6997,2.2751,1.02,25.7569,28.6071,2.5343,1.8085,1.5157,1.4817,2.3708,7680.0,2972.1792,2220.4992,161971.2,62683.2593
