ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
603848.SH,20250430,14.36,0.5401,4.6897,1.31,23.3421,25.6176,2.3433,3.7254,3.8065,2.0904,2.0904,40391.1511,40240.6511,4634.6511,580016.9298,577855.7498
300290.SZ,20250430,16.3,2.854,3.5686,1.0,,,13.1076,13.5867,13.5756,0.0,,63973.2569,63922.1969,51122.1969,1042764.0875,1041931.8095
603877.SH,20250430,15.9,0.3794,1.2707,0.98,29.1494,33.6975,1.6522,1.1075,1.1304,3.7471,3.7471,47382.5333,46932.3226,14014.3219,753382.2795,746223.9293
920639.BJ,20250430,8.37,6.1158,7.8866,0.87,70.0984,215.1863,2.0171,0.8405,0.8329,1.1835,1.1835,20160.0,11721.5883,9089.7537,168739.2,98109.6941
000909.SZ,20250430,5.72,0.6104,1.0424,0.55,,,2.3539,7.7727,8.2925,0.0,,43771.4245,43771.057,25634.2299,250372.5481,250370.446
688060.SH,20250430,33.58,0.5573,2.0256,0.99,,,2.2319,6.8059,7.1769,,,6019.0728,6019.0728,1656.0528,202120.4646,202120.4646
600331.SH,20250430,6.67,0.9526,1.5122,1.19,375.3348,2396.2113,37.9984,3.9754,3.854,0.0,,203200.0,203200.0,128005.6962,1355344.0,1355344.0
688281.SH,20250430,72.6,0.7055,1.0952,0.56,34.1483,39.0274,3.0643,12.4071,12.4744,0.3345,0.5026,19469.3339,12168.3339,7838.5221,1413473.6411,883421.0411
002675.SZ,20250430,14.95,1.257,1.5767,0.69,67.0619,85.4727,2.7423,4.297,4.2383,1.1706,1.1706,82459.5705,74338.3994,59266.9525,1232770.579,1111359.071
920001.BJ,20250430,20.71,5.8791,13.0506,1.78,96.5761,100.242,4.1346,14.611,14.9938,0.4828,0.4828,15365.6204,8869.102,3995.4151,318221.9985,183679.1024
603818.SH,20250430,2.88,3.5644,6.1493,1.33,,,0.9046,0.5585,0.5599,0.6944,0.6944,68886.1855,68654.3855,39795.3283,198392.2142,197724.6302
002485.SZ,20250430,2.74,0.5151,2.0947,0.64,,,1.2199,1.8103,1.7065,0.0,,54400.0,54400.0,13377.7333,149056.0,149056.0
600480.SH,20250430,17.51,3.9025,6.6123,1.27,25.1197,25.3697,2.1139,0.874,0.8722,1.9993,1.9993,94027.729,92598.109,54650.7928,1646425.5348,1621392.8886
002577.SZ,20250430,20.5,4.634,11.0654,3.17,157.1561,151.4823,4.9151,13.1997,13.1263,0.0,,28175.68,28174.18,11798.8922,577601.44,577570.69
002281.SZ,20250430,42.71,2.3232,3.8655,0.93,51.2529,46.1732,3.6537,4.0973,3.6827,0.5624,0.5624,79359.2652,77303.8822,46459.9232,3389434.2167,3301648.8088
603276.SH,20250430,12.77,3.711,4.3275,1.05,76.0812,85.6873,1.5211,3.6311,3.4742,1.198,1.198,20764.9497,7764.9497,6658.6908,265168.4077,99158.4077
002556.SZ,20250430,5.38,2.5827,4.1794,0.73,30.1461,36.2996,1.3702,0.3253,0.3281,3.6099,3.6099,94651.808,93508.9313,57784.4988,509226.727,503078.0504
300245.SZ,20250430,16.26,7.0609,8.6949,1.26,,,3.9819,11.8981,9.9729,0.0,,31345.7493,31127.6445,25277.9852,509681.8836,506135.4996
002630.SZ,20250430,3.44,0.0687,0.0713,0.01,,,24.9836,1.5663,1.6452,0.0,,118080.0,106362.984,102506.092,406195.2,365888.665
002703.SZ,20250430,11.59,2.6876,5.5439,0.88,63.9355,54.1478,4.7867,3.5398,3.2676,0.2098,0.2098,82263.2384,58604.8074,28411.3281,953430.9331,679229.7178
688350.SH,20250430,14.47,1.1059,2.394,1.12,,,1.3182,1.129,1.1563,1.6676,1.6676,12215.0099,12215.0099,5642.8067,176751.1933,176751.1933
300876.SZ,20250430,22.65,1.3536,3.0734,0.72,,,2.9882,4.4151,4.2642,0.8788,0.8788,9600.2282,6838.7282,3011.9282,217445.1687,154897.1937
603048.SH,20250430,17.04,1.1579,4.5087,0.79,46.9022,50.807,1.9308,3.882,3.8261,2.4545,2.4545,14688.0,14688.0,3772.0,250283.52,250283.52
601015.SH,20250430,2.9,0.4845,1.3011,0.78,,,0.9657,0.4062,0.4542,0.0,,204249.7639,204249.7639,76062.3145,592324.3153,592324.3153
603270.SH,20250430,24.85,11.4605,11.4605,1.28,54.6982,49.7263,2.4846,4.0173,3.7193,1.006,1.4085,21910.6667,7071.6667,7071.6667,544480.0675,175730.9175
301071.SZ,20250430,27.4,1.1681,1.7441,0.66,35.5108,65.2305,1.3446,10.3924,12.6003,2.4976,2.4976,26027.2313,19459.4167,13032.3102,713146.1376,533188.0176
601666.SH,20250430,8.22,0.5704,1.0516,0.83,8.6594,11.5545,0.8489,0.6719,0.7415,11.9218,11.9218,247515.0991,246935.3191,133929.7544,2034574.1146,2029808.323
300789.SZ,20250430,26.1,3.8687,6.5464,0.7,51.4724,51.2447,3.5969,5.863,5.9676,0.8606,0.8606,14372.0076,9882.173,5839.9634,375109.3984,257924.7153
301192.SZ,20250430,19.03,2.6101,4.9213,0.87,45.43,46.8318,3.1707,4.5022,4.4771,1.051,1.051,9990.0,4786.875,2538.75,190109.7,91094.2313
003001.SZ,20250430,40.98,3.2808,4.5639,0.7,83.2114,75.6086,4.2765,6.5909,6.3859,0.2889,0.2889,12673.1886,7341.0401,5277.2537,519347.2688,300835.8233
603730.SH,20250430,8.0,0.6325,3.291,1.95,16.4826,16.2026,2.6784,2.0734,2.0722,3.8462,3.8462,165275.645,165275.645,31764.1048,1322205.16,1322205.16
688707.SH,20250430,11.38,0.6288,0.9773,0.68,,,1.3396,2.9521,3.6265,0.4394,0.4394,50874.0205,50874.0205,32731.484,578946.3533,578946.3533
300752.SZ,20250430,18.47,2.3038,2.7909,0.56,39.1088,35.6088,3.4978,3.1514,3.0477,0.0,,22524.3456,15397.925,12710.5699,416024.6632,284399.6748
920873.BJ,20250430,5.29,6.9298,7.3998,0.61,,,2.6682,11.1407,11.575,,,15338.7002,11020.3517,10320.3517,81141.7241,58297.6605
920792.BJ,20250430,11.6,4.3074,6.8193,0.47,36.8433,35.1739,1.9132,2.8137,2.8989,,,16554.0,10035.8838,6339.0483,192026.4,116416.2521
002186.SZ,20250430,10.4,2.5427,4.536,0.84,93.5217,138.5516,3.7863,2.2762,2.3191,0.0,,30692.1588,30651.1338,17181.9862,319198.4515,318771.7915
605020.SH,20250430,21.68,1.1921,2.67,0.97,40.5839,32.7447,2.2677,2.2147,2.1561,0.5593,0.5593,47048.9868,37912.1447,16926.4984,1020022.0338,821935.2971
300490.SZ,20250430,7.27,1.5977,2.0415,0.9,,,1.2522,1.5181,1.9703,0.0,,39867.0674,39326.0612,30777.2363,289833.58,285900.4649
688176.SH,20250430,8.3,1.4196,1.422,0.56,,,2.5021,23.4716,19.8495,,,57000.0,37828.0953,37764.2724,473100.0,313973.191
300306.SZ,20250430,11.91,2.9419,3.8342,1.03,34.6839,35.3944,2.0718,7.346,7.4355,2.5189,2.5189,26895.8778,15756.4939,12089.4799,320329.9046,187659.8423
600794.SH,20250430,3.98,16.7632,28.8645,0.76,22.7702,28.6821,1.8403,5.308,5.6694,3.1407,3.1407,120015.2157,120015.2157,69699.5087,477660.5585,477660.5585
300844.SZ,20250430,53.84,3.4229,13.1308,0.68,121.5852,199.6459,4.5534,7.5779,7.5053,0.0,,6464.0,6237.5,1626.0,348021.76,335827.0
300665.SZ,20250430,7.23,4.9529,4.9529,1.38,,,3.6699,2.6416,2.6113,0.6918,0.6918,18943.3145,14018.9402,14018.9402,136960.1638,101356.9376
002196.SZ,20250430,10.51,29.4537,35.7862,1.97,,,3.7601,2.1067,2.0692,0.0,,49587.193,48841.0407,40198.441,521161.3984,513319.3378
000090.SZ,20250430,3.56,1.1883,1.9667,0.81,10.7192,11.8038,0.5825,0.3115,0.3095,7.0225,7.0225,186854.5434,186845.9934,112899.5706,665202.1745,665171.7365
600429.SH,20250430,4.36,1.9518,7.2608,0.78,120.0474,94.8665,1.2997,0.9383,0.9942,1.1239,1.1239,150917.6043,149755.7426,40256.6929,658000.7547,652935.0377
300077.SZ,20250430,24.76,5.3334,5.3334,0.97,,,14.9129,12.3662,11.6341,0.0,,58312.67,56702.99,56702.99,1443821.7092,1403966.0324
301509.SZ,20250430,29.93,14.2606,16.3136,0.72,93.3704,52.0303,1.641,7.2533,6.5662,1.9092,1.9092,12044.6669,5674.0928,4960.0428,360496.8803,169825.5975
300105.SZ,20250430,6.87,1.8438,3.179,0.66,54.2775,38.0859,1.7986,2.776,2.7192,2.1846,2.1846,51581.442,51321.3525,29766.2805,354364.5065,352577.6917
603239.SH,20250430,13.44,0.7722,1.8335,0.93,21.1876,19.5124,2.9658,2.9714,2.803,2.381,2.381,27072.0,27072.0,11400.91,363847.68,363847.68
603906.SH,20250430,9.74,1.5462,2.6573,1.55,,,2.2673,0.8442,0.8315,0.0,,66507.8903,56507.8903,32879.8059,647786.8515,550386.8515
002765.SZ,20250430,15.76,12.0542,15.9278,1.23,82.6966,73.047,4.0806,2.9067,2.8577,0.0,0.3173,65212.809,59591.0765,45098.4045,1027753.8698,939155.3656
603929.SH,20250430,28.52,0.8821,2.247,0.47,9.569,10.1238,3.1743,1.1309,1.1886,3.5063,3.5063,21336.0,21336.0,8376.0,608502.72,608502.72
