ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
601001.SH,20210319,5.03,1.4203,3.3385,0.92,9.3806,8.5618,1.1374,0.7412,0.7914,0.0,,167370.0,167370.0,71206.7492,841871.1,841871.1
300832.SZ,20210319,97.7,4.1418,4.1418,1.42,52.1436,44.2405,8.9617,23.9575,19.5095,1.5353,1.5353,41235.0,4120.0,4120.0,4028659.5,402524.0
600400.SH,20210319,3.29,0.233,0.4869,0.83,49.1674,53.6108,2.2376,3.2814,3.3948,1.4306,1.4306,253325.6912,253325.6912,121209.435,833441.524,833441.524
600111.SH,20210319,19.87,4.1707,6.5761,0.86,117.134,108.8815,7.1674,3.9902,3.6951,0.0,,363306.6,363306.6,230416.5761,7218902.142,7218902.142
000627.SZ,20210319,4.05,0.2863,0.7669,1.32,11.267,14.983,0.9621,0.3987,0.472,2.4691,2.4691,494062.9165,446250.4165,166586.6288,2000954.8118,1807314.1868
300621.SZ,20210319,11.2,9.4243,23.7507,0.79,26.5521,82.3192,2.4148,0.9374,1.154,0.625,0.625,20810.8,19344.611,7675.9896,233080.96,216659.6432
300919.SZ,20210319,72.89,4.8056,4.8056,0.74,230.8985,166.4809,11.6703,7.8178,7.0971,,,56965.0,4283.807,4283.807,4152178.85,312246.6922
600776.SH,20210319,12.18,1.3447,3.1324,0.6,116.1776,122.4871,4.8897,5.7014,5.6305,0.3284,0.3284,125600.0064,95600.0064,41038.4512,1529808.078,1164408.078
002989.SZ,20210319,41.9,2.2806,2.2806,0.93,34.6205,32.7025,3.9751,2.7114,2.4051,0.9547,0.9547,15140.0,3785.0,3785.0,634366.0,158591.5
002880.SZ,20210319,45.98,0.1783,0.6548,1.01,43.4724,40.7231,4.8546,9.0676,8.3216,0.464,0.464,16200.0,16141.365,4396.365,744876.0,742179.9627
603031.SH,20210319,27.75,0.7993,1.9435,3.06,203.4264,382.4795,4.983,1.6376,1.7154,0.0,,11200.0,11200.0,4606.0004,310800.0,310800.0
002792.SZ,20210319,15.43,0.5017,0.651,0.82,206.7438,,2.5807,3.1825,3.4691,0.1296,0.1296,33784.02,17396.0467,13406.8591,521287.4286,268421.0006
603040.SH,20210319,29.63,0.4519,1.0522,0.97,23.4981,20.4618,3.5465,9.1194,8.7238,1.2983,1.2983,10330.5779,10330.5779,4436.5779,306095.0232,306095.0232
