ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
688560.SH,20210930,28.0,5.2923,5.2923,0.82,43.5538,41.124,3.4073,5.0014,3.8477,,0.7143,16408.7736,3486.87,3486.87,459445.6608,97632.36
002766.SZ,20210930,4.5,0.3135,0.4758,0.57,,,,1.849,1.843,0.0,,42175.4014,29547.6352,19467.4134,189789.3063,132964.3584
000822.SZ,20210930,10.77,3.5599,5.9667,0.6,,71.7094,3.0112,2.6142,2.1486,0.8357,1.0214,89509.1926,89509.1926,53404.3048,964014.0043,964014.0043
688588.SH,20210930,15.45,0.2842,0.4872,0.49,30.7857,30.4611,5.1815,9.8083,9.193,1.2945,1.2945,40001.0003,25190.076,14691.1351,618015.4546,389186.6742
300812.SZ,20210930,20.24,1.0227,1.1711,0.66,47.8982,38.6984,3.5115,6.563,6.4948,1.3724,0.4117,13952.1029,6054.6029,5287.2707,282390.5627,122545.1627
002433.SZ,20210930,6.47,3.5635,5.2377,0.69,223.2113,9.6257,0.8641,1.385,1.5585,0.2334,,76677.32,74438.57,50645.4276,496102.2604,481617.5479
600386.SH,20210930,3.63,0.5268,1.1707,0.7,42.9334,23.3787,1.659,0.6469,0.6075,1.1019,2.2039,80640.0,80640.0,36288.0,292723.2,292723.2
605116.SH,20210930,13.34,0.6292,1.1867,0.68,34.023,39.006,3.7614,7.4148,7.2236,,0.8996,40100.0,7733.12,4100.0,534934.0,103159.8208
002651.SZ,20210930,12.92,0.919,1.9089,1.01,69.6589,50.5244,5.8729,16.3045,12.5159,0.4572,1.935,103346.0,55588.7641,26762.628,1335230.32,718206.8322
300971.SZ,20210930,36.91,5.176,5.176,0.86,37.0011,28.7055,3.6087,8.5142,7.7043,,1.0837,8400.0,1991.4911,1991.4911,310044.0,73505.9365
300808.SZ,20210930,13.94,1.156,1.156,0.57,58.1753,63.0093,2.0455,3.1612,3.0499,0.4878,0.2152,16000.0,4960.0,4960.0,223040.0,69142.4
603809.SH,20210930,16.02,0.5998,1.0161,0.44,27.4463,21.5938,2.6655,4.1444,3.4288,0.8618,1.3376,30288.748,29677.648,17520.762,485225.743,475435.921
603010.SH,20210930,24.0,2.7241,4.394,0.54,29.6184,16.2686,6.0362,4.9987,3.3892,0.4466,1.1905,48527.2654,48352.0414,29976.1207,1164654.3696,1160448.9936
600107.SH,20210930,5.56,0.848,1.0651,0.79,15.2749,11.2452,2.7166,5.9058,4.7434,0.0,,36000.0,36000.0,28661.1262,200160.0,200160.0
603279.SH,20210930,32.82,1.6387,1.8809,0.96,26.269,21.7493,4.725,4.061,3.3239,1.7753,2.1149,41194.95,19031.0651,16580.4851,1352018.259,624599.5566
002737.SZ,20210930,13.83,0.291,0.7293,0.53,13.8193,12.3369,2.4664,2.333,2.0378,7.2112,2.4998,58400.0,58400.0,23303.5135,807672.0,807672.0
002193.SZ,20210930,5.43,0.3809,0.8042,0.87,279.0239,,0.5445,1.8075,2.5456,0.0,0.1842,26171.555,26093.0713,12357.0846,142111.5437,141685.3772
603393.SH,20210930,36.06,8.6024,14.6219,0.81,37.7824,13.7273,4.0729,6.4211,5.9285,1.3212,1.383,37612.7962,37612.7962,22128.5449,1356317.431,1356317.431
301009.SZ,20210930,20.89,4.446,4.446,0.22,26.5368,37.8509,3.9374,3.4732,3.8735,,,27186.0,5800.9264,5800.9264,567915.54,121181.3525
002313.SZ,20210930,10.78,1.9187,3.4568,1.36,,,1.4958,1.0668,1.0132,0.0,,37440.0,37369.2043,20741.9493,403603.2,402840.0224
002385.SZ,20210930,7.56,2.0008,3.0931,0.82,16.0084,20.0509,2.6944,1.3723,1.0762,3.0192,0.6477,414128.1853,317980.6564,205686.2769,3130809.0809,2403933.7624
300652.SZ,20210930,18.02,0.6708,1.4885,0.54,28.5706,24.6981,1.8356,3.876,3.4556,1.2977,2.7747,9408.0115,8350.6071,3763.6,169532.3672,150477.9399
603609.SH,20210930,9.93,0.5763,1.449,0.87,7.412,10.3976,1.3433,0.3844,0.3316,2.2157,2.2155,92196.0196,90856.2905,36135.1492,915506.4746,902202.9647
002238.SZ,20210930,5.64,0.1455,0.4237,0.53,24.8528,28.1506,2.0485,2.5955,2.5747,13.6388,1.773,80255.916,80255.916,27562.3499,452643.3662,452643.3662
300799.SZ,20210930,48.91,0.5528,0.6552,0.8,53.3175,46.7298,7.0409,24.8739,20.215,0.2724,0.276,10208.0,3263.3625,2753.3625,499273.28,159611.0599
605183.SH,20210930,16.49,3.2847,3.2847,0.69,35.6048,27.9484,2.9346,6.5253,5.2221,,3.0062,41758.79,4872.0375,4872.0375,688602.4471,80339.8984
688038.SH,20210930,18.48,1.4105,1.4105,0.59,38.8224,37.7427,3.0092,4.3361,4.0032,,,11637.34,2366.6426,2366.6426,215058.0432,43735.5552
603128.SH,20210930,12.72,0.4366,0.8053,0.69,31.3992,22.6937,3.5151,1.1818,0.9561,0.2976,1.9112,130946.2971,130946.2971,70981.8144,1665636.8991,1665636.8991
300920.SZ,20210930,30.81,1.5745,1.6601,0.66,24.269,25.4848,2.7095,7.097,6.3379,,1.2983,10000.0,2500.0,2371.0644,308100.0,77025.0
600536.SH,20210930,49.38,0.8164,1.1611,0.56,357.9271,208.6881,12.6278,3.2966,2.8249,0.081,0.0851,49456.2782,49456.2782,34771.7436,2442151.0175,2442151.0175
600268.SH,20210930,10.25,7.188,15.8166,1.0,105.6095,60.7461,3.0444,1.4162,1.2522,0.4878,0.4878,69526.5184,69526.5184,31596.9712,712646.8136,712646.8136
300588.SZ,20210930,13.18,7.4298,9.0427,0.56,,,7.6476,7.9511,7.881,0.0455,,16317.8,10495.4975,8623.4975,215068.604,138330.6571
600009.SH,20210930,44.25,0.6219,0.755,0.7,,,2.9945,19.8138,23.4434,1.7853,,192695.8448,109347.6397,90078.0553,8526791.1324,4838633.0567
603028.SH,20210930,8.23,0.443,0.908,0.54,43.9328,37.0281,3.0962,3.1477,2.6721,0.1869,0.701,28704.0,28704.0,14003.7164,236233.92,236233.92
603112.SH,20210930,10.9,0.6049,0.8579,0.47,19.4017,15.1916,2.5399,2.439,1.861,,1.5596,43609.049,15386.4926,10848.9926,475338.6341,167712.7693
002421.SZ,20210930,3.54,0.4333,0.5365,0.35,21.597,20.0171,2.1377,2.1206,2.0069,0.8525,1.1306,192348.8229,178269.793,143958.6791,680914.8331,631075.0672
600736.SH,20210930,4.24,0.2973,0.529,0.67,16.1608,12.0176,0.689,0.4862,0.4691,1.2264,0.9434,115129.2907,115129.2907,64709.8013,488148.1926,488148.1926
688311.SH,20210930,62.57,0.4115,0.4878,0.56,67.0224,58.8073,4.2397,16.9527,15.1395,0.5594,,11467.0,6597.868,5565.188,717490.19,412828.6008
