ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
688348.SH,20251031,54.31,3.0779,8.2955,1.93,60.6053,148.7296,2.3433,4.7926,7.1869,1.3042,0.7283,15627.7435,15627.7435,5798.3023,848742.7495,848742.7495
605333.SH,20251031,31.93,0.9911,4.2917,0.85,22.1033,22.5613,4.338,1.8723,1.8026,0.1474,0.678,46404.0406,43677.6081,10086.9481,1481681.0164,1394626.0266
002114.SZ,20251031,8.02,2.9216,4.0241,0.84,,,3.0684,2.0577,2.0854,0.0,,32339.5267,32339.0823,23479.3223,259363.0041,259359.44
688590.SH,20251031,22.04,5.7491,8.0816,2.69,715.9825,813.8538,4.0413,2.9041,2.8262,0.5128,0.157,26289.7458,26289.7458,18702.0514,579425.9974,579425.9974
002301.SZ,20251031,6.43,1.991,3.4652,2.03,73.8278,103.8505,1.5008,0.407,0.4322,1.2812,2.1483,72130.7933,71799.0223,41254.5126,463801.0009,461667.7134
603639.SH,20251031,13.29,2.0812,6.0569,1.37,24.9044,23.3533,1.3051,1.156,1.1059,3.7636,3.7624,33987.8336,33987.8336,11678.3895,451698.3085,451698.3085
600130.SH,20251031,3.9,3.1136,3.742,1.51,572.288,647.5812,3.0469,8.1113,6.1131,0.0,,75000.0,75000.0,62405.36,292500.0,292500.0
002035.SZ,20251031,6.39,1.0344,1.2913,1.08,11.1752,12.4044,1.3939,0.8501,0.9097,4.603,4.603,84765.3618,78001.8017,62480.9142,541650.6619,498431.5129
605377.SH,20251031,8.81,2.1617,4.1292,1.14,10.46,18.3823,1.2771,1.3014,1.4671,11.4053,6.8672,55667.0268,55667.0268,29141.658,490426.5061,490426.5061
605081.SH,20251031,11.48,0.5952,0.8379,0.55,,,1.4573,12.5784,14.4863,0.0,,11324.7072,11324.7072,8044.3505,130007.6387,130007.6387
300094.SZ,20251031,3.53,2.7394,3.5599,1.05,,,3.8685,1.1681,1.337,0.0,,112816.7253,110551.7399,85071.6556,398243.0403,390247.6418
301317.SZ,20251031,32.84,2.7692,2.7692,0.57,98.5961,13.0329,3.8374,5.5675,6.0744,0.8869,1.7737,15719.0,4480.0,4480.0,516211.96,147123.2
300862.SZ,20251031,25.77,8.6378,9.8513,1.93,733.5926,,2.3892,7.8066,8.8827,0.2107,0.0388,18461.7902,15147.1007,13281.2661,475760.3335,390340.785
000692.SZ,20251031,3.73,3.3471,4.7809,0.65,,,,0.947,0.9492,0.0,,53283.2976,53283.2976,37303.6368,198746.7,198746.7
600299.SH,20251031,9.41,0.2644,1.8758,1.22,20.955,21.1818,1.4921,1.6246,1.4767,0.6376,1.9129,268190.1273,268190.1273,37798.485,2523669.0979,2523669.0979
301306.SZ,20251031,58.8,12.251,18.189,0.95,,,5.4219,12.7639,16.4554,0.0,,8440.0,5830.0,3926.75,496272.0,342804.0
688408.SH,20251031,42.85,3.3496,5.6562,1.1,14.8641,28.827,2.2059,1.04,1.1146,1.2659,2.3118,21906.5886,21906.5886,12973.0838,938697.3215,938697.3215
300596.SZ,20251031,40.05,1.6531,2.4624,0.82,21.5713,18.2269,1.9292,1.6171,1.5506,0.8589,0.9238,22961.9667,22304.4791,14973.9852,919626.7663,893294.388
920092.BJ,20251031,37.83,4.9925,9.1845,1.68,154.4733,,6.3236,8.6384,11.2095,0.302,0.1309,6207.97,3183.6105,1730.5503,234847.5051,120435.9852
920185.BJ,20251031,36.45,3.2938,12.5243,2.19,44.1737,40.0235,3.2982,2.8863,2.5129,1.0812,1.0884,112733.8649,110917.2997,29169.9009,4109149.3756,4042935.5741
688529.SH,20251031,19.1,2.0755,3.6827,1.81,,,1.813,1.776,2.6866,0.5833,,16817.5953,16817.5953,9478.1785,321216.0702,321216.0702
