ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
301229.SZ,20220422,37.08,24.8678,24.8678,0.64,56.4889,56.4889,3.9588,5.406,5.406,,,8000.0,2000.0,2000.0,296640.0,74160.0
920981.BJ,20220422,27.68,0.7327,0.7327,1.25,48.5023,23.1734,3.0863,4.693,3.2005,,,5462.0,1271.014,1271.014,151188.16,35181.6675
601100.SH,20220422,45.4,0.4089,1.3159,0.76,26.294,22.0,6.4445,7.5446,6.3661,1.3216,1.3216,130536.0,130536.0,40563.6359,5926334.4,5926334.4
688075.SH,20220422,191.97,9.6011,9.6011,1.15,18.1422,15.9389,4.5169,9.8137,7.4085,,,6133.34,1406.244,1406.244,1177417.2798,269956.6607
600478.SH,20220422,5.37,0.8511,1.2091,0.81,160.0544,54.4108,3.4224,3.4874,3.0366,0.0,,165328.1386,165328.1386,116374.4449,887812.1043,887812.1043
688600.SH,20220422,12.24,0.6024,0.6932,0.79,34.3716,34.3716,1.9719,2.9017,2.9017,2.0425,1.634,13334.0,6672.711,5799.1461,163208.16,81673.9826
603266.SH,20220422,17.21,7.7632,23.4203,0.63,36.8961,33.568,2.9978,3.5167,2.9803,0.5811,0.5811,19888.675,19771.3834,6553.7274,342284.0968,340265.5083
603076.SH,20220422,28.03,1.6401,3.3566,0.59,32.016,73.1442,2.6206,3.9703,3.4196,0.3822,0.3822,12070.1344,12070.1344,5897.6001,338325.8672,338325.8672
300880.SZ,20220422,16.79,1.4015,2.8126,1.19,34.0436,26.5072,3.8401,5.291,4.4206,0.9927,0.9927,16003.2,7001.4,3488.682,268693.728,117553.506
300175.SZ,20220422,4.22,2.4451,3.2151,0.88,,,3.2685,6.6666,7.8836,0.0,,47080.0,47080.0,35804.704,198677.6,198677.6
300508.SZ,20220422,26.6,9.5218,15.2053,1.15,40.9116,51.1084,3.9027,5.8484,5.6757,0.1278,0.1278,9091.2,4589.3953,2873.9457,241825.92,122077.915
000046.SZ,20220422,1.62,1.6918,4.6425,0.32,,,0.5638,3.8315,1.1157,0.0,,519620.0656,519394.6456,189269.8878,841784.5063,841419.3259
002058.SZ,20220422,9.97,0.4044,0.6702,0.85,,287.8038,8.0118,17.3727,13.3867,0.0,,14344.8332,14311.7781,8634.7724,143017.987,142688.4277
688303.SH,20220422,53.95,5.7901,5.7901,3.17,18.1441,10.9855,4.9972,9.5878,6.0034,,,192500.0,21000.0,21000.0,10385375.0,1132950.0
600262.SH,20220422,17.62,0.7073,1.5867,0.65,32.1432,32.1432,2.3145,1.8199,1.8199,0.681,0.681,17000.0,17000.0,7577.8501,299540.0,299540.0
002375.SZ,20220422,4.87,0.7868,1.6909,1.08,20.5554,19.991,0.7651,0.6049,0.5179,0.5007,0.5007,133999.6498,133099.3508,61930.548,652578.2945,648193.8384
000799.SZ,20220422,152.17,1.3858,2.0084,0.82,100.5769,56.1286,14.7561,27.0755,14.8091,0.46,0.46,32492.898,32492.898,22420.1689,4944444.2887,4944444.2887
300333.SZ,20220422,6.78,1.6901,2.005,0.8,,,2.8983,10.657,11.4225,0.0,,33600.0,33312.2567,28080.9471,227808.0,225857.1004
002386.SZ,20220422,8.77,1.9829,2.5693,0.89,59.0977,11.6054,1.1587,0.3164,0.371,0.0,,78085.7017,78057.3537,60240.8422,684811.6039,684562.9919
300720.SZ,20220422,12.53,3.0851,4.0396,1.39,33.3239,31.0472,4.2183,11.16,9.626,1.3301,1.3301,19440.0,9964.458,7609.9025,243583.2,124854.6587
600006.SH,20220422,4.9,0.5858,1.4682,0.93,26.362,26.362,1.2217,0.6302,0.6302,1.6959,1.6959,200000.0,200000.0,79800.0,980000.0,980000.0
603520.SH,20220422,40.8,1.6712,2.8322,1.55,41.8746,38.4821,4.8312,7.3124,6.128,1.2249,1.2249,24501.6871,24442.6421,14423.2421,999668.8337,997259.7977
300703.SZ,20220422,8.62,4.1442,6.7481,2.28,166.4739,166.4739,2.283,1.1396,1.1396,1.7343,1.7343,18282.628,16928.9789,10396.5664,157596.2534,145927.7981
002983.SZ,20220422,17.65,4.4977,4.5023,1.59,39.3207,35.4494,2.9624,3.96,3.6859,1.3075,1.3075,18418.4,5233.9572,5228.6012,325084.76,92379.3446
