ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
000982.SZ,20221125,1.97,0.5884,0.7038,0.34,205.4076,870.0497,6.924,19.3679,14.5966,0.0,,426187.7053,426187.7053,356313.7894,839589.7794,839589.7794
301047.SZ,20221125,104.32,0.9554,1.0441,0.51,18.7193,30.6633,2.1257,13.963,23.134,,5.0452,12920.0,5846.341,5349.7315,1347814.4,609890.2931
002176.SZ,20221125,19.97,1.5895,1.851,0.69,88.3307,16.256,8.7917,11.4259,6.1128,0.0,,170632.5581,170544.4883,146456.935,3407532.1853,3405773.4314
300829.SZ,20221125,22.53,0.9455,1.1903,0.69,30.6692,31.4263,2.7089,2.8297,2.57,0.5548,0.3329,18065.4547,10300.6311,8182.0011,407014.6944,232073.2187
000970.SZ,20221125,13.13,1.9768,2.6113,0.88,40.0181,19.7151,2.5881,2.2338,1.6384,0.3337,0.6093,121572.5773,121572.5773,92034.4624,1596247.9399,1596247.9399
600692.SH,20221125,6.12,4.2142,4.5264,1.99,47.1991,107.4851,2.3537,1.4294,1.8681,0.0,,35176.4064,25501.0517,23742.2313,215279.6072,156066.4364
603113.SH,20221125,9.61,0.4943,1.0161,0.99,8.7912,128.4422,0.9696,0.6861,0.4526,3.5767,3.6116,85508.5291,85508.5291,41598.0547,821736.9647,821736.9647
300089.SZ,20221125,3.35,0.6303,0.947,0.54,,,,21.2685,22.3109,0.0,,48105.687,40562.6932,26996.0529,161154.0515,135885.0222
688237.SH,20221125,60.19,2.3784,2.3784,0.72,76.2497,75.776,4.2127,38.167,34.7549,,,8960.331,1798.3806,1798.3806,539322.3229,108244.5283
000821.SZ,20221125,18.9,5.9518,7.9502,0.81,80.725,58.1207,3.6737,2.8814,2.6307,0.0,,62287.4778,57286.4098,42886.4161,1177233.3304,1082713.1452
002782.SZ,20221125,18.16,2.1393,6.0522,0.61,329.556,278.4937,5.6331,5.2503,3.5243,0.8264,0.2754,47672.3227,47434.2127,16766.9933,865729.3802,861405.3026
000567.SZ,20221125,14.6,0.3661,1.4909,1.05,35.4049,19.5122,2.7156,20.3631,12.7997,0.0,2.1115,92965.1442,92767.2105,22780.6805,1357291.1053,1354401.2733
300402.SZ,20221125,19.02,0.7895,2.4479,0.68,72.6073,62.8008,5.8487,3.0574,2.7859,2.6288,0.5258,20200.0,20200.0,6515.0,384204.0,384204.0
002849.SZ,20221125,18.17,2.3983,3.0545,1.57,55.094,51.2334,2.3054,2.4998,3.0306,0.2311,0.231,15759.5726,10891.4989,8551.7326,286351.4341,197898.535
002358.SZ,20221125,4.83,3.2083,3.9922,0.74,,,1.4444,2.6289,2.1443,0.0,,92975.6977,92886.4981,74647.1581,449072.6199,448641.7858
300141.SZ,20221125,8.49,1.5994,2.6976,0.71,239.5786,586.704,3.2292,6.6316,8.636,0.0,0.1767,25388.46,19651.0668,11650.7521,215548.0254,166837.5571
600010.SH,20221125,1.97,0.8627,1.3503,0.88,31.3288,,1.6712,1.042,1.1171,0.0,0.9607,4558503.2648,3167721.1587,2023915.6811,8980251.4317,6240410.6826
002089.SZ,20221125,2.49,3.588,3.864,1.79,725.1253,36.0871,2.7344,14.5574,17.1662,0.0,,137466.9616,124680.2926,115774.9057,342292.7344,310453.9286
600861.SH,20221125,19.83,0.4342,0.6602,0.46,,,3.0484,9.0097,11.4944,0.0,,31680.4949,31680.4949,20835.2552,628224.2139,628224.2139
300560.SZ,20221125,13.74,2.3766,3.8291,0.63,42.6247,61.1838,2.8729,3.1824,2.6643,1.2882,0.6405,22626.9812,16925.5709,10505.2196,310894.7217,232557.3442
601958.SH,20221125,10.0,1.0009,3.6376,0.92,65.2115,30.8173,2.5256,4.0465,3.574,2.5,1.0,322660.44,322660.44,88781.936,3226604.4,3226604.4
000701.SZ,20221125,6.12,4.3613,6.2044,0.59,75.6171,1127.8416,6.5288,0.0318,0.0347,0.0,,56457.8376,41124.4056,28908.2448,345521.9661,251681.3623
601208.SH,20221125,12.16,1.2426,1.6707,0.73,32.7048,26.9985,2.8615,3.4479,3.1973,0.6132,0.7972,91695.1112,88842.0612,66076.6237,1115012.5522,1080319.4642
002425.SZ,20221125,4.8,1.1542,1.509,0.4,56.3358,,0.9306,4.9226,6.0705,0.375,,95666.5066,95596.0898,73121.4689,459199.2317,458861.231
688271.SH,20221125,192.92,1.7733,1.7733,0.52,112.1918,102.8938,9.5188,21.9192,18.8253,,,82415.7988,4725.0542,4725.0542,15899655.9045,911557.4563
600592.SH,20221125,7.17,0.6514,1.048,0.69,9.6082,29.898,1.2994,1.9961,1.7877,1.576,1.7015,39955.3571,39955.3571,24831.9771,286479.9104,286479.9104
600997.SH,20221125,7.17,0.7117,2.1803,1.06,6.2714,5.6151,0.8082,0.5093,0.4442,3.9052,6.4156,158779.9851,158779.9851,51830.3595,1138452.4932,1138452.4932
603176.SH,20221125,8.16,25.0461,25.0461,1.47,45.4617,57.6633,3.8193,1.608,1.4997,,0.3676,46666.0,11666.0,11666.0,380794.56,95194.56
600216.SH,20221125,12.54,2.0402,3.2641,0.79,11.578,15.533,1.3205,1.3257,1.4337,1.8212,2.6316,96512.8,95829.6225,59897.6291,1210270.512,1201703.4662
600419.SH,20221125,14.08,0.8586,1.2915,0.73,30.1213,23.6331,1.9892,2.1374,1.8872,0.9831,1.0014,32019.0246,30414.5474,20220.1412,450827.8664,428236.8274
603758.SH,20221125,8.36,0.6103,1.7759,0.63,35.7846,31.939,1.4151,2.5849,2.9227,0.0,5.6496,43879.7049,43879.7049,15079.888,366834.333,366834.333
300403.SZ,20221125,6.67,2.698,3.2458,0.68,17.5028,18.6676,2.2499,3.5656,3.6808,2.3988,1.1994,60300.0,39216.6509,32597.635,402201.0,261575.0615
000885.SZ,20221125,10.27,0.9056,2.6784,0.84,6.849,6.3584,1.041,1.171,1.0499,0.9348,1.4606,64207.8255,64207.8255,21709.9109,659414.3679,659414.3679
605098.SH,20221125,27.17,0.9684,1.1802,0.27,18.7825,20.5915,3.0721,5.7783,5.9461,1.8403,3.9434,11807.86,4395.5898,3606.7843,320819.5562,119428.1749
301095.SZ,20221125,101.5,3.2408,3.2408,0.72,318.4453,283.1819,6.563,102.4598,77.8644,,,20000.0,3989.5313,3989.5313,2030000.0,404937.427
000078.SZ,20221125,3.48,0.7556,1.4099,0.58,102.6086,831.6134,1.6107,0.2332,0.244,0.0,,275083.3257,262119.9543,140475.4415,957289.9734,912177.441
603970.SH,20221125,28.68,0.8654,2.1474,0.54,32.3327,27.1581,4.303,0.6242,0.4992,1.046,1.2204,19200.0096,19200.0096,7737.6096,550656.2753,550656.2753
300882.SZ,20221125,16.19,3.0797,3.0797,0.56,50.7796,33.9265,3.6575,6.0585,4.4178,1.4254,0.3088,20442.942,5760.6445,5760.6445,330971.231,93264.8345
300128.SZ,20221125,3.69,1.6011,2.2952,0.96,,,4.3954,4.1529,3.2555,0.0,,109411.5412,109302.2712,76249.7628,403728.587,403325.3807
300491.SZ,20221125,14.51,2.1152,3.0697,0.75,77.4056,54.0282,2.5556,5.9772,4.4208,0.1597,0.2068,17345.3199,15386.5229,10602.3281,251680.5917,223258.4473
002677.SZ,20221125,11.09,0.7082,1.2964,1.57,10.7791,12.2166,3.8019,3.3113,3.5337,5.4103,5.9513,64605.1647,43048.5344,23515.9212,716471.2765,477408.2465
603717.SH,20221125,7.58,3.6972,5.4026,0.92,,,1.5139,3.4467,2.6207,0.0,,29014.624,29014.624,19855.5611,219930.8499,219930.8499
001202.SZ,20221125,16.29,8.7832,10.6668,0.88,45.0063,56.3263,3.0603,2.8096,1.9925,,3.6832,12880.0,4022.2,3311.93,209815.2,65521.638
603351.SH,20221125,23.42,3.6039,8.7813,0.8,31.3002,33.0235,2.1719,3.0441,2.8102,1.2355,1.281,13547.8432,13259.1412,5441.6483,317290.4877,310529.0869
600051.SH,20221125,7.32,2.1598,3.0456,1.98,9.1238,9.2253,0.7064,0.6108,0.5705,2.7322,1.3661,31088.0,31088.0,22046.24,227564.16,227564.16
002988.SZ,20221125,14.44,1.5505,1.5661,1.06,24.1555,56.1323,1.5246,0.6003,0.5839,0.9003,1.5235,23277.0414,8043.5232,7963.4132,336120.4778,116148.475
600636.SH,20221125,10.58,12.8576,22.549,1.13,,,1.8087,10.4848,11.1834,1.0354,0.3821,44044.9035,44044.9035,25114.7349,465995.079,465995.079
605089.SH,20221125,56.32,2.1376,2.1376,0.39,42.4622,40.0918,4.7688,7.3655,7.0264,,1.7756,10000.0,2650.0,2650.0,563200.0,149248.0
