ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
689009.SH,20211224,65.46,1.1497,88.327,0.95,627.8336,122.4372,11.0295,7.6846,5.1904,,,70468.842,44299.482,5766.414,4612890.3973,2899844.0917
300573.SZ,20211224,121.5,1.1101,1.2368,0.56,113.7028,52.5614,11.8834,14.5254,10.1077,0.103,0.4116,8233.26,6145.2875,5515.9,1000341.09,746652.4313
002713.SZ,20211224,5.95,0.551,1.4493,0.9,13.8434,12.2529,3.5284,0.7242,0.5726,0.0,,41953.698,40474.5519,15387.5176,249624.5031,240823.5838
000963.SZ,20211224,37.61,2.0961,5.0185,2.17,23.3381,28.3204,4.0497,1.9538,1.9294,0.7445,0.6115,174980.9548,174976.1803,73082.3646,6581033.71,6580854.1411
600715.SH,20211224,3.22,4.053,5.8207,1.35,,,2.2468,11.3121,7.4563,0.0,,185485.35,185485.35,129155.7753,597262.827,597262.827
300650.SZ,20211224,30.64,16.6754,19.0596,0.6,148.0948,29.8168,3.6331,3.478,0.8088,0.323,,12857.4439,5515.709,4825.754,393952.0811,169001.3238
000666.SZ,20211224,8.17,5.2129,5.3705,1.47,14.0147,10.1957,0.6079,1.2605,0.7637,0.3672,1.3709,70413.0,29354.3593,28492.8345,575274.21,239825.1155
688577.SH,20211224,53.76,2.3213,2.3213,1.28,54.5043,39.0105,3.6453,7.0674,5.4215,,0.9301,5397.172,1829.672,1829.672,290151.9667,98363.1667
603599.SH,20211224,39.0,0.8411,1.4844,0.75,30.7745,15.2745,2.7921,5.325,3.7559,0.0,1.1028,46456.4135,46272.9169,26218.9153,1811800.1265,1804643.7591
000547.SZ,20211224,16.4,2.3859,2.3998,0.41,32.5561,31.2938,2.9738,5.9288,5.5193,0.5373,0.2136,160368.5112,123198.689,122481.8554,2630043.5837,2020458.4996
002453.SZ,20211224,18.18,2.8453,3.7319,1.11,514.32,192.896,7.5051,6.2663,4.5335,0.0,,94421.7225,61127.5969,46604.2374,1716586.9151,1111299.7116
002493.SZ,20211224,17.48,0.2003,0.6305,0.71,24.2173,15.027,3.8377,1.6501,1.1131,0.4265,0.5721,1012552.5,949828.125,301814.7519,17699417.7,16602995.625
002810.SZ,20211224,56.88,0.9195,1.4757,1.25,77.2526,59.1857,13.0356,14.8872,12.8976,0.3906,,34257.604,31427.8091,19582.9899,1948572.5155,1787613.7816
605080.SH,20211224,72.51,0.8602,0.8602,0.68,45.959,34.12,4.6317,12.6131,9.2428,,,10112.36,2528.09,2528.09,733247.2236,183311.8059
300590.SZ,20211224,26.5,4.6504,8.1826,0.83,89.2021,57.6424,5.3942,17.0729,10.4486,0.3001,0.3001,30452.6999,21017.1826,11944.6906,806996.5474,556955.3389
000613.SZ,20211224,3.81,0.9064,1.2418,0.62,,,19.9004,89.429,39.287,0.0,,36410.0,26687.98,19478.802,138722.1,101681.2038
300697.SZ,20211224,12.07,1.8286,4.6712,0.87,34.7649,35.2162,4.5012,2.5004,1.9789,1.5534,2.0713,33280.0,22045.504,8630.0,401689.6,266089.2333
300400.SZ,20211224,21.92,1.2546,1.2546,0.77,43.331,45.0471,6.9114,6.0176,5.5399,0.0,0.4506,24262.58,16233.7657,16233.7657,531835.7536,355844.1441
600365.SH,20211224,4.14,0.9566,1.2178,1.01,,,4.8359,2.7226,2.5544,0.0,,40000.0,40000.0,31419.8092,165600.0,165600.0
603606.SH,20211224,45.76,2.4415,4.0283,1.02,35.4651,25.4719,6.8041,6.2288,4.309,0.2702,0.4781,68771.5368,68771.5368,41682.4194,3146985.524,3146985.524
002140.SZ,20211224,12.97,4.4958,11.1041,0.96,35.7038,29.5094,2.8164,1.3574,1.1067,0.7711,0.771,54531.144,53259.709,21563.4689,707268.9377,690778.4257
002472.SZ,20211224,27.95,1.7532,1.9835,1.1,424.2844,82.6315,4.5638,5.9321,4.1244,0.1414,0.0632,77769.1625,65583.7629,57967.9172,2173648.0919,1833066.1731
