ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
603228.SH,20220729,22.28,0.7241,2.3961,1.82,20.191,22.0476,2.7635,1.981,1.9213,1.3555,1.3465,84756.2145,84187.2055,25440.9825,1888368.4591,1875690.9385
600100.SH,20220729,4.47,0.5121,0.7123,0.86,,,0.9854,0.5263,0.5383,0.2177,,335029.7713,296389.8951,213095.0071,1497583.0777,1324862.8311
600162.SH,20220729,1.98,0.3948,1.0953,0.78,35.8278,33.2799,0.9346,1.1787,1.1561,1.491,1.9444,339578.1424,339578.1424,122410.3982,672364.722,672364.722
002889.SZ,20220729,23.4,0.6329,1.552,0.82,13.6597,13.5587,1.6472,1.1721,1.315,0.6111,0.7257,13810.1429,8977.4254,3661.0404,323157.3439,210071.7544
000012.SZ,20220729,6.66,5.3693,5.6181,3.34,13.3724,15.2647,1.8273,1.5005,1.5253,1.5015,3.003,307069.2107,195658.6251,186995.2804,2045080.9433,1303086.4432
301056.SZ,20220729,8.9,5.7301,5.7301,1.9,32.3161,34.186,3.3729,4.1232,3.9834,,2.2472,26678.6667,6669.6667,6669.6667,237440.1336,59360.0336
600278.SH,20220729,7.45,0.6586,1.2791,1.15,17.2868,16.1955,0.9427,0.1511,0.1526,1.227,,88352.7428,67891.426,34960.1312,658227.9339,505791.1237
601098.SH,20220729,8.91,0.1756,0.4974,0.95,10.5599,10.5103,1.1851,1.4122,1.3753,7.0707,7.2952,179600.0,179600.0,63411.652,1600236.0,1600236.0
000897.SZ,20220729,2.4,1.0836,1.4059,0.79,7.9457,7.6018,1.9849,1.7217,1.8486,0.0,,161727.2234,161724.4634,124647.1852,388145.3362,388138.7122
600567.SH,20220729,2.78,0.7515,1.1077,0.89,8.4669,10.3329,0.8154,0.3885,0.3756,1.3934,3.7802,461617.7365,461617.7365,313168.4409,1283297.3075,1283297.3075
920475.BJ,20220729,6.23,0.3604,0.3635,1.95,22.1599,21.4328,2.0506,2.2331,2.1142,3.567,4.6727,10296.0,2819.8064,2796.0628,64144.08,17567.3939
301139.SZ,20220729,34.06,8.5814,8.5814,0.68,38.8115,37.0429,2.3775,2.5491,2.3156,,,12158.08,2883.1328,2883.1328,414104.2048,98199.5032
301218.SZ,20220729,27.51,7.6155,7.6155,0.58,52.2895,49.2673,3.6121,5.9829,5.7053,,0.4544,11404.0,2851.0,2851.0,313724.04,78431.01
002484.SZ,20220729,27.19,0.9959,1.6798,0.96,52.231,48.3511,5.2572,6.3996,6.0047,0.4352,0.4413,83547.0941,78503.6701,46543.3788,2271645.4886,2134514.79
688051.SH,20220729,27.36,1.6777,1.6777,0.98,,,1.6394,4.3505,4.7874,2.511,,7733.4,2382.8842,2382.8842,211585.824,65195.7117
601138.SH,20220729,10.05,0.1242,0.7176,1.5,9.9774,9.9439,1.6289,0.4542,0.4474,2.4878,,1986510.4011,1979389.1049,342539.6707,19964429.5311,19892860.5042
300813.SZ,20220729,37.82,3.675,3.7046,0.95,49.5013,46.3449,6.344,11.1026,10.2524,0.3305,0.4958,8315.2,2650.784,2629.58,314480.864,100252.6509
600238.SH,20220729,13.67,4.5569,6.7545,0.63,,,11.7879,7.3515,6.9665,0.0,,44820.0,44500.158,30022.1467,612689.4,608317.1599
601975.SH,20220729,3.6,1.7165,2.5995,0.57,58.9325,33.5271,2.7729,4.5233,3.8612,0.0,,485278.3848,485278.3848,320447.8972,1747002.1853,1747002.1853
300618.SZ,20220729,53.8,1.4421,1.8777,0.99,25.118,22.6071,3.4981,3.8295,3.4088,0.4089,0.7993,30961.7139,26875.6396,20640.5217,1665740.2078,1445909.4105
002671.SZ,20220729,5.42,19.1395,26.731,3.99,173.6711,,1.4209,2.2286,2.3016,0.0,,56572.5368,45787.1827,32783.8159,306623.1495,248166.5302
000923.SZ,20220729,12.67,0.917,1.4319,0.9,6.3551,7.2416,0.9643,1.2593,1.336,0.7893,2.3678,65272.8961,62788.6354,40210.6055,827007.5936,795532.0105
002427.SZ,20220729,8.77,0.4277,0.8957,0.6,,,,1.3259,1.2958,0.0,,43797.0123,43702.9865,20865.6018,384099.7979,383275.1916
601799.SH,20220729,175.6,1.1832,2.5889,2.46,52.8366,53.7439,6.4241,6.3425,6.1695,0.7156,0.6264,28567.9419,28567.9419,13056.7792,5016530.5976,5016530.5976
300357.SZ,20220729,45.67,0.5188,0.9303,0.73,70.7476,64.3122,13.1968,29.6055,28.1653,0.3503,0.4401,52358.4,47103.1292,26269.2895,2391208.128,2151199.9106
002639.SZ,20220729,11.25,9.922,10.7579,1.03,,,3.2687,4.3272,4.1548,0.0,,77260.2178,64837.8024,59799.6571,869177.4503,729425.277
688630.SH,20220729,84.52,4.2653,4.7359,0.83,96.1782,90.4995,11.0185,20.7417,19.8173,,0.2366,12080.0,6571.8974,5918.8284,1021001.6,555456.7682
300391.SZ,20220729,11.82,1.5348,2.0157,0.95,84.3298,953.4657,4.9255,1.7532,1.9513,0.0,,35033.6112,35033.6112,26675.7359,414097.2844,414097.2844
002947.SZ,20220729,19.38,1.7572,2.2548,0.87,141.8872,91.7162,2.6101,3.925,3.4948,0.8565,0.7928,22889.4065,15281.1229,11908.8888,443596.698,296148.1618
603015.SH,20220729,9.8,7.7786,16.8026,1.02,44.5949,52.1037,3.1035,4.2369,4.3777,1.0204,1.0204,40421.9,40421.9,18712.97,396134.62,396134.62
301059.SZ,20220729,17.94,3.6446,3.6446,0.48,43.1387,42.3346,4.2035,10.7533,9.9489,,1.3935,12166.0,3042.77,3042.77,218258.04,54587.2938
600768.SH,20220729,9.86,1.1012,1.7549,0.78,332.9291,443.2817,5.9673,3.1627,3.4213,0.0,,13374.72,13374.72,8392.7118,131874.7392,131874.7392
300051.SZ,20220729,5.95,1.1871,1.7796,0.7,,,9.7178,11.8069,12.6037,0.0,,36569.869,36564.694,24391.7639,217590.7206,217559.9293
002028.SZ,20220729,44.26,1.8744,2.0735,1.65,28.3092,30.7889,3.8997,3.8992,3.6849,0.4502,0.4519,76604.2782,59322.5711,53626.8745,3390505.3531,2625616.9969
002965.SZ,20220729,59.63,11.598,11.891,0.86,149.6808,143.3418,4.8538,4.046,3.6386,0.5075,0.2016,16085.9496,8372.5588,8166.3067,959205.1746,499255.6812
300635.SZ,20220729,16.95,2.311,2.722,1.39,69.14,70.5671,3.4496,3.8206,3.7446,0.1298,0.1475,13632.2,9590.105,8142.2789,231065.79,162552.2798
300643.SZ,20220729,19.55,2.9012,5.8637,1.06,40.782,37.2478,5.3543,4.396,4.2498,0.4003,0.4501,23000.0,22942.6175,11351.2849,449650.0,448528.1721
300207.SZ,20220729,28.72,2.9906,4.0248,1.45,53.9057,55.9572,3.5445,1.3212,1.2303,0.2234,0.2438,171862.6656,156798.8011,116508.8886,4935895.756,4503261.5676
601995.SH,20220729,42.41,0.5982,0.8902,0.98,18.9951,19.3826,2.6494,6.7945,6.9946,0.4244,,482725.6868,92962.1281,62467.1281,20472396.3772,3942523.8527
603019.SH,20220729,28.8,1.4233,1.833,0.91,36.4176,35.4305,3.3477,3.7645,3.7006,0.4817,0.5552,146401.3974,145072.8974,112647.3814,4216360.2451,4178099.4451
601288.SH,20220729,2.85,0.0771,0.4244,1.0,4.1357,4.0535,0.4877,1.3855,1.3637,6.4947,7.2561,34998303.3873,29928453.8234,5438614.4486,99745164.6538,85296093.3967
600612.SH,20220729,38.13,0.4342,1.4205,1.3,10.6307,12.2041,2.0776,0.3399,0.3328,3.2783,3.2783,52311.7764,31710.963,9693.7837,1994648.0341,1209139.0192
002248.SZ,20220729,8.88,6.9741,8.4539,0.75,192.4007,205.3108,40.0428,8.6662,8.9655,0.0,,30749.56,30749.56,25366.98,273056.0928,273056.0928
300376.SZ,20220729,8.75,2.243,5.2538,1.1,39.4271,37.7839,3.3294,4.7291,4.1044,0.3417,0.3886,232238.4476,232040.8264,99063.5836,2032086.4165,2030357.231
600686.SH,20220729,7.89,6.8097,11.2023,0.85,,,1.5903,0.3669,0.3612,0.0634,,71704.7417,67457.5721,41006.1996,565750.412,532240.2439
000623.SZ,20220729,14.46,0.4104,0.5717,1.0,9.4455,11.6116,0.702,7.3001,6.9589,1.3543,2.0282,116304.7073,115925.3021,83217.2272,1681766.0676,1676279.8684
300045.SZ,20220729,8.04,2.0913,2.3844,1.21,,,2.9071,8.0113,8.0602,0.1153,,66267.5236,44300.1277,38855.3807,532790.8897,356173.0267
000518.SZ,20220729,3.14,0.5903,0.9442,0.79,,,5.5474,9.2113,9.7835,0.0,,102955.6222,102953.5693,64362.7693,323280.6537,323274.2076
600167.SH,20220729,7.44,0.1798,0.5586,1.15,16.2711,16.7658,1.6531,4.9088,4.8463,5.3281,1.728,228811.9475,228811.9475,73643.8514,1702360.8894,1702360.8894
603299.SH,20220729,13.2,3.736,10.2518,0.99,30.9222,19.8286,2.4229,2.1711,1.982,0.4345,1.1365,78314.8545,77292.6545,28167.6029,1033756.0794,1020263.0394
002108.SZ,20220729,6.27,4.1638,6.5102,2.15,24.2929,28.3188,2.4139,3.0771,3.1649,1.5949,0.7974,141792.4199,141792.4199,90687.9153,889038.4728,889038.4728
300079.SZ,20220729,5.68,3.8255,3.9946,0.63,77.461,84.6111,2.0418,7.898,8.1309,0.0,0.1757,142900.8862,126685.2372,121321.7742,811677.0336,719572.1473
600025.SH,20220729,7.07,0.143,1.4298,1.03,21.8003,18.2162,2.4485,6.2995,5.9263,2.2631,2.4045,1800000.0,1800000.0,180000.0,12726000.0,12726000.0
688259.SH,20220729,71.78,3.8862,3.8862,1.39,72.976,56.1368,4.041,8.9632,6.9443,,0.4179,8000.0,1778.0671,1778.0671,574240.0,127629.6564
601116.SH,20220729,9.96,1.4983,4.6598,1.11,61.7823,44.2323,1.777,1.3899,1.3591,2.008,2.008,54767.84,54767.84,17609.195,545487.6864,545487.6864
605016.SH,20220729,29.08,4.9901,7.2723,1.64,49.4097,39.3892,4.1854,7.9012,6.9813,,0.2088,17752.0,8922.2,6122.2,516228.16,259457.576
600148.SH,20220729,15.03,0.8707,1.9171,0.98,51.5571,77.0336,4.4026,1.8935,2.2478,1.2009,0.5822,14151.645,14151.645,6427.33,212699.2244,212699.2244
002352.SZ,20220729,49.84,0.4772,0.985,1.61,57.1495,38.8484,3.0079,1.1776,1.0722,0.6148,0.3584,489520.2373,485277.9377,235085.2238,24397688.627,24186252.415
688312.SH,20220729,18.0,0.9406,0.9406,1.04,21.1916,24.1797,2.078,6.0663,6.1307,1.6596,3.3333,14409.1816,6873.9903,6873.9903,259365.2688,123731.8254
300577.SZ,20220729,13.91,1.9356,2.6096,0.82,18.5204,18.392,2.0318,1.4572,1.3617,0.7537,0.7174,23979.0148,12934.0015,9593.3606,333548.0959,179911.9609
000912.SZ,20220729,5.0,0.5876,1.2064,1.0,17.5723,14.6398,1.304,1.161,1.064,0.0,,156800.0,156800.0,76371.5361,784000.0,784000.0
600094.SH,20220729,3.28,0.7899,1.185,0.89,,,0.6536,1.0598,1.1754,0.7622,,247532.5057,227660.4962,151764.2523,811906.6187,746726.4275
002778.SZ,20220729,12.91,0.766,1.2566,0.88,18.8551,22.9682,2.933,1.5611,1.6237,0.5533,1.1619,12475.33,12475.33,7605.232,161056.5103,161056.5103
300894.SZ,20220729,33.76,1.9617,2.5676,0.73,36.3898,34.914,9.6528,5.8968,5.6485,1.7773,0.8886,40500.0,11250.0,8595.0,1367280.0,379800.0
000011.SZ,20220729,10.68,0.9612,2.7058,0.76,6.3399,6.3083,1.5506,1.417,1.3106,3.839,6.367,59597.9092,52647.5543,18702.6342,636505.6703,562275.8799
600941.SH,20220729,58.2,0.9307,0.9843,0.86,10.7241,10.581,1.0343,1.4657,1.4175,,3.5978,2136282.6764,48075.4867,45454.6657,124331651.7665,2797993.3259
