ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
300805.SZ,20220520,7.61,1.6823,2.1407,0.5,,,1.9785,1.1313,1.2016,0.657,0.657,42323.0,12803.0,10061.75,322078.03,97430.83
300520.SZ,20220520,15.13,1.2062,1.8457,1.01,35.5623,34.9924,2.4421,2.1626,2.0213,0.6708,0.6708,24582.946,21897.1946,14310.8811,371939.973,331304.5543
002330.SZ,20220520,7.25,3.018,7.2043,0.85,105.6766,86.0911,1.9264,1.4769,1.5566,0.1086,0.1086,63760.879,50186.89,21024.3034,462266.3728,363854.9525
688577.SH,20220520,36.25,1.4347,1.4347,2.19,26.7986,27.0138,2.36,3.6177,3.4943,1.3793,1.3793,5397.172,1829.672,1829.672,195647.485,66325.61
301151.SZ,20220520,23.42,8.9262,8.9262,0.72,20.4193,21.2111,1.9695,3.7512,3.7943,,,16767.429,3983.4607,3983.4607,392693.1872,93292.6496
603599.SH,20220520,37.5,0.8369,1.5541,0.82,11.776,9.8611,2.309,3.139,2.7411,1.147,1.147,46456.4135,46272.9169,24917.9507,1742115.5063,1735234.3838
000547.SZ,20220520,9.61,1.9883,1.9997,1.15,23.9233,25.6455,1.6818,3.7191,3.6638,0.3646,0.3646,160368.5112,126006.0917,125289.2581,1541141.3926,1210918.5412
002453.SZ,20220520,12.77,1.9558,2.6903,0.88,,,6.007,3.0585,2.9578,0.0,,94421.7225,61127.5969,44438.1038,1205765.3963,780599.4124
002493.SZ,20220520,14.34,0.3713,1.1874,1.77,11.3229,10.9027,2.7996,0.8202,0.688,0.6974,0.6974,1012552.5,949828.125,296988.5019,14520002.85,13620535.3125
002810.SZ,20220520,50.3,0.5163,0.8299,1.01,52.2905,49.798,10.4616,11.0424,10.6158,,,34257.604,31454.7941,19568.5739,1723157.4812,1582176.1432
605080.SH,20220520,76.13,4.7463,4.7463,1.6,35.0711,31.7032,4.5165,9.1384,8.1259,0.0,,10112.36,3362.36,3362.36,769853.9668,255976.4668
300590.SZ,20220520,16.9,2.4352,4.0852,1.39,33.0854,34.3655,3.2804,5.5895,5.2626,0.4706,0.4706,30452.6999,22462.9525,13390.4605,514650.6283,379623.8973
300697.SZ,20220520,9.8,1.5981,2.6783,1.92,30.6712,32.7064,3.4098,1.5003,1.4799,2.551,,33280.0,15058.9975,8985.33,326144.0,147578.1755
300400.SZ,20220520,14.95,1.2384,1.3908,0.78,45.3545,70.0126,4.7784,3.6669,4.013,0.6607,0.6607,24262.58,18192.9112,16199.6857,362725.571,271984.0224
