ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
001313.SZ,20260508,9.59,6.0056,17.6226,2.44,377.2437,124.9591,2.6193,1.0345,0.9471,1.1731,1.1731,70000.0,69915.3251,23826.4151,671300.0,670487.9677
000702.SZ,20260508,7.01,2.1425,2.8618,0.58,,,7.3278,2.3856,2.2361,,,34662.4948,26663.4576,19961.696,242984.0885,186910.8378
001387.SZ,20260508,14.54,3.4001,4.4587,1.0,27.311,29.5145,2.015,1.3308,1.1983,1.3598,0.8253,18303.04,11391.0333,8686.5233,266126.2016,165625.6242
301007.SZ,20260508,37.65,3.2064,3.9229,1.13,111.7018,116.2214,8.7723,8.9675,8.8576,0.3984,0.3984,15334.0,15132.5125,12368.6397,577325.1,569739.0956
300622.SZ,20260508,25.73,4.4208,5.2156,1.16,39.4512,37.0275,6.1914,4.3096,4.2256,0.3289,,22785.416,15577.2603,13203.4019,586268.7537,400802.9075
002829.SZ,20260508,24.29,5.8942,6.7765,1.21,,,3.2601,13.3571,14.7008,,,20780.9394,14605.2524,12703.7041,504769.018,354761.5808
300229.SZ,20260508,19.49,4.7084,6.14,1.58,,,4.518,33.2982,37.6874,,,87362.0932,87303.0233,66947.7781,1702687.1965,1701535.9241
920455.BJ,20260508,7.98,1.0017,1.7278,0.91,52.006,51.2131,4.0142,8.78,8.2463,2.2556,2.2556,17745.0,9376.2442,5435.9294,141605.1,74822.4287
300360.SZ,20260508,14.89,1.359,2.0667,0.71,13.5079,15.7141,1.801,4.5384,4.9388,4.7011,4.7011,51418.7126,50027.6637,32896.2902,765624.6306,744911.9125
601789.SH,20260508,6.22,10.3825,14.1969,0.63,40.1884,27.4337,1.5088,0.4417,0.4428,1.1462,1.1462,152439.1877,108679.859,79479.859,948171.7475,675988.723
300115.SZ,20260508,36.36,7.2595,10.7909,2.13,82.8188,90.3208,5.8259,2.6303,2.5313,0.3562,0.3562,136133.1883,135731.6641,91312.853,4949802.7266,4935203.3067
300859.SZ,20260508,30.79,1.8126,3.001,0.81,63.9041,61.5028,6.735,14.6418,14.5106,0.9743,0.9743,15500.0,15500.0,9362.0,477245.0,477245.0
688551.SH,20260508,50.38,3.6089,7.1683,0.87,66.2315,83.2892,3.2172,8.2627,8.5628,0.7863,0.9825,8407.0709,8407.0709,4232.5687,423548.2319,423548.2319
688380.SH,20260508,49.44,2.9057,7.0286,0.95,69.6528,65.7588,6.1318,17.6394,15.9522,0.5038,0.5038,40036.5,40036.5,16551.5395,1979404.56,1979404.56
688722.SH,20260508,18.98,2.7196,5.0527,1.78,38.9514,41.6771,2.914,4.369,4.3782,0.3518,0.3518,22466.67,22410.52,12062.3867,426417.3966,425351.6696
601336.SH,20260508,65.0,0.7808,2.3179,0.63,5.5884,5.4947,1.6411,1.2854,1.3843,4.0923,4.0923,311954.66,208543.934,70249.7025,20277052.9,13555355.71
601615.SH,20260508,16.66,5.7059,7.4029,1.37,57.0966,98.508,1.4282,0.989,0.9647,1.7356,1.7356,226149.6706,226149.6706,174308.7771,3767653.5122,3767653.5122
000727.SZ,20260508,2.93,6.2435,11.3788,1.86,,,7.3626,0.2446,0.2431,,,452956.698,452956.698,248536.2851,1327163.1251,1327163.1251
600114.SH,20260508,34.91,2.5621,3.3613,0.81,41.14,40.0797,6.1843,3.6508,3.6045,0.8389,0.8389,63138.3477,61638.3477,46983.7261,2204159.7182,2151794.7182
002285.SZ,20260508,3.15,3.0493,5.7729,0.98,,,2.8665,3.2181,3.3991,,,199282.9038,197523.8451,104334.6968,627741.147,622200.1121
002882.SZ,20260508,26.87,1.7524,3.7693,1.15,108.7161,150.1644,5.4789,2.5012,2.5152,1.1165,1.1165,43290.0,24678.255,11472.8808,1163202.3,663104.7119
600611.SH,20260508,4.68,1.394,1.9991,1.03,152.8175,,1.1555,5.3015,5.4621,1.0684,1.0684,236412.2864,156331.6364,109013.029,1106409.5004,731632.0584
002506.SZ,20260508,4.43,5.4776,7.2277,0.93,,,27.527,1.6891,1.8354,,,585031.6427,584443.7402,442926.5257,2591690.1772,2589085.7691
002109.SZ,20260508,3.47,0.1496,0.3497,0.1,,,1.1298,1.2476,1.1715,,,127626.9851,127626.9851,54583.9807,442865.6383,442865.6383
300035.SZ,20260508,20.59,5.9587,6.3307,0.54,30.0297,35.2704,2.8019,1.6667,1.5438,1.2142,1.2142,68542.6671,58335.123,54907.3043,1411293.5156,1201120.1826
688128.SH,20260508,27.16,0.7352,3.4553,1.0,20.5559,20.269,3.047,2.3051,2.282,1.8409,2.7614,40450.0,40450.0,8606.9009,1098622.0,1098622.0
300137.SZ,20260508,19.52,12.5943,14.9144,1.59,807.3189,3788.9771,6.3889,11.3427,11.8232,,,53658.221,53003.4106,44757.9854,1047408.4739,1034626.5749
603890.SH,20260508,20.24,10.9963,15.7935,1.38,31.7428,29.6191,2.7399,2.059,1.9522,0.7131,0.7131,44680.8401,44680.8401,31109.3681,904340.2036,904340.2036
601827.SH,20260508,8.16,0.3599,1.2899,0.65,11.0832,10.9012,1.0938,2.4542,2.4691,3.0025,3.0025,167193.33,167193.33,46655.2359,1364297.5728,1364297.5728
301267.SZ,20260508,18.04,0.6702,2.584,0.67,34.3888,32.7544,2.7846,3.661,3.6113,1.703,1.703,84000.0,64844.4383,16817.8875,1515360.0,1169793.6669
300514.SZ,20260508,12.7,2.0091,2.6599,0.83,36.3105,87.8249,2.4929,3.1888,3.3515,2.3622,2.3622,20000.0,16025.8325,12104.45,254000.0,203528.0728
600825.SH,20260508,5.95,0.8348,1.721,1.13,147.1228,145.9421,2.4901,4.2845,4.2808,0.2017,0.2017,104488.785,104488.785,50686.785,621708.2708,621708.2708
688202.SH,20260508,61.26,2.3521,3.9615,0.51,,,4.2028,7.0765,6.5289,,,13435.2184,13435.2184,7977.0429,823041.4792,823041.4792
000633.SZ,20260508,6.87,2.1517,2.7148,0.85,349.4174,357.8758,13.2749,9.0736,9.4136,,,38510.6373,38510.2398,30522.2823,264568.0783,264565.3474
002683.SZ,20260508,40.36,3.3988,5.2302,1.54,32.0408,31.7106,4.5858,1.5057,1.4564,1.5972,1.597,75988.5063,66655.9117,43316.6295,3066896.1143,2690232.5962
600212.SH,20260508,7.21,2.3726,2.7599,0.66,304.733,2363.6523,8.7984,3.6468,3.4089,,,70415.0213,53118.0213,45664.4328,507692.3036,382980.9336
000720.SZ,20260508,5.69,24.0831,41.3058,5.02,,,3.8007,4.9875,4.9482,,,125653.1571,125653.1571,73261.3407,714966.4639,714966.4639
000969.SZ,20260508,22.2,2.9829,4.5883,1.25,63.9164,61.1239,3.9635,2.9404,2.727,0.9011,0.9011,105051.9397,104134.9871,67698.3147,2332153.0613,2311796.7136
603585.SH,20260508,18.89,3.3825,9.7563,0.96,19.1769,20.5189,1.3362,1.3307,1.3497,,,19564.5647,19149.0647,6639.0607,369574.6272,361725.8322
600728.SH,20260508,5.65,1.8417,2.1882,0.89,69.304,183.1614,1.5254,1.1897,1.1889,,,213259.9261,213259.9261,179484.5557,1204918.5825,1204918.5825
688362.SH,20260508,48.39,3.9696,6.5276,0.91,243.0437,237.2234,7.6162,4.5161,4.2948,,,41049.0491,41049.0491,24962.5491,1986363.4859,1986363.4859
300791.SZ,20260508,19.16,0.4762,1.1288,0.73,43.32,50.2099,2.097,1.3874,1.3716,2.5935,2.5935,30869.1663,25668.3193,10829.4433,591453.2263,491804.9978
002821.SZ,20260508,123.58,1.7874,2.8573,0.59,39.3768,40.1672,2.4841,6.686,6.4346,0.8863,0.8863,36087.497,31699.9933,19829.959,4459692.8793,3917485.172
601127.SH,20260508,90.3,2.1077,4.4758,1.63,26.4071,26.3775,3.8078,0.953,0.9164,1.4175,1.4175,174198.5086,155720.3392,73330.6827,15730125.3266,14061546.6298
000516.SZ,20260508,4.66,1.3424,1.8953,1.24,,,3.1908,2.5606,2.5781,,,223889.6753,219423.3115,155413.7391,1043325.8869,1022512.6316
000902.SZ,20260508,15.71,1.733,3.6098,1.12,12.2259,12.3486,1.6027,1.0922,1.0441,1.9096,1.9096,125473.4026,114278.3208,54863.491,1971187.1548,1795312.4198
603459.SH,20260508,81.05,23.4196,23.4196,0.81,113.1646,109.9978,14.9917,16.6145,15.8498,,,75375.3588,7905.1858,7905.1858,6109172.8307,640715.3091
600746.SH,20260508,8.11,1.307,5.2419,0.81,107.1599,144.8255,1.738,1.6173,1.6456,0.608,0.608,116784.2884,116784.2884,29118.9883,947120.5789,947120.5789
603773.SH,20260508,72.75,15.1931,24.5702,1.18,,,15.4818,6.4084,6.2938,0.0678,0.0678,22473.6633,22465.8633,13891.8835,1634959.0051,1634391.5551
301072.SZ,20260508,25.6,2.8998,5.864,0.99,,,3.7648,3.326,3.2844,,,10504.5985,6713.9923,3320.0673,268917.7216,171878.2029
600004.SH,20260508,8.59,0.5267,1.2305,0.74,15.0772,16.5191,1.0451,2.783,2.7296,1.6784,1.6784,257724.4598,236671.8283,101297.3731,2213853.1097,2033011.0051
300901.SZ,20260508,18.25,3.8147,9.2855,2.03,1128.2491,603.5307,4.5254,11.9147,11.5282,,,24000.0,24000.0,9859.6596,438000.0,438000.0
600590.SH,20260508,16.7,4.8248,7.4672,0.9,235.2761,189.5639,4.3862,3.1501,3.1465,,,85286.975,84356.9523,54505.8978,1424292.4825,1408761.1034
601083.SH,20260508,12.5,5.3233,5.3233,1.04,10.7821,10.9386,1.6707,2.3075,2.2859,3.904,3.904,129412.0,19412.0,19412.0,1617650.0,242650.0
920370.BJ,20260508,3.49,1.1687,2.2514,1.2,,,1.8596,2.6579,2.7535,,,30028.3343,26238.62,13619.9289,104798.8867,91572.7838
688766.SH,20260508,317.5,3.7968,6.1431,0.62,226.5104,106.7904,17.4447,20.2632,13.9888,0.0964,0.0964,14804.9102,14804.9102,9150.1863,4700558.9885,4700558.9885
000099.SZ,20260508,18.22,1.4819,2.4146,1.44,45.7918,45.5081,2.5301,6.3231,6.3037,1.0318,1.0318,77577.0137,77577.0137,47609.5662,1413453.1896,1413453.1896
300014.SZ,20260508,69.9,5.242,8.0087,1.17,36.7446,33.9131,3.1282,2.4714,2.1904,0.9999,0.9999,217329.6935,211248.5396,138269.0657,15191345.5757,14766272.918
301335.SZ,20260508,25.98,2.6272,2.6272,0.89,56.0324,59.3876,1.7013,1.0984,1.0586,0.7432,0.7432,12690.28,5062.3754,5062.3754,329693.4744,131520.5129
920108.BJ,20260508,11.87,2.1319,3.3966,0.7,111.0688,84.9313,4.2625,3.9856,3.5439,0.6439,0.6439,17220.0,7296.765,4579.715,204401.4,86612.6006
688652.SH,20260508,125.8,4.3779,5.2541,0.89,142.872,133.3471,9.4036,14.8182,14.273,0.0994,0.0994,16800.0,12075.0,10061.3582,2113440.0,1519035.0
688671.SH,20260508,25.2,2.5351,3.0706,0.78,,,1.9789,6.0664,6.1683,,,7851.89,4684.7122,3867.75,197867.628,118054.7474
