ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
603578.SH,20211029,15.7,1.0729,2.7765,0.57,23.5781,20.1225,2.5953,4.72,2.8155,0.9332,1.2739,12839.4992,12800.0192,4946.0192,201580.1374,200960.3014
000838.SZ,20211029,2.6,0.8291,1.6656,0.99,24.6779,100.2547,1.4971,0.4728,0.5101,5.0769,0.8077,110046.217,84610.8444,42117.6538,286120.1642,219988.1954
300748.SZ,20211029,39.16,2.7829,3.4827,0.95,113.3395,62.5152,10.057,11.4535,7.4464,0.1641,0.3116,70760.079,69985.147,55921.655,2770964.6936,2740618.3565
002126.SZ,20211029,11.65,3.5992,4.2754,1.89,28.6953,35.7229,2.1863,1.4591,1.2067,0.6805,0.6867,79209.5104,76227.7723,64171.6021,922790.7962,888053.5473
600366.SH,20211029,10.48,2.8453,4.3146,0.94,58.3155,30.7897,2.2876,4.3207,3.4424,0.3736,0.9375,98911.3721,98911.3721,65228.34,1036591.1796,1036591.1796
600350.SH,20211029,5.37,0.1099,0.457,1.06,12.6709,8.2918,0.9335,2.2733,1.8602,7.0764,7.0764,481116.5857,481116.5857,115689.6162,2583596.0652,2583596.0652
688819.SH,20211029,40.75,1.7861,1.7861,0.55,17.3756,18.3204,3.4235,1.1286,1.0856,,1.4724,97210.0,10622.6073,10622.6073,3961307.5,432871.2475
600601.SH,20211029,2.6,0.3525,0.4033,0.71,,,13.017,0.9555,0.9835,0.0,,219489.1204,219489.1204,191855.7836,570671.713,570671.713
603778.SH,20211029,4.01,0.691,1.4472,0.94,,,1.8869,9.9725,10.8686,0.1358,,64285.7142,64285.7142,30693.8233,257785.7139,257785.7139
603927.SH,20211029,25.08,0.6979,0.8682,0.86,31.234,26.7729,6.406,2.575,2.4408,1.2816,1.5664,59360.0,45442.3424,36530.9168,1488748.8,1139693.9474
000006.SZ,20211029,4.17,0.2787,0.4423,0.51,6.5108,6.1442,0.7344,1.9182,1.5493,4.2926,4.6283,134999.5046,134999.5046,85060.6898,562947.9342,562947.9342
600635.SH,20211029,3.75,0.5039,0.6886,0.87,21.4887,23.0885,1.2947,2.3147,2.0971,1.6,1.4667,295243.4675,241879.1675,176981.5081,1107163.0031,907046.8781
000797.SZ,20211029,2.54,0.4508,1.0022,0.9,13.9242,9.5896,0.7566,0.6857,0.4899,1.9692,2.3622,157099.8213,156682.3521,70475.4873,399033.5461,397973.1743
002251.SZ,20211029,6.72,0.3856,0.8033,0.87,51.9662,37.8275,0.7425,0.3712,0.4022,1.4865,1.4256,86390.3951,86390.3951,41467.5061,580543.4551,580543.4551
605005.SH,20211029,18.57,9.6695,9.6703,1.45,39.2386,32.9365,5.3391,6.1943,5.1874,,0.8078,40100.0,4010.0,4009.7,744657.0,74465.7
002842.SZ,20211029,9.13,1.3396,2.2475,0.91,59.9402,47.458,2.6063,1.9316,1.7237,0.5509,,27300.1652,21220.1439,12648.0052,249250.5083,193739.9138
600390.SH,20211029,5.19,0.4321,0.8714,0.77,6.2217,6.1155,0.5888,3.7066,5.653,1.5222,6.7823,449806.5459,449806.5459,223024.9462,2334495.9732,2334495.9732
688617.SH,20211029,300.88,5.1639,5.1639,4.6,181.0835,99.6855,11.7194,41.8401,26.7363,,0.1662,6667.0,1433.62,1433.62,2005966.96,431347.5856
603369.SH,20211029,49.32,1.2435,2.2496,0.94,39.4866,32.8739,6.8461,12.0859,10.2145,0.8313,0.9124,125450.0,125450.0,69345.0962,6187194.0,6187194.0
300657.SZ,20211029,16.04,2.8107,3.8616,0.72,78.8883,,3.8619,2.7067,2.3497,0.2901,0.2851,44505.3082,42286.9854,30778.6099,713865.1435,678283.2458
600992.SH,20211029,8.06,1.5317,2.0011,0.84,65.4405,64.1873,1.3607,0.9274,0.831,0.4467,0.4591,24509.0,24509.0,18760.0182,197542.54,197542.54
300012.SZ,20211029,27.63,0.9988,1.1433,1.69,80.013,63.0514,10.8544,12.9541,10.9268,0.126,0.1266,167268.8214,151602.4026,132437.0017,4621637.5353,4188774.3838
601601.SH,20211029,27.4,1.1005,2.1363,2.51,10.7223,9.5337,1.2062,0.6244,0.6002,4.0223,4.3575,962034.1455,684504.1455,352597.6134,26359735.5867,18755413.5867
002539.SZ,20211029,16.02,8.6094,9.7988,0.93,32.4574,22.7777,4.4248,1.7677,1.5026,0.9363,1.2466,101010.0,65804.8163,57817.4426,1618180.2,1054193.1571
300261.SZ,20211029,5.13,0.7922,1.3462,1.02,30.6915,26.1141,2.2991,2.4668,2.3427,0.9677,0.9659,96330.9471,94760.6372,55765.5339,494177.7586,486122.0688
002886.SZ,20211029,21.25,1.9106,2.8241,0.61,74.3662,70.4964,4.2222,4.1765,3.3878,0.1975,0.2768,22657.3529,17211.2803,11643.9051,481468.7491,365739.7064
603356.SH,20211029,13.88,2.1288,3.4639,1.02,25.1273,,2.3921,0.968,0.8601,1.3689,,13334.0,13334.0,8194.74,185075.92,185075.92
