ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
603990.SH,20250530,14.96,3.7919,4.9168,0.65,,,5.5665,9.8735,11.0137,0.0,,30628.2731,30628.2731,23620.5583,458198.9656,458198.9656
603666.SH,20250530,33.72,2.4954,4.7137,1.15,,,3.2133,11.899,10.3525,0.0,,20649.0816,20649.0816,10931.3716,696287.0316,696287.0316
001339.SZ,20250530,45.78,7.071,7.071,1.22,91.7742,74.3709,5.3909,2.8419,2.7478,0.2622,0.3498,25042.967,7313.0995,7313.0995,1146467.0293,334793.6951
002006.SZ,20250530,16.67,2.4368,3.4806,0.81,58.9666,65.5384,3.6508,5.0124,5.4591,0.7749,0.7749,51979.344,45516.0,31865.76,866495.6645,758751.72
603353.SH,20250530,15.21,1.3567,4.1316,1.1,90.1163,80.8019,1.5917,0.938,0.9517,0.6462,1.3036,17339.4,17041.8,5596.0,263732.274,259205.778
002958.SZ,20250530,3.46,2.6294,3.1443,1.54,6.7294,6.53,0.5379,1.7423,1.7376,2.8902,2.8902,555561.8756,493964.2897,413072.5397,1922244.0896,1709116.4424
002982.SZ,20250530,16.38,23.5322,28.3444,7.35,33.9287,21.8892,2.0822,0.7918,0.7605,0.0,1.3082,20319.3911,12987.5824,10782.5824,332831.6262,212736.5997
002300.SZ,20250530,6.21,7.1784,16.0855,0.72,49.3428,53.4809,2.3478,0.3269,0.3341,2.5765,2.5765,72233.37,72227.5059,32232.8285,448569.2277,448532.8116
600657.SH,20250530,3.99,0.3861,1.4341,0.86,,,0.4816,1.4173,1.4666,0.0,,285187.8595,285187.8595,76789.1751,1137899.5594,1137899.5594
002867.SZ,20250530,15.01,1.5448,4.1901,0.96,16.2853,17.8615,2.4893,1.1842,1.4312,6.2688,6.2688,109592.6265,108954.9176,40169.7284,1644985.3238,1635413.3132
