ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
002110.SZ,20211126,6.65,1.4327,3.2973,0.88,6.3788,4.1374,0.7212,0.3352,0.2625,3.7594,6.7048,245157.6238,245157.6238,106524.77,1630298.1983,1630298.1983
002831.SZ,20211126,31.25,0.4491,0.6723,0.66,25.9593,25.7028,3.2457,2.4666,2.0102,0.8381,0.896,93051.3553,51987.4947,34722.7912,2907854.8531,1624609.2094
300739.SZ,20211126,19.77,4.2436,4.25,1.02,43.8202,57.0972,3.5131,4.5138,3.5921,1.0464,1.4373,29478.5373,28823.9373,28780.8998,582790.6824,569849.2404
600894.SH,20211126,7.02,0.2798,0.644,0.95,8.4726,8.38,0.7271,0.8912,0.7936,2.1368,5.698,85994.6895,85994.6895,37358.4966,603682.7203,603682.7203
002623.SZ,20211126,38.92,1.3451,2.6259,0.58,56.244,72.8564,2.2956,4.2973,3.757,0.0,,19906.25,15957.3625,8174.4425,774751.25,621060.5485
688036.SH,20211126,172.9,0.387,0.7928,0.53,51.5973,38.3508,10.8095,3.6678,2.8524,0.3925,0.6233,80169.095,39326.5674,19197.0786,13861236.5255,6799563.5035
300939.SZ,20211126,57.52,14.3296,14.3296,0.8,55.2115,44.7747,4.0154,5.584,4.4674,,0.8693,8000.0,2000.0,2000.0,460160.0,115040.0
603236.SH,20211126,185.0,1.736,1.8224,0.87,142.2822,89.3687,8.6213,4.4046,2.869,0.1658,0.2121,14537.0828,9857.0828,9389.6661,2689360.318,1823560.318
000576.SZ,20211126,11.99,2.6064,4.7293,1.3,7.8301,168.9041,3.1705,10.3148,7.7985,0.0,1.6346,44286.1324,42405.4818,23370.4818,530990.7275,508441.7268
301076.SZ,20211126,40.28,27.8899,27.8899,1.75,44.8568,49.6705,3.2685,11.1367,10.2628,,,7960.0,2000.0,2000.0,320628.8,80560.0
000786.SZ,20211126,27.72,0.4493,0.8096,0.77,16.376,13.0913,2.5784,2.7873,2.2681,0.2958,1.9841,168950.7842,168950.7842,93756.9604,4683315.738,4683315.738
600467.SH,20211126,2.68,2.5191,4.2159,1.6,62.9006,59.6169,1.1837,3.1829,3.116,0.5224,0.4851,146099.4304,146099.4304,87296.9114,391546.4735,391546.4735
603336.SH,20211126,7.8,2.6186,5.294,0.96,46.771,64.3388,3.2898,3.5493,3.5393,0.7245,0.6415,43867.4829,43867.4829,21698.5326,342166.3666,342166.3666
300962.SZ,20211126,20.64,5.4545,5.7511,1.07,88.5466,56.5038,6.4884,21.2882,17.9354,,0.7752,26400.1897,6600.05,6259.7111,544899.9154,136225.032
001979.SZ,20211126,11.9,0.4638,1.2646,0.61,7.6951,5.7449,1.1645,0.7274,0.5847,6.8119,5.2532,792324.2592,792172.0146,290499.7037,9428658.6845,9426846.9737
603626.SH,20211126,12.91,1.8303,3.3502,0.61,,29.7771,2.4112,2.0761,1.9608,0.0,,55754.939,48529.356,26512.7599,719796.2625,626513.986
002635.SZ,20211126,16.12,4.305,5.7557,0.76,23.6444,80.4928,1.9491,3.8128,3.1016,0.0,1.2407,68717.2674,34818.6266,26042.6462,1107722.3505,561276.2608
002463.SZ,20211126,14.92,3.1869,4.7934,0.71,21.0738,24.107,4.1108,3.7933,3.8686,1.219,1.2187,189665.8773,189566.487,126034.2707,2829814.8893,2828331.986
603959.SH,20211126,19.02,1.6371,2.917,0.95,394.3757,422.6013,13.9534,6.6411,9.5639,0.0,,49029.8992,49029.8992,27516.3832,932548.6828,932548.6828
300624.SZ,20211126,44.66,4.588,6.0677,0.97,46.3393,397.4233,6.9747,5.9432,5.7198,0.4902,0.4478,12994.704,11067.313,8368.4016,580343.4806,494266.1986
000839.SZ,20211126,2.52,1.7691,2.7835,2.09,,,2.0618,4.1875,4.2015,0.0,,391982.6352,391982.6352,249133.8007,987796.2407,987796.2407
300274.SZ,20211126,152.84,1.1436,1.35,0.73,116.1538,100.2765,15.4118,11.7704,9.9779,0.0449,0.0899,148521.5984,109614.2401,92852.42,22700041.0995,16753440.4569
600152.SH,20211126,8.53,4.3561,8.3051,0.47,91.2108,,2.1545,2.5687,2.0402,0.0,,52548.0527,41128.8032,21572.2655,448234.8895,350828.6913
300049.SZ,20211126,12.78,2.8698,3.3788,0.9,54.3055,37.5399,2.3099,4.1631,3.9652,0.0,,26305.31,23044.4284,19572.4629,336181.8618,294507.795
600540.SH,20211126,5.52,3.178,5.4957,0.95,295.8608,202.8695,3.8412,2.3228,1.7787,0.0,,47092.3313,47092.3313,27232.0354,259949.6688,259949.6688
300741.SZ,20211126,70.0,1.4029,7.4241,1.01,36.5289,38.699,5.7608,20.5836,21.3925,2.8286,2.2857,61588.0,61587.715,11637.715,4311160.0,4311140.05
002686.SZ,20211126,6.35,1.4817,2.3035,0.66,143.2234,87.8059,2.2825,2.4226,1.874,0.0,,56623.9133,39172.7239,25197.7227,359561.8495,248746.7968
300810.SZ,20211126,26.08,3.9027,5.374,0.52,145.1591,76.9633,3.0353,24.5993,14.637,0.2403,0.1278,11805.0,7810.9143,5672.538,307874.4,203708.6449
688157.SH,20211126,110.24,1.4236,1.6278,1.33,100.6551,93.1853,7.6049,20.1761,18.0853,,0.2993,7960.0,3389.1,2964.09,877510.4,373614.384
002587.SZ,20211126,4.75,2.1182,2.3558,0.72,,,2.2795,3.7792,3.9939,1.5833,0.4178,65204.4158,47292.1925,42521.805,309720.9751,224637.9144
603327.SH,20211126,15.75,1.6733,2.5032,0.48,19.8812,22.239,4.0123,3.8181,3.5468,1.5873,2.2857,40100.0,10247.065,6850.0,631575.0,161391.2738
601311.SH,20211126,16.78,2.0596,3.5391,0.71,27.1098,20.7246,2.3642,2.0421,1.6414,0.917,1.1353,117314.6118,117314.6118,68273.1543,1968539.186,1968539.186
002512.SZ,20211126,3.51,9.0165,11.5884,5.67,200.1499,,3.6041,1.9038,1.7627,0.0,,114709.4532,88191.3261,68617.9371,402630.1807,309551.5546
600966.SH,20211126,10.35,0.507,0.9909,0.68,16.5888,6.2232,1.8381,0.9896,0.834,0.1643,1.2077,133684.4288,133684.4288,68397.8451,1383633.8381,1383633.8381
600358.SH,20211126,3.96,0.8166,1.2376,0.74,137.9522,,11.3615,3.8284,2.7227,0.0,,50493.666,50493.666,33319.7,199954.9174,199954.9174
603353.SH,20211126,22.39,1.0647,1.4519,0.86,22.775,29.3514,2.3438,2.1059,1.176,1.3742,1.7178,17339.4,6180.2,4532.1,388229.166,138374.678
002958.SZ,20211126,3.84,0.3187,0.3198,0.68,7.2082,6.6277,0.7496,2.2289,1.9504,3.9062,3.9062,555559.8049,270560.0735,269668.3235,2133349.6508,1038950.6822
002982.SZ,20211126,38.77,2.1247,2.6961,0.94,22.6426,,2.5096,1.8039,1.3908,0.5159,0.5159,10188.0,4718.75,3718.75,394988.76,182945.9375
002300.SZ,20211126,8.87,10.5778,23.8515,1.95,30.6663,37.108,3.5824,0.7334,0.5563,1.2299,1.3529,65666.7,65661.6552,29120.1303,582463.629,582418.8816
600657.SH,20211126,3.24,0.1075,0.2987,0.81,6.1517,9.5643,0.3913,0.3573,0.4253,3.0864,,285187.8595,205530.7703,73937.3051,924008.6648,665919.6958
002867.SZ,20211126,17.9,0.5854,1.617,1.19,19.3646,15.016,3.5204,3.8595,2.3905,1.6762,3.9029,109622.3401,107823.5755,39038.3863,1962239.8878,1930042.0015
300369.SZ,20211126,16.85,1.5036,2.0186,0.91,44.6857,48.2831,4.18,6.6945,5.8525,0.3559,0.4487,79858.4413,73457.1552,54716.1671,1345614.7359,1237753.0651
600858.SH,20211126,5.0,0.5048,1.0786,0.98,,,1.0754,0.4805,0.435,0.7,,52006.6589,51754.8029,24220.0861,260033.2945,258774.0145
603095.SH,20211126,26.06,1.7865,1.7865,0.59,27.8431,17.3322,1.6688,4.6559,2.5866,,1.9186,13200.0,3739.99,3739.99,343992.0,97464.1394
600150.SH,20211126,22.95,1.7002,2.3902,0.58,335.6505,185.4725,2.219,1.858,1.8328,0.0,0.1525,447242.8758,244330.7764,173794.7098,10264223.9996,5607391.3184
300536.SZ,20211126,22.73,0.7237,1.0602,0.5,932.102,931.0359,10.9179,23.126,19.3743,0.1584,0.0108,29328.8133,23764.9083,16222.1627,666643.9263,540176.3657
605319.SH,20211126,16.14,6.7018,6.7018,0.64,30.6183,32.7391,1.8639,2.2782,2.0873,,,20000.0,5000.0,5000.0,322800.0,80700.0
300595.SZ,20211126,62.3,1.0289,1.4783,0.85,122.2804,88.4906,25.2408,60.8578,42.0464,0.0764,0.2351,85050.817,61285.9583,42651.8257,5298665.8991,3818115.2021
000561.SZ,20211126,7.72,0.5879,1.2971,0.7,47.3106,47.1457,2.9581,3.3649,3.08,0.0,,60469.2321,60195.7815,27283.4521,466822.4718,464711.4332
600428.SH,20211126,4.93,1.0569,2.1541,0.69,84.3528,26.2098,1.0691,1.5032,1.4096,0.0,0.4057,214665.0771,214665.0771,105324.7126,1058298.8301,1058298.8301
300546.SZ,20211126,17.54,11.2326,13.5638,4.2,,,2.8779,5.8966,5.2965,0.6939,,13581.475,8656.411,7168.6335,238219.0715,151833.4489
600531.SH,20211126,5.61,1.9588,3.0848,1.26,19.5723,16.7317,1.5426,0.3022,0.2417,1.0695,1.533,109024.2634,109024.2634,69229.0765,611626.1177,611626.1177
002498.SZ,20211126,5.19,3.1006,9.2728,0.8,29.6006,22.03,2.7478,2.4837,2.1097,0.6936,0.6936,332679.6,332679.6,111238.7984,1726607.124,1726607.124
000599.SZ,20211126,3.88,0.4471,0.7445,0.78,,,0.9896,0.7169,0.7398,0.2614,0.2595,81679.2487,81674.4457,49049.6154,316915.485,316896.8493
688560.SH,20211126,38.3,15.8265,15.8265,1.63,59.5754,55.2838,4.5514,6.8412,4.9518,,0.5222,16408.7736,3486.87,3486.87,628456.0289,133547.121
002863.SZ,20211126,5.74,1.8107,3.1904,1.04,44.2241,40.7004,1.5148,0.9192,0.7814,0.2104,0.2265,49881.4864,49881.4864,28310.7092,286319.7319,286319.7319
002743.SZ,20211126,6.31,4.0527,6.3803,1.61,20.666,16.971,0.9105,0.6741,0.5054,0.6613,0.9826,43526.8478,41786.4664,26542.339,274654.4096,263672.603
601700.SH,20211126,4.7,1.7347,3.6668,0.49,24.3718,28.6889,2.0752,2.0481,1.6911,0.0,2.1277,113323.2,113323.2,53610.93,532619.04,532619.04
603378.SH,20211126,24.78,0.8184,2.4174,0.91,23.4726,35.2871,3.2217,2.1125,1.5375,0.4672,1.2802,29895.1327,27909.2565,9448.393,740801.3883,691591.3761
000413.SZ,20211126,2.16,0.9244,1.1104,0.63,,,0.4729,1.756,1.9337,0.0,,573025.0118,486416.6564,404944.3793,1237734.0255,1050659.9778
002919.SZ,20211126,44.76,1.565,2.2776,1.31,53.4701,30.997,7.3343,8.0327,6.757,0.2234,0.5697,12213.5745,6785.762,4662.5264,546679.5946,303730.7071
601319.SH,20211126,4.7,0.0876,0.0969,1.04,10.3569,9.4017,0.9709,0.3561,0.3563,3.2342,3.3194,4422399.0583,3250813.7627,2941450.6985,20785275.574,15278824.6847
600610.SH,20211126,15.75,1.9493,2.5233,0.82,370.3511,218.7085,130.2189,15.6381,12.5343,0.0,,107127.4605,44867.5225,34660.462,1687257.5029,706663.4794
002215.SZ,20211126,5.95,1.1641,1.5672,0.78,32.5734,25.7001,2.0568,1.316,1.3222,2.481,1.6753,91375.6384,71359.1172,53005.6361,543685.0485,424586.7473
