ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
002181.SZ,20210430,4.23,0.343,1.0518,1.05,15.6661,15.3256,1.1499,9.6896,9.6645,1.8676,1.8676,116105.8174,113443.2577,36994.9195,491127.6076,479864.9801
000927.SZ,20210430,3.95,0.9291,1.4204,1.22,25.4755,18.8713,3.4459,0.5375,0.4297,0.0,,605035.3641,89755.0309,58711.1501,2389889.6882,354532.3721
603657.SH,20210430,20.25,5.1737,5.1737,1.58,19.1063,17.0834,2.744,3.1869,2.7255,1.7637,1.7637,13440.0,4007.5,4007.5,272160.0,81151.875
603612.SH,20210430,17.71,3.2832,5.221,1.0,35.9592,24.8005,2.0384,1.3157,1.2096,0.2758,0.2758,43466.2799,42604.3599,26791.8869,769787.817,754523.2138
603779.SH,20210430,6.4,0.5142,0.874,1.29,,,1.851,5.4257,4.9774,0.0,,33274.9154,30545.0232,17972.6612,212959.4586,195488.1485
300576.SZ,20210430,35.35,3.3311,4.4606,1.3,97.5045,84.0288,9.9877,10.1868,8.9075,0.1516,0.1516,15675.3349,7806.4046,5829.6865,554123.0887,275956.4026
600697.SH,20210430,13.06,0.6579,0.8789,0.99,91.478,36.6716,0.7788,0.2597,0.2517,3.0628,3.0628,15908.8075,15515.6015,11614.2124,207769.026,202633.7556
300179.SZ,20210430,4.99,2.6926,3.1779,1.1,32.7636,40.4727,2.8729,7.7453,8.1409,3.9773,2.9889,49432.8999,33923.1788,28742.6281,246670.1705,169276.6622
002629.SZ,20210430,1.82,0.9827,1.0244,0.68,,,26.5752,6.9054,6.0464,0.0,,41194.8,34446.0733,33042.1287,74974.536,62691.8534
688557.SH,20210430,32.24,2.8617,2.8617,1.74,27.9756,25.1736,2.6543,5.1856,4.8397,,,7267.0,1653.7554,1653.7554,234288.08,53317.0741
002545.SZ,20210430,7.03,0.411,1.3598,0.79,28.3124,28.1545,1.122,3.2986,3.3326,1.138,1.138,124406.2083,108008.0372,32643.2255,874575.6443,759296.5015
002992.SZ,20210430,20.34,3.655,3.655,0.88,90.8508,,1.8912,2.0358,2.0973,0.0,,13796.095,3450.0,3450.0,280612.5723,70173.0
000422.SZ,20210430,4.71,0.8617,1.2685,0.64,36.5211,8.1757,7.844,0.3063,0.2875,0.0,,89786.6712,89781.2984,60984.0713,422895.2214,422869.9155
300466.SZ,20210430,4.83,0.9759,1.6256,1.04,136.5683,67.9672,3.0087,4.7456,4.1278,0.0,,53552.9908,37746.6658,22661.3191,258660.9456,182316.3958
600173.SH,20210430,4.63,0.4169,1.0409,0.98,6.7019,6.2441,0.9891,1.4227,1.3456,3.2403,3.2403,70098.9244,70041.6244,28053.1999,324558.02,324292.721
300892.SZ,20210430,46.11,6.5646,6.5646,0.43,33.9436,32.5908,4.1742,3.0682,2.9814,,,10000.0,2500.0,2500.0,461100.0,115275.0
603321.SH,20210430,6.99,0.5034,1.3311,1.35,42.006,38.0506,1.9476,2.957,2.6999,0.7153,0.7153,30700.0,30700.0,11610.0,214593.0,214593.0
600303.SH,20210430,3.61,2.1221,2.9057,1.39,44.4387,80.9563,0.8371,0.9298,0.8606,0.5817,0.5817,67560.4211,67560.4211,49339.6343,243893.1202,243893.1202
000410.SZ,20210430,3.7,0.1263,0.205,1.06,,,24.0769,4.6391,4.0566,0.0,,168403.5944,168091.4444,103554.3669,623093.2993,621938.3443
300234.SZ,20210430,7.14,10.6665,12.9062,0.94,48.705,230.4851,4.0361,8.2721,7.9993,0.4709,,51142.4086,31641.4361,26150.5218,365156.7974,225919.8538
300599.SZ,20210430,11.2,1.5254,2.4716,0.86,16.0223,15.0416,1.9086,1.6458,1.5288,2.0536,2.0536,30400.0,14990.57,9251.865,340480.0,167894.384
000554.SZ,20210430,4.69,1.768,1.768,0.88,309.4028,134.3366,2.4561,0.9303,0.8761,0.0,,48079.3318,36264.9711,36264.9711,225492.0661,170082.7145
002038.SZ,20210430,11.9,7.6154,11.15,1.63,33.5212,30.954,2.4025,10.9869,10.441,1.6807,1.6807,102735.0,85167.5207,58169.0715,1222546.5,1013493.4963
000158.SZ,20210430,5.68,2.0578,3.538,0.35,89.6304,81.5083,1.5318,0.9187,0.9001,0.0,,159861.6721,157348.3915,91518.1061,908014.2975,893738.8637
002122.SZ,20210430,2.7,1.4385,2.4398,0.69,20.2838,18.5015,2.0015,4.4956,4.409,0.0,,120173.65,118800.0,70045.0348,324468.855,320760.0
300223.SZ,20210430,70.5,11.3164,12.8451,2.1,451.676,182.5551,3.9663,15.2378,10.3948,0.0,,46897.7393,13907.6101,12252.5209,3306290.6207,980486.5121
600177.SH,20210430,7.43,0.629,1.3518,2.57,4.7534,5.0655,1.1378,2.9971,3.6278,2.6918,2.6918,462900.2973,462900.2973,215377.689,3439349.2089,3439349.2089
002160.SZ,20210430,4.57,18.731,24.1823,1.73,164.1362,58.1277,1.18,0.8307,0.7414,0.0,,79558.1976,72544.4999,56191.3931,363580.963,331528.3645
