ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
600540.SH,20210625,4.96,1.9081,3.2997,0.77,265.8459,184.1055,3.4235,2.0872,1.6098,0.0,,47092.3313,47092.3313,27232.0354,233577.9632,233577.9632
300741.SZ,20210625,57.05,2.2298,2.2298,1.21,29.7711,29.6501,5.011,16.7757,16.6022,3.4706,2.8046,61588.0,11587.715,11587.715,3513595.4,661079.1408
002686.SZ,20210625,5.48,0.4848,0.7539,1.0,123.6007,72.9603,2.0132,2.0907,1.7995,0.0,,56623.9133,39150.2239,25175.2227,310299.0449,214543.227
300810.SZ,20210625,38.68,2.9651,4.3026,0.7,143.5264,159.7385,3.0165,24.3226,21.7538,0.243,,7870.0,5207.2762,3588.5262,304411.6,201417.4434
688157.SH,20210625,121.8,4.688,4.688,2.09,111.21,101.058,8.849,22.2918,20.8478,,0.2709,7960.0,2265.15,2265.15,969528.0,275895.27
002587.SZ,20210625,4.77,2.1001,2.3598,1.2,,,2.3215,3.7952,3.6313,1.5766,0.416,65204.4158,43349.8851,38579.4976,311025.0634,206778.9519
603327.SH,20210625,15.5,1.6635,2.4885,1.3,19.5657,20.4944,4.3652,3.7575,3.5508,1.6129,2.3226,40100.0,10247.065,6850.0,621550.0,158829.5075
601311.SH,20210625,11.24,1.233,2.1926,0.88,17.3632,13.4673,1.6634,1.3079,1.1291,1.4317,1.4317,112171.0163,112171.0163,63079.02,1260802.2232,1260802.2232
002512.SZ,20210625,3.81,3.5375,5.474,0.64,217.2567,,3.4897,2.0665,1.7686,0.0,,114709.4532,85483.4684,55242.7979,437043.0167,325692.0146
600966.SH,20210625,13.83,1.2759,2.4938,0.88,22.1665,12.67,2.6808,1.3223,1.1983,0.1229,0.1229,133684.4288,133684.4288,68397.8451,1848855.6503,1848855.6503
600358.SH,20210625,3.45,0.4729,0.7167,1.07,120.1856,,11.1894,3.3353,2.9189,0.0,,50493.666,50493.666,33319.7,174203.1477,174203.1477
002893.SZ,20210625,10.96,7.8578,9.9773,0.83,78.7226,39.8918,2.97,2.3618,2.3261,0.7019,,20505.732,10319.1119,8126.9839,224742.8227,113097.4664
300648.SZ,20210625,30.83,4.1293,5.127,1.23,79.938,56.96,4.6028,7.9258,7.3177,0.0297,0.1595,14778.3896,7989.2224,6434.5326,455617.7514,246307.7266
002382.SZ,20210625,21.18,4.4945,6.4737,2.2,12.1237,6.3982,1.6965,2.7091,2.1027,0.4522,,100657.2917,79529.3929,55214.4586,2131921.4382,1684432.5416
002243.SZ,20210625,9.69,0.8472,1.4295,0.64,19.9438,19.8765,2.0262,5.3719,5.1432,0.6949,0.8256,121060.4219,54841.0794,32503.3086,1173075.4882,531410.0594
002898.SZ,20210625,9.9,1.1043,2.0323,0.92,,,2.9579,14.4377,11.1225,0.2755,0.2755,17600.0,10098.5061,5487.3491,174240.0,99975.2104
002760.SZ,20210625,22.78,6.9058,13.1258,0.98,32.8818,29.9423,3.0848,2.8458,2.5345,0.0,0.5268,8800.0,7610.6922,4004.1834,200464.0,173371.5683
002963.SZ,20210625,15.76,3.2018,3.2018,3.02,55.4301,49.5899,1.4213,3.9619,3.4197,0.9518,0.1904,15035.993,6899.453,6899.453,236967.2497,108735.3793
300059.SZ,20210625,32.7,5.6923,6.3763,2.63,70.735,58.1226,9.7762,103.9205,84.4169,0.0596,0.1529,1033576.3789,855864.6284,764057.6582,33797947.59,27986773.3487
000951.SZ,20210625,27.77,0.5976,1.6496,0.79,12.3973,10.4965,1.736,0.3888,0.3219,1.5838,2.4487,83919.24,67108.08,24309.2674,2330437.2948,1863591.3816
300529.SZ,20210625,86.5,1.6837,2.0822,1.17,79.561,71.485,27.0774,35.696,32.3763,0.5426,0.7626,80502.8968,51396.1449,41558.8256,6963500.5732,4445766.5339
003005.SZ,20210625,38.03,2.6907,2.6907,0.88,27.2539,21.4369,2.8779,6.711,5.694,,,10600.0,2650.0,2650.0,403118.0,100779.5
603716.SH,20210625,13.85,0.556,3.7511,0.7,49.33,32.3644,1.8161,1.3359,1.2028,0.5588,,20501.8993,20132.3345,2984.2153,283951.3053,278832.8328
300549.SZ,20210625,20.46,7.0898,14.1506,0.73,120.5021,70.1869,5.2541,8.7588,7.8429,0.391,0.4888,13334.0,9956.75,4988.54,272813.64,203715.105
002259.SZ,20210625,3.89,0.6316,0.6316,1.15,27.8101,18.9956,37.9492,3.0533,2.5865,0.0,,75232.8267,75232.8267,75232.8267,292655.6959,292655.6959
688108.SH,20210625,11.11,1.6464,2.67,0.59,202.5097,,4.394,13.9121,16.0954,0.9001,0.9001,41000.0,28738.0545,17720.0949,455510.0,319279.7855
