ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
600758.SH,20221028,3.73,1.8576,4.156,1.37,185.2256,21.1211,0.9113,0.8337,0.7846,0.0,,132201.7394,132074.3394,59031.7003,493112.488,492637.286
000524.SZ,20221028,8.85,1.601,6.1241,1.48,,,2.8024,3.886,4.9898,0.0,,67020.8597,67008.1621,17517.0915,593134.6083,593022.2346
000566.SZ,20221028,4.24,1.3573,1.8345,0.95,,,2.6348,2.6715,2.7048,0.0,,129736.5126,116539.0241,86225.9665,550082.8134,494125.4622
002320.SZ,20221028,4.73,0.3354,1.2407,1.45,39.6521,99.3012,2.6991,7.5354,4.112,1.9732,2.1142,222893.3187,222893.3187,60249.2426,1054285.3975,1054285.3975
600499.SH,20221028,15.6,2.7194,3.8031,1.19,30.2214,7.8989,2.7492,3.1026,2.6642,0.6213,1.1183,194841.9929,163720.5702,117068.5166,3039535.0892,2554040.8951
002852.SZ,20221028,10.16,2.6709,3.6577,1.84,,,1.6173,0.6693,0.5437,0.7511,,35900.0,28621.8537,20900.05,364744.0,290798.0336
002503.SZ,20221028,1.18,1.2306,1.4305,1.21,,,,0.6957,1.534,0.0,,305185.2544,260232.0965,223865.2351,360118.6002,307073.8739
600871.SH,20221028,1.82,0.2392,1.1425,1.08,192.1759,254.3843,4.5306,0.4969,0.4683,0.0,,1898434.0033,1356937.8551,284148.2187,3455149.886,2469626.8963
002067.SZ,20221028,3.41,0.8962,0.9357,1.52,9.2295,13.9264,0.7489,0.6541,0.6334,0.0,,119394.4478,105635.8778,101180.8778,407135.067,360218.3433
601225.SH,20221028,21.41,0.6517,1.8686,1.31,9.819,5.5424,2.1307,1.3632,1.2712,3.7366,6.3055,969500.0,969500.0,338117.48,20756995.0,20756995.0
688800.SH,20221028,107.0,6.5753,7.817,1.62,106.3357,50.5632,6.6168,13.4274,8.2558,,0.2854,11315.7052,6962.8,5856.8,1210780.4564,745019.6
002398.SZ,20221028,5.49,1.3758,1.4564,1.59,14.4688,15.8009,1.1089,0.8,0.8914,1.4651,1.4646,71659.0206,58249.2731,55024.6723,393408.0231,319788.5093
003010.SZ,20221028,16.1,21.1445,32.4445,1.43,67.1128,,1.8482,1.5207,1.605,0.4969,1.2422,12169.984,7168.2792,4671.6523,195936.7424,115409.2951
000958.SZ,20221028,4.08,1.1956,1.9816,1.11,16.9473,15.946,1.1851,3.3421,5.3253,1.4706,1.4706,538341.852,110206.7026,66493.983,2196434.7562,449643.3466
000050.SZ,20221028,8.68,0.2728,0.584,1.13,13.8307,29.7626,0.7047,0.6702,0.6757,0.8065,0.8065,245774.7661,237577.6352,110983.9756,2133324.9697,2062173.8735
300837.SZ,20221028,45.39,4.0611,4.0611,0.68,28.8006,25.3702,3.849,7.918,6.7559,0.6609,0.6609,10000.0,3325.0,3325.0,453900.0,150921.75
601990.SH,20221028,7.79,0.9211,1.6959,0.77,29.3845,45.6029,1.7258,10.4743,13.2815,1.6688,1.2837,368636.1034,361993.0567,196607.5343,2871675.2455,2819925.9117
000048.SZ,20221028,16.04,0.5166,1.6104,0.78,21.5564,,5.0338,2.6053,4.8144,7.1936,8.1047,52323.925,52323.925,16786.4258,839275.757,839275.757
002075.SZ,20221028,3.85,0.9522,1.2979,0.96,7.6382,11.9356,1.3315,0.4596,0.4633,2.5822,2.0657,220677.1772,220676.8247,161889.6521,849607.1322,849605.7751
300669.SZ,20221028,8.11,0.7063,1.4737,0.67,30.9857,30.836,1.842,3.8594,3.8044,1.279,1.8907,19270.5526,17942.9819,8598.7081,156284.1816,145517.5832
600332.SH,20221028,27.08,0.8507,1.7756,1.07,11.8354,11.3397,1.4008,0.6379,0.6264,1.9867,2.5369,162579.0949,140589.0949,67358.5846,4402641.8899,3807152.6899
600234.SH,20221028,7.06,0.429,0.6258,0.94,146.9059,2340.4321,3.0404,3.1356,5.2251,0.0,,26252.0973,20244.588,13875.9388,185339.8069,142926.7913
603881.SH,20221028,23.68,1.3715,2.7659,1.11,70.1685,84.8495,2.6628,6.4594,5.6927,0.181,0.1436,32892.7197,32892.7197,16310.7834,778899.6025,778899.6025
002025.SZ,20221028,79.43,1.084,1.8755,1.11,73.7928,67.0541,6.4579,7.137,5.9223,0.2386,0.2518,45266.2256,45256.1028,26157.5257,3595496.2994,3594692.2454
002915.SZ,20221028,17.0,1.827,3.307,0.82,32.1019,35.1539,3.3415,3.6534,3.5868,0.932,1.0504,32795.7575,26791.2834,14800.9319,557527.8775,455451.8178
000725.SZ,20221028,3.51,0.6299,0.7497,1.03,5.1903,6.872,1.0632,0.6113,0.6627,2.5703,5.8996,3819636.3421,3646924.2604,3064388.5736,13406923.5608,12800704.154
600113.SH,20221028,6.11,1.1794,2.3259,1.13,3.8535,3.7647,1.2051,3.895,2.8009,0.4092,3.928,41143.116,41143.116,20862.336,251384.4388,251384.4388
000543.SZ,20221028,4.68,1.5476,3.5776,1.06,,,0.8432,0.5044,0.43,1.6239,,226686.3331,226686.3331,98063.3989,1060892.0389,1060892.0389
603089.SH,20221028,9.37,2.9191,8.6294,0.88,33.2755,24.9255,1.8819,1.2944,1.1578,1.6008,1.0672,22250.0903,22250.0903,7526.7306,208483.3461,208483.3461
601860.SH,20221028,2.51,1.1873,1.433,1.16,6.0646,5.7389,0.5568,2.0411,2.0109,3.984,3.9841,366097.5366,347496.7668,287898.5822,918904.8169,872216.8847
