ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
603236.SH,20220325,181.11,0.6467,0.6789,0.58,139.2904,74.9071,8.2227,4.312,2.3486,0.2166,0.2166,14537.0828,9857.0828,9389.6661,2632811.0659,1785216.2659
000576.SZ,20220325,12.81,2.5089,4.5296,0.87,8.3656,180.4555,3.3874,11.0203,8.3318,1.53,1.53,44286.1324,42837.4557,23727.4557,567305.356,548747.8075
301076.SZ,20220325,31.3,2.731,2.731,0.68,34.8565,38.597,1.6051,8.6539,7.9748,,,7960.0,2000.0,2000.0,249148.0,62600.0
000786.SZ,20220325,28.49,0.5638,1.016,1.01,13.7127,13.7127,2.5408,2.2828,2.2828,1.9305,1.9305,168950.7842,168950.7842,93756.9604,4813407.8419,4813407.8419
600467.SH,20220325,3.09,6.5495,10.9612,2.99,72.5234,68.7374,1.3648,3.6699,3.5927,0.4207,0.4207,146099.4304,146099.4304,87296.9114,451447.2399,451447.2399
603336.SH,20220325,7.58,7.2337,14.6241,2.31,45.4523,62.5248,3.1969,3.4492,3.4395,0.6601,0.6601,43867.9917,43867.9917,21699.0414,332519.3771,332519.3771
001979.SZ,20220325,14.28,0.2894,0.7891,0.49,10.9083,10.9083,1.3378,0.7043,0.7043,4.3776,4.3776,792324.2592,792162.4771,290490.1662,11314390.4214,11312080.173
300962.SZ,20220325,18.0,10.1684,10.7212,1.02,77.2208,49.2766,5.6585,18.5653,15.6414,0.8889,0.8889,26400.1897,6600.05,6259.7111,475203.4146,118800.9
603626.SH,20220325,9.1,1.0182,1.693,0.73,,20.9893,1.6996,1.4634,1.3821,0.0,,55754.939,55240.199,33223.6029,507369.9449,502685.8109
688283.SH,20220325,31.45,7.118,7.118,0.8,58.8761,52.0901,3.3717,20.2921,16.218,,,8400.0,1753.1327,1753.1327,264180.0,55136.0234
002635.SZ,20220325,12.65,0.9406,1.1956,0.78,18.4486,62.8047,1.5346,2.9749,2.42,1.5901,1.5901,68324.4203,41145.2812,32369.3008,864303.9168,520487.8072
002463.SZ,20220325,13.57,0.7086,1.0657,0.39,24.2009,24.2009,3.5577,3.4693,3.4693,1.34,1.34,189665.8772,189566.067,126033.8507,2573765.9536,2572411.5292
603959.SH,20220325,13.57,0.5634,0.8053,0.81,281.3711,301.5089,9.9552,4.7382,6.8235,0.0,,49029.8992,49029.8992,34299.4642,665335.7321,665335.7321
300624.SZ,20220325,40.61,3.9496,5.1961,0.83,42.1211,361.2466,6.3444,5.4022,5.1991,0.4927,0.4927,12989.8009,11250.8277,8551.9163,527515.8145,456896.1129
000839.SZ,20220325,2.26,0.5673,0.8926,1.1,,,1.8491,3.7555,3.768,0.0,,391982.6352,391982.6352,249133.8007,885880.7556,885880.7556
300274.SZ,20220325,108.86,1.3091,1.5454,0.77,82.7304,71.4218,10.977,8.3835,7.1067,0.1262,0.1262,148521.5984,109614.2401,92852.42,16168061.2018,11932606.1773
600152.SH,20220325,6.42,2.447,4.0688,0.8,68.5735,,1.6197,1.9312,1.5338,0.0,,52490.4562,49064.6814,29508.1437,336988.7288,314995.2546
300049.SZ,20220325,13.49,2.6015,3.063,0.53,57.3225,34.7708,2.3641,4.3944,3.8962,0.0,,26305.31,23044.4284,19572.4629,354858.6319,310869.3391
600540.SH,20220325,5.93,7.6452,13.2209,1.82,392.3834,269.0544,2.8006,3.0807,2.359,0.0,,58137.696,47092.3313,27232.0354,344756.5373,279257.5246
300741.SZ,20220325,28.13,1.077,5.6996,2.14,14.6794,15.5515,2.315,8.2717,8.5967,5.6879,5.6879,61588.0,61587.715,11637.715,1732470.44,1732462.423
002686.SZ,20220325,5.84,1.6988,2.2668,0.43,131.7204,80.7538,2.0992,2.2281,1.7235,0.0,,56623.9133,39172.7239,29356.4927,330683.6537,228768.7076
300810.SZ,20220325,20.05,0.9177,1.2138,0.89,111.5966,59.1685,2.3335,18.9117,11.2527,0.1663,0.1663,11805.0,7810.9143,5905.633,236690.25,156608.8317
