ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
002418.SZ,20250221,3.67,30.6324,42.3281,1.81,191.5636,,2.7559,1.8155,1.7506,0.0,,113640.0,113640.0,82240.0,417058.8,417058.8
603660.SH,20250221,8.09,6.4966,8.5918,1.05,,,5.2011,2.3902,3.0526,0.0,,53662.3553,53233.0203,40251.8575,434128.4544,430655.1342
301189.SZ,20250221,27.1,13.7134,13.7457,0.67,,,1.3983,5.938,6.2682,0.0,,11489.6465,4088.7873,4079.1675,311369.4202,110806.1358
600778.SH,20250221,6.49,7.9828,12.7933,0.89,,,9.0221,1.1747,1.2494,0.0,,31149.1352,31121.4882,19419.3501,202157.8874,201978.4584
688665.SH,20250221,44.19,3.3059,10.7383,0.89,33.3354,47.5762,4.5266,6.395,5.6694,1.3609,1.3609,10010.0,10010.0,3081.65,442341.9,442341.9
300881.SZ,20250221,31.01,2.2642,4.4591,0.78,28.3069,14.1564,3.2577,1.722,1.2653,1.7736,1.7736,11000.0,5740.625,2915.0,341110.0,178016.7813
002120.SZ,20250221,7.26,1.0254,2.2798,1.05,12.9517,11.2632,1.063,0.4679,0.4417,2.3356,2.3356,289919.5197,281512.3784,126612.731,2104815.713,2043779.8672
688680.SH,20250221,31.8,2.3759,3.8333,1.09,,,1.5404,0.5484,0.8979,0.3719,0.3719,8402.0325,8402.0325,5207.6525,267184.6335,267184.6335
600817.SH,20250221,12.48,2.3965,8.2709,0.67,30.6765,29.875,2.8734,2.3047,1.9713,3.7987,3.7987,53684.939,52724.9346,15277.2432,669988.0387,658007.1838
920810.BJ,20250221,12.23,7.2148,12.2883,1.24,57.8353,,3.1769,5.0751,8.9249,0.8177,0.8177,6850.0,4457.6818,2617.2246,83775.5,54517.4484
002542.SZ,20250221,4.11,6.2877,9.5199,0.68,,,3.6896,2.938,3.5073,0.0,,180611.6738,160124.9649,105758.5839,742313.9793,658113.6057
300608.SZ,20250221,14.4,13.1421,19.2398,1.31,216.5838,,3.416,5.4791,6.0215,0.0693,0.0693,33121.8123,27510.5069,18791.6318,476954.0971,396151.2994
300889.SZ,20250221,15.09,2.722,3.3613,1.05,68.5946,,1.5396,2.2058,2.4285,0.1977,0.1977,15600.0,9772.3375,7913.7564,235404.0,147464.5729
