ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
600520.SH,20250822,31.19,4.8685,6.2527,1.02,225.9331,305.4172,13.1303,15.7183,16.0415,0.0,,15843.0,15843.0,12335.6667,494143.17,494143.17
600483.SH,20250822,9.71,0.783,2.2524,1.29,9.6645,9.1772,1.0463,1.8536,1.8921,2.9636,3.1926,278013.78,278013.78,96639.4756,2699513.8038,2699513.8038
688480.SH,20250822,42.09,1.8729,2.8024,0.95,22.197,35.0655,3.7511,4.3273,4.0359,1.1879,1.4968,9532.6179,6384.6179,4266.8607,401227.8874,268728.5674
920701.BJ,20250822,20.89,2.0681,5.3634,0.62,16.7118,55.5189,3.6549,3.5848,3.5286,1.7096,1.0258,13720.0,10020.724,3864.0,286610.8,209332.9244
301533.SZ,20250822,41.24,10.1198,10.2816,0.97,50.9754,55.8165,3.6772,4.3838,4.3752,0.9684,0.9583,9830.67,2843.67,2798.92,405416.8308,117272.9508
600528.SH,20250822,8.86,1.5028,3.4105,0.84,11.1203,12.1492,0.813,0.6786,0.6974,1.1433,1.1693,222155.1588,222155.1588,97891.1424,1968294.707,1968294.707
600903.SH,20250822,7.17,1.2969,4.0961,0.8,131.8924,255.7157,2.7271,1.2344,1.1875,0.5021,0.5029,115000.8428,115000.8428,36411.5069,824556.0429,824556.0429
301298.SZ,20250822,17.8,2.6177,3.3421,0.78,41.7759,38.5563,2.9194,4.1765,4.2092,1.6573,1.6573,14680.0,10820.4492,8475.2153,261304.0,192603.9958
605056.SH,20250822,15.03,0.8312,2.8707,1.12,27.667,26.1706,3.9064,1.7106,1.62,1.0005,2.3602,41036.724,40667.324,11775.0733,616781.9617,611229.8797
001337.SZ,20250822,23.4,2.0438,3.6716,0.92,39.5987,36.7696,6.7643,15.3602,14.9299,1.4957,1.4957,42000.0,28845.6,16057.31,982800.0,674987.04
300284.SZ,20250822,9.72,1.7117,3.0474,0.66,54.7052,75.7787,1.4545,2.5957,2.761,1.4403,0.9259,126282.7774,119735.2359,67251.9576,1227468.5963,1163826.4929
603677.SH,20250822,20.87,1.9067,7.2697,0.71,59.5973,60.5815,3.4923,2.0056,1.9242,0.9561,1.1979,19260.0865,19260.0865,5051.4865,401958.0053,401958.0053
002567.SZ,20250822,4.91,2.4259,2.9622,1.07,19.7973,14.7859,1.2149,0.2891,0.2766,0.0,,143305.1393,143151.4373,117231.6725,703628.234,702873.5571
601618.SH,20250822,3.28,0.7529,2.0892,0.65,10.0762,11.9788,0.661,0.1231,0.1296,2.1951,1.7073,2072361.917,1785261.917,643390.387,6797347.0878,5855659.0878
002203.SZ,20250822,12.49,2.0578,3.709,0.59,36.7656,35.2701,1.8617,0.2959,0.3004,1.3138,1.3369,207023.6865,200010.7162,110969.4358,2585725.8444,2498133.8453
