ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
689009.SH,20220121,64.0,0.2153,1.6543,0.89,616.617,120.2498,10.8325,7.5473,5.0977,,,70788.721,44299.4824,5766.414,4530478.144,2835166.8736
002952.SZ,20220121,17.1,14.1647,21.8814,0.54,32.5788,56.9309,3.4073,6.0528,5.1702,1.7544,1.7544,16434.0,6992.6132,4526.6042,281021.4,119573.6857
601969.SH,20220121,10.54,0.6877,3.7948,1.09,149.5134,20.1612,3.7297,7.7103,5.3904,0.0,,202170.1729,195472.0314,35421.7235,2130873.6224,2060275.211
000411.SZ,20220121,14.25,3.2256,7.1132,0.98,23.2163,20.5192,2.0043,0.1455,0.1377,0.4448,0.4448,25537.615,20742.2211,9405.8239,363911.0138,295576.6507
603238.SH,20220121,13.16,0.8114,2.0966,0.36,8.8327,15.8665,1.8971,1.1725,1.4171,2.3582,2.3582,17907.5,17603.0,6812.1,235662.7,231655.48
603386.SH,20220121,19.13,1.0397,3.5427,0.7,37.3335,20.894,3.1296,2.1699,1.7545,1.1011,1.1011,23431.6063,22195.7568,6514.0113,448246.6285,424604.8276
300456.SZ,20220121,22.76,0.9607,1.1712,0.62,82.6185,77.3623,3.132,21.7179,20.4054,0.1346,0.1346,72997.9072,36613.0355,30032.3648,1661432.3679,833312.688
000657.SZ,20220121,14.07,1.6642,3.0448,0.88,68.333,32.365,3.1484,1.5232,1.1634,0.0,,107386.3842,94769.443,51797.2894,1510926.4257,1333406.063
688027.SH,20220121,168.1,0.7668,0.9949,1.01,456.0413,1708.7872,8.2411,100.2478,88.5341,0.0714,0.0714,8000.0,4575.0,3526.247,1344800.0,769057.5
603429.SH,20220121,23.59,0.4494,0.7653,0.58,124.9676,69.3379,7.0849,19.3246,14.4159,0.4239,0.4239,38023.8957,37256.6957,21877.7457,896983.6996,878885.4516
300917.SZ,20220121,27.86,4.6934,4.6934,1.0,36.4714,32.3962,4.3429,3.2668,2.3192,0.9664,0.9664,13000.0,6662.5,6662.5,362180.0,185617.25
688399.SH,20220121,139.37,9.515,9.515,0.64,9.9685,6.621,3.494,4.6962,2.9065,3.9463,3.9463,5862.0,3447.48,3447.48,816986.94,480475.2876
603737.SH,20220121,119.82,0.3088,0.9076,0.5,89.8908,187.2473,18.6212,5.5004,4.0597,0.3398,0.3398,37643.7486,36497.3822,12416.5227,4510473.9573,4373116.3352
601158.SH,20220121,6.14,0.0913,0.7979,0.6,16.6158,13.0302,1.7935,4.6416,4.0773,4.1531,4.1531,480000.0,480000.0,54903.9311,2947200.0,2947200.0
603897.SH,20220121,42.58,2.0743,5.102,0.9,50.4538,25.5916,3.6135,1.4012,0.8665,2.2896,2.2896,20643.5681,20643.5681,8393.2381,879003.1297,879003.1297
600539.SH,20220121,7.86,3.1209,5.6777,1.26,162.1815,106.2376,4.193,8.7202,4.0661,0.0,,23000.0,23000.0,12642.6247,180780.0,180780.0
002406.SZ,20220121,5.89,0.9985,1.1314,0.93,11.33,13.4974,1.1245,1.6978,1.6482,4.2444,4.2444,62415.8139,49614.8542,43786.9045,367629.1439,292231.4912
300121.SZ,20220121,10.15,1.9551,3.2007,0.77,30.2716,12.9413,2.0613,1.9593,1.4723,1.4537,1.4537,37513.1706,36027.5855,22006.718,380758.6816,365679.9928
003011.SZ,20220121,35.6,2.4148,2.4148,0.7,19.4132,31.0443,2.8935,2.9865,2.269,0.6019,0.6019,10267.6,5972.0123,5972.0123,365526.56,212603.6379
000021.SZ,20220121,14.88,0.4207,0.7174,0.66,27.0921,25.0205,2.4505,1.5515,1.3936,1.0753,1.0753,156058.7588,156002.8401,91482.0243,2322154.3309,2321322.2607
603360.SH,20220121,12.01,0.4709,1.141,0.38,14.1543,15.456,3.2652,4.1876,3.5887,4.7835,4.7835,26134.64,25588.54,10560.5212,313877.0264,307318.3654
002928.SZ,20220121,13.55,0.8002,1.8959,1.23,22.4083,44.1859,3.7795,2.9049,2.9328,0.4502,0.4502,101356.7644,101356.7644,42780.2299,1373384.1576,1373384.1576
000806.SZ,20220121,2.73,1.0648,1.1363,0.45,51.4967,,,2.715,2.7459,0.0,,109991.1762,69930.4718,65531.4566,300275.911,190910.188
