ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
600665.SH,20220617,3.32,1.3721,3.2295,0.82,7.6137,7.46,0.6944,0.4133,0.4121,4.5783,4.5783,86412.2521,86412.2521,36712.1583,286888.677,286888.677
000540.SZ,20220617,1.93,1.5229,2.7889,0.55,,,1.2356,2.3562,4.8845,0.0,,700525.4679,697442.5467,380829.0353,1352014.153,1346064.1151
300629.SZ,20220617,20.27,2.8318,3.5962,0.74,37.9893,33.1394,3.2722,10.2308,9.8593,0.3568,0.3795,18185.0826,13559.5423,10677.637,368611.6243,274851.9224
600568.SH,20220617,1.68,0.8308,1.4377,1.89,,,0.9317,5.7619,5.4871,0.0,,199286.9681,156494.8288,90433.0505,334802.1064,262911.3124
002601.SZ,20220617,20.61,0.9766,1.1093,0.84,10.4945,10.4938,2.7587,2.3863,2.2319,5.3203,6.0651,238121.0256,156010.6945,137343.8848,4907674.3376,3215380.4136
300382.SZ,20220617,16.32,2.4114,4.8684,1.19,88.1745,70.1798,6.9636,9.4392,8.5382,0.1476,0.1476,58040.2816,58034.6116,28745.2036,947217.3957,947124.8613
600774.SH,20220617,11.47,0.3524,0.8263,0.74,39.4964,39.0762,2.0625,2.2939,2.3113,0.0,0.8718,29503.2402,29484.2131,12575.3218,338402.1651,338183.9243
600318.SH,20220617,7.97,9.9219,13.9126,0.62,,,3.5569,10.3349,10.876,0.0,,51272.7632,51272.7632,36565.7075,408643.9227,408643.9227
603318.SH,20220617,7.87,2.9631,6.5162,0.42,72.1763,67.4138,2.8324,1.1408,1.0892,0.2541,,37801.1155,37801.1155,17189.1924,297494.779,297494.779
300110.SZ,20220617,3.66,0.7884,1.3557,0.88,33.1805,33.1264,1.8218,2.7721,2.6993,0.4098,0.4918,118221.2982,118037.1607,68639.6021,432689.9514,432016.0082
301129.SZ,20220617,59.65,3.4962,3.4962,1.67,25.6556,24.8689,3.0327,8.2968,8.1444,,1.1735,7366.0,1842.0,1842.0,439381.9,109875.3
