ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
000034.SZ,20251128,39.72,2.1128,2.2572,0.66,38.1764,54.2996,2.5877,0.2242,0.2068,1.0144,0.6551,72344.4335,60477.328,56607.8829,2873520.8986,2402159.4682
600721.SH,20251128,10.11,10.2561,13.5988,1.54,93.7287,77.4457,4.8976,10.0783,9.8742,0.0,,38454.7635,38454.7635,29002.2548,388777.659,388777.659
002608.SZ,20251128,7.77,0.2138,1.1364,0.6,9.0659,8.2803,0.8407,0.8167,0.8616,1.287,1.287,377807.9704,377807.9704,71091.8133,2935567.93,2935567.93
920509.BJ,20251128,34.98,4.8289,7.0567,0.86,111.1774,83.843,16.256,28.9121,26.0563,0.7271,0.7153,16030.5696,8367.052,5725.6113,560749.3246,292679.479
600641.SH,20251128,16.95,1.5113,2.1989,0.79,146.6827,99.9102,1.9352,27.1302,11.75,0.2888,0.2498,93062.992,93062.992,63962.1099,1577417.7144,1577417.7144
600993.SH,20251128,27.44,0.5595,0.8547,0.47,22.3978,20.693,2.7511,3.1728,3.1345,1.4577,2.2595,43105.3891,43030.7016,28169.398,1182811.8769,1180762.4519
601139.SH,20251128,6.58,0.1998,0.817,0.49,12.9911,14.3516,1.1986,0.6677,0.6281,2.4316,2.4316,287674.1752,287674.1752,70347.0323,1892896.0728,1892896.0728
300410.SZ,20251128,8.76,2.9095,3.7363,0.76,,,13.3566,4.5248,4.12,0.0,,36711.4797,36711.4797,28588.4436,321592.5622,321592.5622
300301.SZ,20251128,2.5,1.4109,1.5254,0.95,,,12.6093,4.1071,4.7298,0.0,,82986.8769,78987.6719,73061.8561,207467.1923,197469.1798
300285.SZ,20251128,22.83,1.8495,1.9376,0.83,37.6358,37.192,3.2483,5.6251,5.2157,0.438,0.871,99704.8299,84134.4847,80309.7612,2276261.2666,1920790.2857
300458.SZ,20251128,41.98,1.92,2.262,0.68,207.81,117.7824,11.0806,15.1455,12.5398,0.2735,0.4569,82542.7382,67567.4787,57350.0046,3465144.1496,2836482.7558
605090.SH,20251128,33.5,1.2783,2.5789,1.26,13.8331,16.7543,2.2197,1.0564,1.1302,2.139,3.4186,69524.211,69370.9407,34385.6584,2329061.0685,2323926.5135
688686.SH,20251128,116.53,0.5596,2.0101,0.87,104.5357,76.1847,4.6668,15.6293,11.965,0.5664,0.2139,12223.5455,12223.5455,3402.7889,1424409.7571,1424409.7571
