ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
600230.SH,20250725,14.4,12.7738,23.6599,0.73,214.9009,382.8222,1.4957,1.1755,1.2218,0.9634,0.1458,41396.1015,41396.1015,22349.3591,596103.8616,596103.8616
301552.SZ,20250725,39.98,6.6111,6.6111,0.75,25.3352,25.1914,3.4177,6.222,5.9983,0.0,1.7866,9520.0,2380.0,2380.0,380609.6,95152.4
688528.SH,20250725,11.26,1.2787,3.7942,0.67,,,3.6688,5.9019,6.8703,,,16800.0,16800.0,5661.896,189168.0,189168.0
605028.SH,20250725,19.55,2.9868,11.9473,1.44,18.2152,18.3416,2.4424,8.7087,9.0849,3.0691,4.0921,16000.0,16000.0,4000.0,312800.0,312800.0
600237.SH,20250725,7.67,2.574,3.3694,0.61,50.5303,48.9805,2.5942,3.7557,3.6093,0.0,,63070.9155,62167.6155,47491.8898,483753.9219,476825.6109
002465.SZ,20250725,13.01,2.2027,3.0313,0.76,607.6628,574.3529,2.5825,6.5632,6.7059,1.153,0.4612,248183.3948,247788.7109,180057.4224,3228865.9663,3223731.1288
300732.SZ,20250725,8.6,15.8743,30.5078,1.23,,,1.0972,1.8585,1.8191,2.3255,,32431.5368,32390.4885,16853.944,278911.2165,278558.2011
002428.SZ,20250725,21.99,9.1668,11.4596,1.49,270.4955,192.0318,9.9184,18.7152,16.3791,0.091,0.1364,65312.0,65303.5625,52237.7225,1436210.88,1436025.3394
600007.SH,20250725,20.99,0.2682,1.3858,0.95,16.7483,17.0875,2.3873,5.4045,5.4495,6.1934,5.2406,100728.2534,100728.2534,19492.2293,2114286.0389,2114286.0389
688701.SH,20250725,9.15,1.8606,3.7119,0.94,,,6.1408,5.0667,5.8915,,,13427.7372,13427.7372,6730.7755,122863.7954,122863.7954
000756.SZ,20250725,17.1,5.3263,10.4676,1.09,25.0949,26.7926,2.367,1.3932,1.4006,1.5842,1.606,68977.6535,49262.3924,25066.7844,1179517.8749,842386.91
688118.SH,20250725,26.88,8.6065,11.1496,1.14,376.9976,134.9369,3.0202,5.8787,6.2255,0.372,0.558,9181.7613,9181.7613,7087.4804,246805.7437,246805.7437
300068.SZ,20250725,15.14,2.8931,3.3436,0.8,,,3.5976,1.703,2.2143,0.4126,,89803.9858,85239.0439,73756.3948,1359632.345,1290519.1246
920491.BJ,20250725,28.82,2.0413,2.1971,0.67,46.4062,45.0552,4.1115,6.591,6.26,0.694,1.0409,14114.318,11557.5071,10738.0269,406774.6448,333087.3546
