ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
000001.SZ,20260508,11.3,0.4116,0.9789,0.63,5.1436,5.0926,0.4725,1.6683,1.6486,5.2922,5.2922,1940591.8198,1940560.0653,816048.1215,21928687.5637,21928328.7379
000001.SZ,20260507,11.37,0.4828,1.1482,0.53,5.1755,5.1241,0.4754,1.6787,1.6589,5.2596,5.2596,1940591.8198,1940560.0653,816048.1215,22064528.9911,22064167.9425
000001.SZ,20260506,11.36,0.6268,1.4906,0.74,5.1709,5.1196,0.475,1.6772,1.6574,5.2642,5.2642,1940591.8198,1940560.0653,816048.1215,22045123.0729,22044762.3418
000001.SZ,20260430,11.49,0.5871,1.396,0.74,5.2301,5.1782,0.4805,1.6964,1.6764,5.2046,5.2046,1940591.8198,1940560.0653,816048.1215,22297400.0095,22297035.1503
000001.SZ,20260429,11.52,0.7103,1.6891,0.96,5.2437,5.1917,0.4817,1.7008,1.6807,5.1911,5.1911,1940591.8198,1940560.0653,816048.1215,22355617.7641,22355251.9523
000001.SZ,20260428,11.46,0.8628,2.0517,1.33,5.2164,5.1647,0.4792,1.6919,1.672,5.2183,5.2183,1940591.8198,1940560.0653,816048.1215,22239182.2549,22238818.3483
000001.SZ,20260427,11.38,1.7527,4.168,4.85,5.18,5.1286,0.4759,1.6801,1.6603,5.255,5.255,1940591.8198,1940560.0653,816048.1215,22083934.9093,22083573.5431
000001.SZ,20260424,11.0,0.3003,0.7141,0.8,5.007,5.007,0.4731,1.624,1.624,5.4365,5.4365,1940591.8198,1940560.0653,816048.1215,21346510.0178,21346160.7183
000001.SZ,20260423,11.0,0.334,0.7942,0.88,5.007,5.007,0.4731,1.624,1.624,5.4365,5.4365,1940591.8198,1940560.0653,816048.1215,21346510.0178,21346160.7183
000001.SZ,20260422,10.98,0.4324,1.0282,1.25,4.9979,4.9979,0.4722,1.6211,1.6211,5.4464,5.4464,1940591.8198,1940560.0653,816048.1215,21307698.1814,21307349.517
000001.SZ,20260421,11.08,0.4158,0.9888,1.33,5.0435,5.0435,0.4765,1.6358,1.6358,5.3972,5.3972,1940591.8198,1940560.0653,816048.1215,21501757.3634,21501405.5235
000001.SZ,20260420,11.06,0.3247,0.7721,1.12,5.0344,5.0344,0.4757,1.6329,1.6329,5.407,5.407,1940591.8198,1940560.0653,816048.1215,21462945.527,21462594.3222
000001.SZ,20260417,11.01,0.3723,0.8854,1.41,5.0116,5.0116,0.4735,1.6255,1.6255,5.4315,5.4315,1940591.8198,1940560.0653,816048.1215,21365915.936,21365566.319
000001.SZ,20260416,11.09,0.3509,0.8344,1.37,5.048,5.048,0.4769,1.6373,1.6373,5.3924,5.3924,1940591.8198,1940560.0653,816048.1215,21521163.2816,21520811.1242
000001.SZ,20260415,11.21,0.2597,0.6175,0.9,5.1026,5.1026,0.4821,1.655,1.655,5.3346,5.3346,1940591.8198,1940560.0653,816048.1215,21754034.3,21753678.332
000001.SZ,20260414,11.17,0.2557,0.608,0.85,5.0844,5.0844,0.4804,1.6491,1.6491,5.3537,5.3537,1940591.8198,1940560.0653,816048.1215,21676410.6272,21676055.9294
