ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
600765.SH,20220923,32.58,0.9866,1.4561,0.93,53.8572,40.6228,4.9181,5.4571,5.0837,0.097,0.3727,147229.409,133523.6514,90473.045,4796734.1452,4350200.5626
600729.SH,20220923,21.25,0.4173,0.859,0.78,8.816,9.1415,1.7692,0.409,0.4491,17.0785,17.3808,40652.8465,40642.6465,19742.9458,863872.9881,863656.2381
300467.SZ,20220923,10.45,1.4452,1.6673,0.87,,,3.5744,4.4871,5.306,0.0,,20320.4897,16259.4878,14093.7431,212349.1174,169911.6475
002529.SZ,20220923,16.32,1.8191,2.3321,0.87,,,5.6561,16.7096,12.8865,0.0,,26000.0,26000.0,20280.0,424320.0,424320.0
300928.SZ,20220923,46.5,2.9538,4.2256,0.75,68.174,66.5735,2.9182,5.1313,5.0264,0.6452,0.4301,8000.0,4321.7902,3021.0431,372000.0,200963.2443
300773.SZ,20220923,14.82,0.7586,1.1598,0.64,10.9518,13.7497,2.316,1.7975,1.8787,6.5776,,80002.0,75739.375,49540.4085,1185629.64,1122457.5375
301050.SZ,20220923,77.49,2.3207,2.8929,0.88,67.0042,48.1739,6.0229,18.3694,17.1082,,0.1391,17424.0,13416.0666,10762.7458,1350185.76,1039611.0008
000829.SZ,20220923,9.49,1.7944,2.8336,1.24,47.0361,54.6387,3.7278,0.137,0.1363,0.5796,0.6428,102510.0438,102412.9669,64854.1551,972820.3157,971899.0559
920510.BJ,20220923,10.13,0.6971,1.4601,0.91,27.2429,39.0695,4.0048,5.0632,5.0929,4.4423,,13158.1378,6292.6378,3004.1878,133291.9359,63744.4209
603261.SH,20220923,44.4,18.1709,18.1709,1.25,48.9426,51.4752,4.0306,11.1999,10.8863,,0.6306,7696.1822,1925.0,1925.0,341710.4897,85470.0
688211.SH,20220923,37.17,0.8257,0.8257,1.34,18.8725,22.3921,1.2794,2.2139,2.0823,,1.6142,13160.8698,3201.0,3201.0,489189.5305,118981.17
002726.SZ,20220923,9.03,0.3026,0.5064,0.97,,,3.1138,0.4992,0.6193,1.8687,,107846.9861,107405.7444,64178.1444,973858.2845,969873.8719
600143.SH,20220923,9.74,0.6233,0.8902,1.03,15.577,29.3253,1.6439,0.6438,0.641,5.9664,1.9888,265719.7236,257362.2343,180200.0391,2588110.1079,2506708.1621
