ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
300555.SZ,20220225,9.69,6.4576,8.0747,1.06,568.8123,,3.0719,10.3109,11.8455,0.0,,20000.0,17679.7041,14138.9958,193800.0,171316.3327
600989.SH,20220225,17.3,1.4713,1.4713,1.04,27.444,18.6865,4.3819,7.9652,6.0922,1.6154,1.6154,733336.0,199427.0,199426.9937,12686712.8,3450087.1
603317.SH,20220225,21.61,1.5688,1.5688,0.87,44.741,91.2416,4.2913,6.8923,8.0463,0.9671,0.9671,75418.169,18554.969,18554.969,1629786.6321,400972.8801
600765.SH,20220225,46.83,1.3087,2.1926,0.96,143.2435,72.0077,5.3832,7.3525,6.1748,0.0944,0.0944,105163.8636,95177.5002,56806.9021,4924823.7324,4457162.3344
600729.SH,20220225,25.68,0.3886,0.8526,0.77,10.0993,11.3769,1.927,0.4953,0.475,14.1323,14.1323,40652.8465,40642.6465,18523.4958,1043965.0981,1043703.1621
300467.SZ,20220225,16.69,12.1448,13.0039,0.56,100.9959,123.1533,4.2745,7.427,7.2107,0.0,,20320.4897,14793.8412,13816.5254,339148.9731,246909.2096
002529.SZ,20220225,24.7,4.679,6.3925,1.19,195.3944,,7.9511,21.3843,21.7651,0.0,,26000.0,26000.0,19030.8111,642200.0,642200.0
300928.SZ,20220225,63.3,1.7084,3.3366,0.75,71.9329,82.4803,4.0622,5.6212,5.5586,0.4739,0.4739,8000.0,5435.7558,2783.2817,506400.0,344083.3421
300773.SZ,20220225,25.58,4.056,4.056,0.81,21.9861,19.4637,4.485,3.6824,3.2094,3.8108,3.8108,80002.0,38327.8662,38327.8662,2046451.16,980426.8174
301050.SZ,20220225,194.0,7.4823,7.4823,1.02,155.0083,84.5611,9.2041,54.9054,27.652,,,9680.0,1969.7741,1969.7741,1877920.0,382136.1754
000829.SZ,20220225,15.69,2.7685,5.3454,1.01,86.4283,76.8212,6.3837,0.269,0.2386,0.3505,0.3505,102510.0438,102376.5049,53022.1893,1608382.5872,1606287.3619
920510.BJ,20220225,15.62,0.1466,0.4062,0.72,61.496,42.0098,6.4283,11.2092,7.8073,2.8809,2.8809,13158.1378,6292.6378,2271.05,205530.1124,98291.0024
688211.SH,20220225,61.19,1.1375,1.1375,0.72,37.7605,33.7926,2.1863,6.6863,5.116,,,13160.8698,3060.8073,3060.8073,805313.6231,187290.7987
002726.SZ,20220225,8.73,0.7068,1.1847,0.86,10.3982,15.2032,2.3309,0.3908,0.4377,1.9322,1.9322,107890.9795,107161.1404,63933.5404,941888.251,935516.7557
600143.SH,20220225,10.9,0.8381,1.197,0.91,6.1147,11.1119,1.8663,0.8001,0.7295,5.5046,5.5046,257362.2343,257362.2343,180200.0391,2805248.3539,2805248.3539
600569.SH,20220225,3.08,1.6729,4.197,1.12,38.732,7.1317,0.8148,0.2774,0.188,1.6234,1.6234,287242.1386,239368.4489,95411.29,884705.7869,737254.8226
002585.SZ,20220225,24.81,1.2068,1.5617,0.95,39.8135,23.0695,3.2034,5.6679,4.9178,0.7973,0.7973,115627.8085,86715.3367,67009.5914,2868725.9289,2151407.5035
600809.SH,20220225,289.8,0.2156,0.6782,0.78,114.8302,64.3266,24.2639,25.2748,16.9405,0.0493,0.0493,122011.4372,121535.1572,38641.3711,35358914.5006,35220888.5566
301228.SZ,20220225,33.5,24.0646,24.0646,0.44,84.0689,81.8949,4.36,11.1698,9.3886,,,12000.0,2599.3596,2599.3596,402000.0,87078.5466
002700.SZ,20220225,3.98,0.6574,1.1838,1.01,,,1.9133,4.0122,3.1568,0.8611,0.8611,42242.688,31595.5455,17546.6755,168125.8982,125750.2711
688192.SH,20220225,32.5,1.8655,1.8655,1.19,,,4.9652,473.1833,1160.3153,,,40418.312,3694.9584,3694.9584,1313595.14,120086.148
300945.SZ,20220225,22.63,29.5105,29.5105,0.93,72.5306,66.245,6.155,5.709,4.1836,0.4198,0.4198,20400.0,7608.5431,7608.5431,461652.0,172181.3304
002110.SZ,20220225,7.4,2.1949,5.0513,0.98,7.0982,4.6041,0.8026,0.373,0.2921,6.0253,6.0253,245157.6238,245157.6238,106524.77,1814166.4161,1814166.4161
002831.SZ,20220225,29.52,0.338,0.4807,0.86,24.5222,24.2799,3.066,2.33,1.899,0.9485,0.9485,93051.3553,51987.4947,36547.3612,2746876.0085,1534670.8435
