ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
601969.SH,20250930,8.59,1.4259,6.5443,1.55,24.296,29.382,2.447,4.2221,3.9972,1.3889,1.5049,199824.8251,197809.6038,43098.0852,1716495.2476,1699184.4966
000411.SZ,20250930,11.23,1.0586,2.495,0.96,11.1524,11.3442,1.2702,0.1757,0.1756,2.7128,3.4125,52189.2509,32277.7045,13695.2291,586085.2876,362478.6215
603238.SH,20250930,19.0,1.6453,4.2746,1.05,35.417,28.9468,2.3877,1.5079,1.3114,1.5789,1.5789,17750.9,17750.9,6832.4,337267.1,337267.1
603386.SH,20250930,14.0,1.9613,4.6102,0.84,,,3.3118,1.9463,1.8289,0.6143,,32632.256,32632.256,13882.806,456851.584,456851.584
300456.SZ,20250930,25.15,5.3614,6.3832,0.59,,,3.6147,15.2859,15.0517,0.1392,,73221.3134,59744.9078,50180.4844,1841516.032,1502584.4312
000657.SZ,20250930,18.63,3.8728,6.9794,0.94,45.1933,32.5874,4.4529,2.8798,2.6897,0.4279,0.8588,227895.438,125502.7148,69638.9151,4245692.0099,2338115.5767
603395.SH,20250930,33.97,3.4028,3.4028,0.68,94.7998,163.4755,6.327,2.534,2.6572,,0.3397,26000.0,5359.6492,5359.6492,883220.0,182067.2833
688027.SH,20250930,351.0,3.1935,4.1889,0.8,,,11.2266,142.4966,118.2955,,,10286.1001,8037.437,6127.437,3610421.1351,2821140.387
603429.SH,20250930,13.54,3.561,6.0408,0.83,,,5.7339,15.5063,25.5401,1.0616,,52448.5465,52448.5465,30918.0165,710153.3196,710153.3196
300917.SZ,20250930,45.34,4.4524,10.4762,1.03,62.994,62.2025,6.7758,2.6758,2.6314,0.4852,0.5514,16900.0,16900.0,7182.5,766246.0,766246.0
301266.SZ,20250930,34.2,1.7897,4.302,0.98,97.3208,97.1548,2.1061,1.1472,1.2078,0.7472,0.2924,10987.8593,10424.0093,4336.5093,375784.7881,356501.1181
688399.SH,20250930,64.3,1.3051,2.1775,0.73,,,1.816,15.4257,15.5085,,5.2877,8387.1721,8387.1721,5026.8025,539295.166,539295.166
603737.SH,20250930,47.88,0.3622,1.0981,0.78,106.4253,63.3362,12.0093,2.9183,2.905,0.2387,0.4774,73781.7473,73781.7473,24336.3845,3532670.0607,3532670.0607
601158.SH,20250930,4.64,0.1964,1.7167,0.95,28.369,26.9335,1.3101,3.182,3.0786,3.6422,2.8233,480000.0,480000.0,54903.9311,2227200.0,2227200.0
603897.SH,20250930,25.44,1.2876,3.091,0.71,22.2439,20.3645,2.2548,0.4044,0.4055,8.6478,7.0755,20643.5681,20643.5681,8599.2381,525172.3725,525172.3725
600539.SH,20250930,10.62,1.4575,2.4278,0.62,,,7.5771,5.088,5.0555,0.0,,23000.0,23000.0,13807.7796,244260.0,244260.0
001299.SZ,20250930,11.89,3.0042,3.0042,0.7,33.0473,29.0717,2.4682,4.3369,3.9666,1.9416,6.3298,24263.8606,6543.0072,6543.0072,288497.3025,77796.3556
002406.SZ,20250930,7.76,2.33,2.5796,0.63,47.8831,47.261,1.4269,4.439,4.2109,1.2887,1.933,73022.5082,60221.2898,54393.3401,566654.6636,467317.2088
300121.SZ,20250930,16.07,5.8086,8.3763,0.64,37.5404,39.9752,2.0581,2.1023,2.0809,1.7037,1.2827,44881.8373,43298.7024,30025.7364,721251.1254,695810.1476
003011.SZ,20250930,20.64,3.9896,5.2284,0.93,42.2999,19.3306,1.5187,1.5487,1.6489,2.8787,2.8783,10267.6,7808.8766,5958.6401,211923.264,161175.213
688334.SH,20250930,19.28,2.0852,3.2723,1.2,26.6914,23.3003,2.1851,7.6452,6.7507,2.1525,2.4429,31657.9466,15690.4698,9998.6609,610365.2104,302512.2577
000021.SZ,20250930,27.87,4.5617,6.9504,0.46,46.9504,42.7463,3.5435,2.946,2.8158,0.4645,0.6788,156728.0671,156702.9346,102847.0569,4368011.2301,4367310.7873
688371.SH,20250930,25.03,1.0329,2.7297,1.03,186.156,181.3286,4.3746,17.5132,16.9865,,,33547.2356,33547.2356,12693.9022,839687.3071,839687.3071
603360.SH,20250930,24.41,1.6997,3.8445,0.78,49.9308,63.2636,10.8896,13.1424,11.6689,1.2541,1.7557,70622.3654,70622.3654,31223.0475,1723891.9394,1723891.9394
