ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
603429.SH,20210528,32.58,0.5605,0.9545,0.97,172.592,125.0747,10.6076,26.689,23.6825,0.57,0.877,38023.8957,37256.6957,21877.7457,1238818.5219,1213823.1459
300917.SZ,20210528,39.45,5.4248,5.4248,2.06,39.726,35.7154,4.864,3.5584,3.124,,,10000.0,2383.295,2383.295,394500.0,94020.9878
688399.SH,20210528,157.4,3.8455,3.8455,1.4,11.2581,8.3624,4.4967,5.3037,3.8512,1.906,1.906,5862.0,3374.18,3374.18,922678.8,531095.932
603737.SH,20210528,227.08,0.5927,1.7421,1.98,121.6849,95.9696,24.2658,7.4459,6.6019,0.2013,0.2013,26888.3918,26069.5587,8868.9448,6105816.0099,5919875.3896
601158.SH,20210528,5.49,0.1824,1.5946,0.85,14.8568,12.7072,1.6407,4.1502,3.949,4.6812,4.6812,480000.0,480000.0,54903.9311,2635200.0,2635200.0
603897.SH,20210528,18.78,0.7438,2.3739,0.7,19.2311,15.7364,1.7259,0.5341,0.4465,3.0884,2.1299,17840.4408,17840.4408,5590.1108,335043.4782,335043.4782
600539.SH,20210528,7.22,0.7991,1.6393,0.98,148.9759,140.1108,3.9031,8.0101,5.8365,0.0,,23000.0,23000.0,11211.6377,166060.0,166060.0
002406.SZ,20210528,6.16,0.6743,0.7641,0.97,11.8492,10.7443,1.1616,1.7756,1.5507,3.648,3.648,62414.7078,49613.7481,43785.7984,384474.6,305620.6883
300121.SZ,20210528,13.31,0.9081,1.4867,0.91,39.696,23.8289,2.8616,2.5692,2.3507,2.3253,,37513.1706,36027.5855,22006.718,499300.3007,479527.163
003011.SZ,20210528,33.95,2.4897,2.4897,1.69,18.5134,19.1134,2.866,2.848,2.5587,,0.6312,10267.6,2567.6,2567.6,348585.02,87170.02
000021.SZ,20210528,18.01,1.4467,2.5775,1.16,32.7909,28.8008,3.0434,1.8778,1.8167,0.3141,0.3141,156058.7588,147066.2677,82545.4519,2810618.246,2648663.4813
603360.SH,20210528,15.12,0.5324,1.238,0.79,17.8195,21.5196,3.9714,5.272,5.1435,2.8345,,26134.64,26134.64,11238.6512,395155.7568,395155.7568
002928.SZ,20210528,15.84,0.7322,1.7725,0.75,26.1954,24.2844,4.2673,3.3958,3.3597,0.3177,0.3177,101356.7644,101356.7644,41872.4299,1605491.1481,1605491.1481
000806.SZ,20210528,2.5,2.2143,2.3629,0.97,47.1581,42.3457,42.5118,2.4863,2.5106,0.0,,109991.1762,69930.4718,65531.4566,274977.9405,174826.1795
000875.SZ,20210528,5.41,3.8494,5.358,1.19,31.5743,23.5775,1.447,1.5005,1.3627,0.0,,279020.8174,214631.398,154200.3657,1509502.6221,1161155.8632
600521.SH,20210528,20.11,0.8984,1.5583,0.97,31.4602,30.3371,4.4852,4.5106,4.5624,0.9041,0.9041,145460.8047,145460.8047,83865.4222,2925216.7825,2925216.7825
300215.SZ,20210528,8.58,4.551,8.3897,1.06,75.1042,42.7239,3.5364,9.2645,8.2418,4.662,4.662,75832.2487,56016.6162,30386.4754,650640.6938,480622.567
300884.SZ,20210528,25.21,5.6276,5.6276,2.04,29.4048,27.6246,3.7417,5.8334,5.5332,,0.5289,18000.0,4500.0,4500.0,453780.0,113445.0
688488.SH,20210528,20.63,1.5261,1.5261,0.8,217.8579,179.941,6.3202,29.9755,26.8805,,,42000.0,5414.0815,5414.0815,866460.0,111692.5013
002663.SZ,20210528,1.83,0.7013,0.8197,0.59,,,0.855,1.2931,1.2113,0.0,,179589.0452,131100.9212,112165.9125,328647.9527,239914.6858
600221.SH,20210528,2.29,0.1619,0.2468,0.15,,,,1.309,1.2725,0.0,,1680612.033,1643600.2728,1078316.206,3848601.5556,3763844.6247
002572.SZ,20210528,28.25,1.4093,1.6442,0.72,21.6184,19.4281,4.5136,3.0857,2.7567,1.9469,2.1239,91237.0038,63744.3963,54639.7063,2577445.3574,1800779.1955
002112.SZ,20210528,7.07,1.1612,1.8618,1.43,44.929,44.4635,3.5025,1.4107,1.3322,0.0,,20160.0,19880.2893,12399.0672,142531.2,140553.6454
600187.SH,20210528,2.36,1.2429,1.6735,1.56,127.7897,1304.3754,1.1433,10.2962,9.5291,0.0,,165393.5128,165393.5128,122831.1728,390328.6902,390328.6902
002759.SZ,20210528,24.81,4.1448,8.5666,0.59,,171.7284,3.6744,13.4316,11.0017,0.1612,,40215.2567,40215.2567,19457.422,997740.5187,997740.5187
000716.SZ,20210528,3.39,2.4837,3.7916,0.67,276.8318,54.0056,0.9214,0.6567,0.6125,0.59,0.59,74399.955,66908.0772,43827.4484,252215.8475,226818.3817
603519.SH,20210528,15.27,0.7351,1.7288,0.59,35.4335,32.8068,4.2625,2.609,2.3529,1.9646,,22193.9866,22193.9866,9437.1306,338902.1754,338902.1754
300925.SZ,20210528,37.62,6.3049,6.3049,0.83,40.0745,39.8074,4.2728,2.5007,2.1823,,,12947.0098,3069.992,3069.992,487066.5087,115493.099
300153.SZ,20210528,7.5,6.7081,12.1491,0.71,,,3.1667,3.4182,3.0311,0.4,0.4,32000.0,31734.7386,17522.2386,240000.0,238010.5395
000861.SZ,20210528,2.24,1.2159,2.1009,1.24,163.4052,247.0382,1.3674,4.0022,4.0802,0.427,0.427,232550.3251,216775.0788,125465.2049,520912.7282,485576.1765
002083.SZ,20210528,4.16,0.5764,0.775,1.33,16.9132,17.6185,1.04,0.8523,0.8315,2.2775,2.2775,90802.3162,90543.0086,67343.5286,377737.6354,376658.9158
600335.SH,20210528,5.44,1.9949,4.7854,0.73,18.5407,18.0745,0.7547,0.1796,0.1594,1.1029,1.1029,145687.5351,102973.6837,42926.7069,792540.1909,560176.8393
300537.SZ,20210528,15.91,30.7329,36.4742,6.95,,,2.7638,4.0777,3.8611,0.5028,0.5028,19302.7584,12538.113,10564.5142,307106.8861,199481.3778
300658.SZ,20210528,19.09,2.3656,4.2885,1.49,9.6736,10.8584,2.6272,1.8269,1.8018,1.5705,,15177.0,8997.8963,4963.295,289728.93,171769.8404
002733.SZ,20210528,16.07,2.5808,4.2007,2.52,80.9599,117.2965,2.1415,2.4245,2.2694,1.4176,2.0399,38421.4913,36528.9279,22442.671,617433.3652,587019.8714
