ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
002217.SZ,20250124,1.97,0.6032,0.7564,1.26,,,,3.1821,9.8119,0.0,,747939.8928,568036.4278,453036.0995,1473441.5888,1119031.7628
920689.BJ,20250124,24.0,28.9214,45.5114,2.21,29.0841,28.47,3.8301,3.467,3.3698,2.0833,2.0833,7340.0,3709.0866,2357.0369,176160.0,89018.0784
000532.SZ,20250124,13.29,6.4965,12.5608,3.69,61.9053,70.1904,3.3565,11.4256,10.7786,0.4891,0.4891,34470.834,34354.9746,17768.5088,458117.3839,456577.6124
002326.SZ,20250124,8.38,0.7401,0.931,0.89,,,2.5177,1.8786,1.7807,0.0,,92540.0795,80397.3261,63909.3661,775485.8662,673729.5927
002808.SZ,20250124,2.46,4.2011,5.3662,1.0,,,2.06,4.2822,4.0217,0.813,0.813,26880.0,18638.3713,14591.4465,66124.8,45850.3934
603903.SH,20250124,6.41,1.9951,2.8791,0.95,10.0166,22.1179,1.0061,1.0235,1.1923,2.9953,2.9953,25531.948,20230.3752,14018.6004,163659.7867,129676.705
300086.SZ,20250124,4.52,2.8128,3.9712,1.24,178.4204,,1.6449,2.7816,3.1568,0.0,,45512.4411,44078.7522,31221.1671,205716.2338,199235.9599
600298.SH,20250124,34.92,0.7335,1.1966,1.01,23.8812,23.1258,2.907,2.2335,2.0439,1.4138,1.4138,86864.4671,85449.5871,52378.8126,3033307.1911,2983899.5815
600509.SH,20250124,6.17,1.0813,1.6493,1.23,19.6798,16.4258,1.1046,0.8919,0.8577,2.5656,2.5656,137439.7407,137439.7407,90112.1667,848003.2001,848003.2001
002224.SZ,20250124,4.34,0.6819,0.9228,1.02,56.6682,94.5794,1.2062,4.209,4.2009,0.6912,0.6912,90211.6324,80629.0744,59583.9634,391518.4846,349930.1829
002613.SZ,20250124,3.89,2.4403,3.5091,0.78,51.7876,50.0292,1.9152,2.5866,2.6613,1.4229,1.4229,110056.8692,60892.1904,42346.0628,428121.2212,236870.6207
300711.SZ,20250124,24.59,3.5498,10.606,0.86,100.0987,93.7983,8.7354,13.5887,12.708,0.4067,0.4067,24917.0606,24842.6804,8314.9239,612710.5202,610881.511
003007.SZ,20250124,29.99,6.0944,11.4755,1.95,40.0576,36.9865,3.8088,7.153,7.3361,0.6529,0.6529,10400.0,7389.4311,3924.3684,311896.0,221609.0387
603337.SH,20250124,32.66,1.2193,3.4474,2.89,29.3035,21.166,3.573,2.9804,2.6741,2.3532,2.3532,48309.2591,47632.6791,16847.7871,1577780.4022,1555683.2994
300243.SZ,20250124,9.27,2.1257,2.4631,1.15,27.2168,41.5836,2.1545,1.3072,1.2032,1.0787,1.0787,25042.6416,19069.5133,16457.3344,232145.2876,176774.3883
688106.SH,20250124,17.01,0.5218,0.9611,0.86,26.0267,30.7619,2.7835,3.3775,3.2726,2.9288,2.9288,48197.7235,48197.7235,26169.7472,819843.2767,819843.2767
920300.BJ,20250124,11.06,5.0247,6.415,1.2,,,3.4766,5.732,6.2353,,,8584.7126,6009.3167,4706.8895,94946.9214,66463.0427
001379.SZ,20250124,21.38,4.3796,4.6272,0.62,49.9493,62.4341,2.9667,2.4649,2.4989,0.8419,0.8419,20000.0,6730.0,6370.0,427600.0,143887.4
000426.SZ,20250124,12.56,1.1616,1.7573,0.77,23.0073,12.9195,2.9145,6.0178,4.8718,0.5355,0.5355,177563.5739,177523.5464,117345.6407,2230198.4882,2229695.7428
688235.SH,20250124,189.0,1.0756,1.0756,0.56,,,10.8321,15.028,11.0555,,,138538.3567,11505.526,11505.526,26183749.4163,2174544.414
002085.SZ,20250124,17.34,3.3531,6.2579,0.91,50.6436,48.8192,5.3335,2.2718,2.3042,0.8651,0.8651,212329.752,212329.752,113771.4903,3681797.8997,3681797.8997
600600.SH,20250124,69.85,0.5924,1.3822,0.76,22.3272,21.9054,3.1979,2.8079,2.9855,2.8633,2.8633,136419.6788,70903.0943,30389.8888,9528914.5642,4952581.1369
000568.SZ,20250124,114.87,0.5793,1.1801,1.08,12.7645,11.8461,3.8935,5.5926,5.1875,4.7011,5.8839,147195.1503,146732.2833,72026.3302,16908306.915,16855137.3827
605388.SH,20250124,5.83,0.5915,1.8064,0.83,60.8036,142.9965,1.8469,2.1424,2.4058,1.2175,1.2175,60048.4,60048.4,19663.0596,350082.172,350082.172
605255.SH,20250124,13.1,0.6711,2.6842,0.57,57.3848,68.3405,2.1882,5.0417,5.2413,3.3588,3.3588,13408.0,13408.0,3352.0,175644.8,175644.8
603618.SH,20250124,5.92,2.4468,5.5386,0.83,30.1961,30.1167,1.3639,0.5557,0.4978,1.0135,1.0135,69137.5616,69137.5616,30543.5857,409294.3647,409294.3647
600790.SH,20250124,3.55,0.6917,1.1112,0.99,24.2678,26.7975,0.829,6.0875,5.5844,2.6096,2.6096,146579.0928,146579.0928,91242.828,520355.7794,520355.7794
603817.SH,20250124,5.61,0.7554,1.5612,1.16,20.7711,16.8234,1.1102,2.8439,2.6645,1.7825,1.7825,53435.8757,53435.8757,25855.6486,299775.2627,299775.2627
002620.SZ,20250124,2.89,3.9944,5.6631,0.7,,,8.867,0.703,1.148,0.0,,37749.4,31508.9681,22224.3125,109095.766,91060.9178
603228.SH,20250124,36.52,3.3651,9.2992,0.62,36.3749,29.8646,3.1436,3.1659,2.8184,1.236,1.236,93253.2312,92060.0812,33313.8582,3405608.0034,3362034.1654
600100.SH,20250124,6.84,1.3427,1.9648,1.12,,,1.5182,0.7948,1.1408,0.0,,335029.7713,335029.7713,228955.7108,2291603.6357,2291603.6357
600162.SH,20250124,1.79,0.8324,2.5908,0.97,84.1952,99.0832,0.9904,1.7731,1.4482,8.9385,8.9385,326843.8122,326843.8122,105011.2242,585050.4238,585050.4238
920195.BJ,20250124,11.65,2.2477,4.0647,1.59,13.6331,20.5818,1.6032,1.3789,1.2612,1.2876,1.2876,9803.0,7075.8985,3912.9068,114204.95,82434.2175
002889.SZ,20250124,19.91,2.2956,5.0464,0.97,33.7945,29.1105,2.2639,1.9955,1.6704,0.3039,0.3039,26976.248,17514.9017,7967.4846,537097.0977,348721.6928
000012.SZ,20250124,4.95,0.6702,1.1219,0.93,9.1808,15.5834,1.0802,0.8354,0.9183,5.0505,5.0505,307069.2107,195927.9645,117033.375,1519992.593,969843.4243
301121.SZ,20250124,49.99,5.9703,7.3539,0.84,149.7999,43.4039,2.1243,3.6408,3.1303,0.5938,0.5938,7080.3184,3607.9217,2929.1017,353945.1168,180360.0058
