ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
603928.SH,20210219,11.2,0.5399,1.7341,1.68,17.0266,15.7364,1.627,1.7506,1.6225,1.7857,1.7857,20160.0,20160.0,6277.15,225792.0,225792.0
600843.SH,20210219,5.35,0.4127,0.631,0.73,34.2509,64.8866,1.251,0.9142,0.9524,0.0,,54858.96,30464.585,19925.0492,293495.436,162985.5298
300227.SZ,20210219,11.2,4.4123,4.7347,1.23,77.1966,59.527,3.6069,7.0404,6.3635,0.1123,0.1123,49686.6493,36788.0814,34283.0808,556490.4722,412026.5117
600543.SH,20210219,7.17,4.239,6.3943,1.35,83.9463,391.8614,1.9787,12.9884,17.6123,0.3626,0.3626,32112.0,32112.0,21288.3883,230243.04,230243.04
000908.SZ,20210219,4.25,9.1435,12.2375,0.7,,,2.2543,2.782,2.9974,0.0,,87977.4351,72333.8504,54045.6345,373904.0992,307418.8642
300200.SZ,20210219,9.67,1.9558,3.4687,1.45,22.1698,18.418,2.3851,4.2929,4.5636,2.5853,2.5853,42622.9073,41464.0477,23379.1118,412163.5136,400957.3413
002647.SZ,20210219,8.1,15.9094,28.2444,1.91,151.6901,,4.696,2.4773,1.7046,0.0,,55993.665,55993.665,31539.9298,453548.6865,453548.6865
603029.SH,20210219,11.32,0.7127,1.8214,1.49,104.0145,250.6871,1.5207,2.2893,2.2389,0.8746,0.8746,9334.0,9334.0,3652.546,105660.88,105660.88
300878.SZ,20210219,49.18,5.3337,5.3337,0.97,31.3936,30.0221,2.9639,6.1639,5.9948,,,8043.9068,1907.309,1907.309,395599.3364,93801.4566
000042.SZ,20210219,8.87,0.1982,0.6668,1.64,7.4915,,0.7616,0.8175,0.6467,1.3529,1.3529,66483.1139,66234.1514,19689.7971,589705.2203,587496.9229
002205.SZ,20210219,6.83,2.2915,3.2833,1.27,301.5573,,1.5513,1.5119,1.5533,0.183,0.183,18584.3228,18584.3228,12970.4108,126930.9247,126930.9247
002113.SZ,20210219,1.42,1.6345,2.03,0.72,,,4.1668,3.6014,3.6066,0.0,,151054.7023,96367.9486,77592.2906,214497.6773,136842.487
600980.SH,20210219,15.13,5.5014,9.1689,1.22,51.7022,49.788,3.5822,4.7104,4.4306,0.1983,0.1983,15520.988,15220.988,9132.5928,234832.5484,230293.5484
300199.SZ,20210219,5.62,0.8687,1.1432,1.03,,,2.2652,8.3901,6.918,0.0,,91692.704,62894.664,47792.4934,515312.9965,353468.0117
603506.SH,20210219,20.5,0.5434,1.2306,1.6,24.134,20.7691,3.4678,2.2095,2.0221,1.2439,1.2439,13412.6985,13412.6985,5922.9227,274960.3193,274960.3193
688358.SH,20210219,49.0,1.393,1.393,1.35,37.2863,35.6819,3.3796,10.6016,11.1606,2.0408,2.0408,8000.0,1920.0,1920.0,392000.0,94080.0
600203.SH,20210219,8.39,1.1478,1.6448,1.21,86.8689,,1.8755,0.3366,0.3163,0.0,,45644.712,45644.712,31853.591,382959.1337,382959.1337
000852.SZ,20210219,4.2,0.7862,1.9055,1.21,130.9134,,1.7989,0.4957,0.5215,0.0,,77760.4997,77760.4997,32084.8697,326594.0987,326594.0987
002390.SZ,20210219,9.05,0.7511,1.082,0.57,63.8524,94.6835,3.0995,2.2672,2.5503,0.0,,166722.8611,155847.1684,108179.0577,1508841.893,1410416.874
300708.SZ,20210219,20.81,6.1002,12.2228,1.44,665.0236,521.6838,7.1514,4.7377,3.9792,0.096,0.096,26026.8,15872.5073,7921.7025,541617.708,330306.8769
601877.SH,20210219,35.73,0.8576,1.8635,0.9,20.4207,19.4693,2.9483,2.5415,2.4784,1.3987,1.3987,214997.3551,214997.3551,98935.7771,7681855.4977,7681855.4977
600126.SH,20210219,5.37,0.6834,1.7569,1.35,19.7588,21.2256,0.9387,0.6782,0.6062,2.2346,2.2346,337718.9083,337718.9083,131368.9091,1813550.5376,1813550.5376
601228.SH,20210219,3.29,0.1826,1.1163,1.73,23.9649,23.4993,1.488,1.9554,1.8246,1.2766,1.2766,619318.0,619318.0,101289.2858,2037556.22,2037556.22
688070.SH,20210219,50.42,38.4414,38.4414,,112.8051,105.5628,6.156,20.9517,17.5956,,,8758.0,1798.9657,1798.9657,441578.36,90703.8506
002170.SZ,20210219,4.19,4.0596,5.3847,2.65,121.8075,66.0252,1.8986,1.6309,1.6648,0.1432,0.1432,88686.2627,69322.0702,52262.3825,371595.4407,290459.4741
000901.SZ,20210219,8.24,1.6157,2.3598,1.29,40.9425,1157.4942,1.3496,1.1088,1.1873,0.1551,0.1551,79820.1406,76284.8553,52230.5374,657717.9585,628587.2077
300075.SZ,20210219,10.14,1.2256,1.348,1.14,37.3761,44.694,1.6009,3.8847,3.8863,0.3535,0.3535,48177.0055,33150.8547,30140.5843,488514.8358,336149.6667
300796.SZ,20210219,17.29,2.8788,2.8788,2.9,32.908,77.3174,2.0869,4.2395,5.648,0.4627,0.4627,12115.0,6185.2778,6185.2778,209468.35,106943.4532
601678.SH,20210219,5.63,2.1925,2.6745,1.04,21.1089,18.0737,1.3765,1.5018,1.4345,1.6259,1.6259,164431.0467,164431.0467,134800.0998,925746.7929,925746.7929
688129.SH,20210219,19.95,11.2162,11.2162,2.94,29.1997,30.1707,3.0246,5.1198,5.8653,,,12000.0,2729.8426,2729.8426,239400.0,54460.3599
601858.SH,20210219,10.24,1.0879,4.2499,4.34,17.4043,16.5187,1.997,3.2274,3.2201,1.8555,1.8555,79050.0,79050.0,20236.3636,809472.0,809472.0
300622.SZ,20210219,16.36,1.9129,2.3422,1.22,44.8452,58.7656,4.9459,4.2692,4.5603,1.3098,1.3098,17093.1597,10427.5042,8516.161,279644.0927,170593.9687
300360.SZ,20210219,8.24,0.6511,0.9221,1.01,17.1075,13.1763,1.7869,4.6573,4.1224,1.8671,1.8671,50438.7126,43530.9973,30736.2098,415614.9918,358695.4178
601789.SH,20210219,3.81,1.3711,2.236,2.55,15.4775,14.6036,1.2498,0.2004,0.1856,2.6247,2.6247,97608.0,97608.0,59850.551,371886.48,371886.48
300392.SZ,20210219,8.29,1.0699,1.9102,0.89,92.9097,113.999,6.0516,2.15,2.321,0.0,,38400.0,29552.0,16551.222,318336.0,244986.08
300591.SZ,20210219,5.59,3.8951,5.1064,1.24,76.8021,,3.3036,2.7284,3.7101,0.5417,0.5417,32972.441,20591.891,15707.291,184315.9452,115108.6707
002769.SZ,20210219,5.62,1.2085,1.6446,1.21,33.3326,48.9445,1.4783,0.3222,0.3475,0.3203,0.3203,37331.8054,26176.5297,19235.6026,209804.7463,147112.0969
600609.SH,20210219,4.49,1.2773,1.6653,1.01,97.0588,87.9502,5.2243,1.0513,1.1575,0.0,,131120.0558,109266.7132,83805.159,588729.0505,490607.5423
300482.SZ,20210219,83.24,1.4467,2.023,0.89,73.596,42.9947,10.538,13.7602,10.1071,0.2996,0.2996,34257.0933,24757.2666,17704.3425,2851560.4463,2060794.8718
002557.SZ,20210219,60.1,1.6136,2.7649,0.85,50.4878,41.5769,7.9488,6.2992,5.783,1.1608,1.1608,50700.0,50700.0,29588.3257,3047070.0,3047070.0
300053.SZ,20210219,9.9,3.1928,4.0326,0.93,,,2.3376,8.1617,8.2453,0.0,,70215.8212,61495.5218,48688.0091,695136.6299,608805.6658
603628.SH,20210219,7.95,0.8747,2.7465,1.15,,,2.3127,1.7413,1.9837,0.0,,27380.0,27380.0,8719.8783,217671.0,217671.0
600962.SH,20210219,6.85,1.094,2.0261,1.49,499.3029,,2.1451,1.3504,1.2268,0.0,,26221.0,25402.0,13716.4531,179613.85,174003.7
601985.SH,20210219,5.03,0.314,1.0294,1.22,19.0358,15.0437,1.469,1.906,1.7874,2.1628,2.1628,1745601.5589,1556546.8326,474711.4756,8780375.8413,7829430.568
600606.SH,20210219,5.5,0.3055,1.2473,1.31,4.5394,4.8776,0.8025,0.1564,0.1391,7.2727,7.2727,1216815.4385,1216815.4385,298061.343,6692484.9118,6692484.9118
003036.SZ,20210219,11.41,29.0928,29.0928,1.26,41.4879,38.5872,2.3259,4.227,4.2165,,,21600.0,5400.0,5400.0,246456.0,61614.0
