ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
300274.SZ,20210723,137.2,2.5355,2.9935,0.89,102.2828,91.6295,18.7448,10.3648,9.6168,0.051,0.102,145693.935,109546.3676,92784.5475,19989207.882,15029761.6347
600152.SH,20210723,9.88,6.1279,8.5398,1.32,82.7516,59.9204,2.8512,2.3305,2.0572,0.0,,41160.3032,40855.2032,29316.288,406663.7956,403649.4076
300049.SZ,20210723,18.71,6.7798,7.9825,0.73,79.5036,77.0118,3.6419,6.0948,6.3125,0.0,,26305.31,23044.4284,19572.4629,492172.3501,431161.2554
600540.SH,20210723,5.11,5.23,9.0442,2.15,273.8856,189.6732,3.527,2.1503,1.6585,0.0,,47092.3313,47092.3313,27232.0354,240641.8129,240641.8129
300741.SZ,20210723,48.75,1.7688,1.7688,1.61,25.4398,25.3364,4.2819,14.335,14.1868,4.0615,3.2821,61588.0,11587.715,11587.715,3002415.0,564901.1063
002686.SZ,20210723,5.65,0.5874,0.9134,0.88,127.435,75.2237,2.0757,2.1556,1.8553,0.0,,56623.9133,39150.2239,25175.2227,319925.1101,221198.765
300810.SZ,20210723,25.23,2.4347,3.533,1.27,140.4281,156.2902,2.9629,23.7976,21.2842,0.2484,0.1321,11805.0,7810.9143,5382.7893,297840.15,197069.3678
688157.SH,20210723,111.9,1.1459,1.3102,0.62,102.1708,92.8439,8.1297,20.4799,19.1533,,0.2949,7960.0,3389.1,2964.09,890724.0,379240.29
002587.SZ,20210723,5.14,5.4403,6.0507,0.85,,,2.5016,4.0895,3.913,1.4632,0.3861,65204.4158,47292.1925,42521.805,335150.6972,243081.8695
603327.SH,20210723,14.28,1.0258,1.5346,1.25,18.0257,18.8813,4.0216,3.4617,3.2713,1.7507,2.521,40100.0,10247.065,6850.0,572628.0,146328.0882
601311.SH,20210723,13.59,3.9424,7.0106,1.17,20.9936,16.2832,2.1449,1.5814,1.3652,1.1841,1.4661,112172.1791,112172.1791,63080.1828,1524419.914,1524419.914
002512.SZ,20210723,3.4,1.52,2.352,1.02,193.8774,,3.1141,1.8441,1.5782,0.0,,114709.4532,85483.4684,55242.7979,390012.1409,290643.7926
603639.SH,20210723,17.18,0.5472,1.6336,1.03,14.3641,12.8687,2.1305,1.81,1.6403,0.8712,1.2473,34000.8066,33225.9906,11128.8103,584133.8574,570822.5185
600130.SH,20210723,3.53,0.9413,1.1259,0.82,79.0256,65.9711,2.881,3.7915,3.0307,0.0,,76800.0,76800.0,64205.36,271104.0,271104.0
605377.SH,20210723,19.33,8.4525,8.4525,1.09,21.342,17.2143,2.5131,3.4422,2.8221,,2.2044,28705.738,7135.338,7135.338,554881.9155,137926.0835
300094.SZ,20210723,4.1,3.6501,5.8341,1.28,,,1.7907,0.8389,0.813,0.0,,91955.8815,87507.8961,54749.1881,377019.1142,358782.374
300862.SZ,20210723,36.2,5.7984,5.7984,1.14,36.7111,35.7555,2.6493,6.6805,6.4944,,,13186.993,3297.0,3297.0,477369.1466,119351.4
000692.SZ,20210723,3.01,1.6556,2.5513,2.48,,,3.7883,0.8469,0.8369,0.0,,53283.2976,53282.6726,34577.6608,160382.7258,160380.8445
600299.SH,20210723,11.57,0.1233,0.3401,0.81,22.9577,21.7875,2.3082,2.6052,2.5747,1.3483,1.5212,268190.1273,268190.1273,97251.4113,3102959.7729,3102959.7729
688408.SH,20210723,246.0,2.2533,2.2533,0.77,116.9423,118.3066,13.6899,10.6712,10.74,,0.1748,13571.548,3164.7326,3164.7326,3338600.808,778524.2196
300596.SZ,20210723,38.58,0.8208,1.3936,1.35,26.9948,24.7085,3.5931,3.1857,2.8852,0.4977,0.5573,20501.042,18225.0937,10734.6774,790930.2004,703124.1149
000587.SZ,20210723,1.58,0.3746,0.5167,0.69,74.4269,12.462,13.6372,8.8782,,0.0,,212374.933,121301.185,87928.8146,335552.3941,191655.8723
688529.SH,20210723,28.14,6.1486,6.4035,1.03,43.8334,57.4533,3.5311,3.4749,3.7201,,0.6859,12800.0,3040.0,2919.0145,360192.0,85545.6
688616.SH,20210723,14.13,3.0856,3.0856,1.25,28.7502,25.7476,3.145,4.6795,4.3035,,1.557,15000.0,3411.8656,3411.8656,211950.0,48209.6609
603289.SH,20210723,9.84,1.1336,3.1868,1.41,33.5647,25.9828,2.3749,3.3327,2.9472,1.8337,2.0325,29572.12,26572.12,9452.5981,290989.6608,261469.6608
000029.SZ,20210723,7.54,0.547,1.9604,1.36,26.2823,21.7844,2.0074,4.7231,4.3012,2.1883,1.1538,101166.0,89166.0,24877.5738,762791.64,672311.64
002016.SZ,20210723,6.52,1.8224,5.9702,3.34,6.3234,6.797,1.2993,1.7897,1.9,0.0,1.5337,80909.5632,68684.5632,20965.5632,527530.3521,447823.3521
300760.SZ,20210723,435.0,1.2368,1.5188,1.42,79.431,74.9105,24.08,25.1512,23.966,0.3448,0.5747,121569.1266,49913.4264,40646.7482,52882570.071,21712340.484
601899.SH,20210723,10.13,2.1383,3.041,1.49,40.9766,33.4229,4.7179,1.5551,1.4586,0.9416,1.1846,2632760.224,2049468.164,1441116.3936,26669861.0691,20761112.5013
002887.SZ,20210723,11.65,2.0364,3.2382,0.75,12.9156,12.3567,1.8261,3.8334,3.6833,1.4306,4.2088,31200.0,16157.6025,10161.116,363480.0,188236.0691
002392.SZ,20210723,4.24,0.8532,0.9281,1.41,11.1362,10.7876,1.193,1.1709,1.1251,0.8111,,119049.0839,89056.6263,81877.0295,504768.1157,377600.0955
300573.SZ,20210723,107.0,2.1133,2.5504,0.75,100.1333,66.9321,12.677,12.792,10.8336,0.117,0.2337,8233.26,6145.2875,5092.0788,880958.82,657545.7625
002713.SZ,20210723,6.34,0.4769,1.3455,0.99,14.7507,13.7746,3.9281,0.7717,0.7108,0.0,,41953.698,40160.9094,14234.8751,265986.4453,254620.1656
000963.SZ,20210723,37.64,3.5521,8.3516,2.83,23.3568,27.0933,4.4309,1.9554,1.9382,0.7439,0.6111,174980.9548,174976.1803,74420.3646,6586283.1387,6586103.4265
600715.SH,20210723,3.63,1.8665,2.6806,0.74,,,2.2934,12.7524,9.0356,0.0,,185485.35,185485.35,129155.7753,673311.8205,673311.8205
