ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
002300.SZ,20210122,6.01,0.7822,1.8323,1.17,20.3386,18.892,2.5596,0.5658,0.5104,1.8152,1.8152,65666.7,65661.6553,28030.1304,394656.867,394626.5484
600657.SH,20210122,3.81,0.447,0.9214,0.59,4.6927,3.874,0.4789,0.5578,0.4721,2.6247,2.6247,285187.8595,152426.0442,73937.3051,1086565.7447,580743.2284
002867.SZ,20210122,31.25,1.4247,3.8954,1.19,23.0356,23.3913,4.4901,4.1987,4.5879,1.4402,1.4402,73081.5601,72299.145,26442.3522,2283798.7531,2259348.2813
300369.SZ,20210122,14.07,2.4936,3.5907,1.34,49.575,51.1182,3.4181,6.7197,6.4227,0.4264,0.4264,79810.0573,73285.3183,50893.2693,1122927.5062,1031124.4285
600858.SH,20210122,6.04,0.1823,0.3818,0.4,59.4778,,1.0992,0.2562,0.4543,0.5795,0.5795,52006.6589,51754.8029,24715.7863,314120.2198,312599.0095
603095.SH,20210122,22.11,1.4855,1.4855,0.64,16.8975,23.8542,1.5301,2.8678,4.4769,0.0,,13200.0,3300.0,3300.0,291852.0,72963.0
300536.SZ,20210122,14.55,0.6868,1.3787,0.7,81.2415,409.7475,7.0633,9.2204,15.2607,0.2474,0.2474,29328.8133,21913.5952,10915.7052,426734.2335,318842.8102
300595.SZ,20210122,113.87,1.4483,2.1592,0.99,225.5057,194.9254,42.7877,106.9793,90.0511,0.0585,0.0585,60775.692,43761.8922,29353.8067,6920528.048,4983166.6648
600428.SH,20210122,5.48,4.9094,10.0061,1.29,116.5538,131.5104,1.2118,1.4231,1.528,0.0,,214665.0771,214665.0771,105324.7126,1176364.6225,1176364.6225
600531.SH,20210122,5.14,3.4118,5.373,1.39,25.8967,14.758,1.5334,0.3045,0.3132,1.1673,1.1673,109024.2634,109024.2634,69229.0765,560384.7139,560384.7139
000599.SZ,20210122,4.39,1.2011,1.7626,1.3,,,1.0698,0.8753,0.8532,0.2295,0.2295,82225.9233,76768.9142,52313.5753,360971.8033,337015.5333
002863.SZ,20210122,5.14,2.0546,4.3999,0.87,44.8502,38.8799,1.4017,0.8703,0.8542,0.235,0.235,49879.3812,40548.123,18934.4458,256380.0194,208417.3522
002743.SZ,20210122,6.76,1.4334,2.3185,0.5,32.5921,24.6251,1.0164,0.7868,0.7613,0.6172,0.6172,43526.8478,33529.838,20729.838,294241.4911,226661.7049
002919.SZ,20210122,39.85,2.3735,3.6299,1.2,210.9097,98.8855,8.1103,9.4057,8.0639,0.2509,0.2509,12213.5745,6840.0495,4472.5995,486710.9438,272575.9726
601319.SH,20210122,6.23,1.268,3.1654,0.82,12.2992,13.9367,1.4043,0.496,0.4711,2.44,2.44,4422399.0583,560156.7019,224389.2848,27551546.1332,3489776.2528
002215.SZ,20210122,5.32,0.9618,1.2932,1.29,20.6046,18.7676,1.9345,1.1982,1.1677,2.7738,2.7738,91407.6384,71621.3677,53268.8616,486288.6363,381025.6762
600198.SH,20210122,9.18,1.0424,1.5795,0.84,,,,5.6602,6.4958,0.0,,88210.8472,88045.4735,58108.3712,809775.5773,808257.4467
603183.SH,20210122,6.97,1.173,1.6143,0.71,25.7294,21.3773,1.7169,3.4006,2.936,1.1751,1.1751,29828.0075,28022.4057,20362.2401,207901.2123,195316.1677
000498.SZ,20210122,4.68,0.2461,0.6723,0.97,11.7566,8.3247,0.9143,0.3133,0.2625,1.2298,1.2298,155695.9203,112013.7113,41005.6183,728656.907,524224.1689
000555.SZ,20210122,14.82,1.4195,2.9693,1.37,38.4985,35.7969,2.5992,1.4252,1.355,0.2617,0.2617,97573.1327,96550.6299,46158.1972,1446033.8266,1430880.3351
603986.SH,20210122,209.68,4.338,5.5817,1.19,162.9269,119.1122,9.4349,30.8731,23.6963,0.1234,0.1234,47159.4449,43916.5243,34131.0954,9888392.4066,9208416.8152
688058.SH,20210122,80.05,1.0393,1.4739,0.81,52.2834,77.781,3.4792,22.3444,22.1902,0.6246,0.6246,4000.0,2184.2,1540.2,320200.0,174845.21
000737.SZ,20210122,4.71,0.4677,0.6857,1.19,,53.0139,5.3047,2.1279,2.304,0.0,,54876.0,54876.0,37430.431,258465.96,258465.96
300342.SZ,20210122,12.36,2.7065,4.672,1.56,37.7036,45.5926,3.6914,5.6454,5.9453,1.1948,1.1948,43177.8272,41898.8819,24272.279,533677.9442,517870.1803
603316.SH,20210122,6.42,2.6462,5.1193,1.71,41.3867,34.6246,1.4742,1.439,1.1243,0.4984,0.4984,20328.0,20328.0,10507.6598,130505.76,130505.76
600626.SH,20210122,3.88,0.8141,1.1199,0.3,50.3689,,1.0529,0.225,0.2867,0.6443,0.6443,85229.1316,80815.6847,58746.4337,330689.0306,313564.8566
002930.SZ,20210122,18.13,4.0747,4.0747,1.55,55.2082,42.4714,4.1874,16.5648,11.1283,1.2721,1.2721,44399.4496,17954.5652,17954.5652,804962.0212,325516.2671
000407.SZ,20210122,3.88,0.4773,0.638,0.92,25.5924,23.6256,1.3899,0.6385,0.8035,0.9021,0.9021,88008.4656,87574.383,65517.001,341472.8465,339788.606
000668.SZ,20210122,14.15,1.0965,1.8538,0.94,56.6969,,2.1938,4.9606,23.2165,0.424,0.424,14684.189,14668.8393,8676.231,207781.2744,207564.0761
603617.SH,20210122,9.83,0.6527,2.1452,0.68,26.1271,21.9067,3.0423,2.9146,2.8476,1.1629,1.1629,19946.0207,19808.8207,6027.6267,196069.3835,194720.7075
603601.SH,20210122,13.17,0.8803,1.5502,0.73,55.3954,26.74,5.2857,7.5621,5.5471,0.7591,0.7591,71899.4343,71899.4343,40831.06,946915.5497,946915.5497
600232.SH,20210122,5.19,0.4947,0.9621,0.93,73.6819,43.1073,1.7568,1.5261,1.7465,3.7721,3.7721,36471.8544,36471.8544,18754.5093,189288.9243,189288.9243
002749.SZ,20210122,10.88,0.7815,1.3235,1.59,23.308,21.5503,3.8132,4.622,4.3145,1.986,1.986,43088.477,27629.9923,16314.2541,468802.6298,300614.3162
603035.SH,20210122,12.67,2.8854,4.2596,1.74,16.4343,15.5269,1.2713,2.3829,2.1706,1.8745,1.8745,34310.5145,34310.5145,23241.4434,434714.2187,434714.2187
000078.SZ,20210122,3.83,0.6274,1.1707,1.21,43.7236,139.0799,1.6393,0.2539,0.2665,0.0,,275083.3257,262119.9543,140475.4415,1053569.1374,1003919.425
300835.SZ,20210122,52.92,17.0717,17.0717,1.07,44.1923,61.9881,4.615,6.7872,7.1135,0.9448,0.9448,7067.0,1767.0,1767.0,373985.64,93509.64
002729.SZ,20210122,48.77,0.9517,2.835,1.26,150.4926,176.1146,7.1729,18.2616,19.8111,0.1435,0.1435,6668.0,6668.0,2238.456,325198.36,325198.36
300124.SZ,20210122,98.8,1.5806,2.0598,1.46,178.4874,94.1724,17.1345,22.9905,16.0586,0.1822,0.1822,171972.344,140694.2864,107963.3487,16990867.5872,13900595.4963
