ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
001896.SZ,20260424,16.75,10.9706,28.7568,0.74,65.4701,65.4701,7.2834,2.2758,2.2758,,,152578.133,152578.133,58208.0646,2555683.7278,2555683.7278
603787.SH,20260424,12.33,3.1926,9.0594,1.02,110.7402,48.5802,1.7847,0.8082,0.667,1.6221,1.6221,23014.379,23014.379,8110.459,283767.2931,283767.2931
300323.SZ,20260424,10.82,6.8708,10.4051,0.81,,,2.675,3.2472,3.2472,,,162299.8797,118769.4006,78426.9807,1756084.6984,1285084.9145
688499.SH,20260424,54.01,3.0022,4.6354,0.73,176.931,176.931,3.9467,2.9613,2.9613,,,16872.851,16872.851,10928.2183,911302.6825,911302.6825
601963.SH,20260424,10.9,0.5218,1.2615,0.74,6.9896,6.9896,0.6884,2.6149,2.6149,3.5176,3.538,362574.985,203402.9256,84128.6009,3952067.3365,2217091.889
301459.SZ,20260424,36.49,2.515,2.515,0.64,23.4936,29.4276,3.0488,4.0054,3.9891,1.0528,1.0528,10412.182,2609.8991,2609.8991,379940.5212,95235.2182
002454.SZ,20260424,10.35,2.4975,4.4548,0.92,26.2922,26.2922,1.6234,1.156,1.156,2.4064,2.4064,62858.16,62694.6115,35147.5306,650581.956,648889.229
603949.SH,20260424,17.7,1.6571,5.5103,0.64,41.4518,41.4518,3.4582,8.5893,8.5893,0.566,0.566,21073.6706,21020.5274,6321.5296,373003.9696,372063.335
300513.SZ,20260424,8.59,1.7354,1.7503,0.89,,,2.042,2.4193,2.8328,,,31369.1155,28827.7832,28582.3557,269460.7021,247630.6577
600258.SH,20260424,15.12,0.9978,1.7798,0.63,20.8141,20.8141,1.3984,2.2195,2.2195,2.381,2.381,111660.3126,111660.3126,62596.5451,1688303.9265,1688303.9265
300848.SZ,20260424,16.66,4.0886,7.4455,0.96,87.0115,78.341,4.569,4.0816,3.6904,0.4202,0.4202,42788.7627,25312.2512,13899.9974,712860.7866,421702.105
