ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
600230.SH,20250321,10.54,0.6693,1.2397,1.07,22.9146,1414.4164,1.0967,0.8965,0.8895,1.3162,1.3162,41396.1015,41396.1015,22349.3591,436314.9098,436314.9098
301552.SZ,20250321,57.83,16.7763,16.7763,1.42,28.6858,25.0046,3.5468,8.0623,6.6544,0.0,,6800.0,1448.3334,1448.3334,393244.0,83757.1205
688528.SH,20250321,9.42,0.8305,2.4643,1.12,,,2.8975,4.8394,4.9374,,,16800.0,16800.0,5661.896,158256.0,158256.0
605028.SH,20250321,17.32,1.3856,5.5425,0.7,16.1374,16.1374,2.015,7.7153,7.7153,3.4642,6.9284,16000.0,16000.0,4000.0,277120.0,277120.0
600237.SH,20250321,7.24,3.2375,4.0871,0.82,47.6975,47.6975,2.5054,3.5452,3.5452,0.0,,63070.9155,62167.6155,49245.6699,456633.4282,450093.5362
002465.SZ,20250321,11.92,1.9177,2.5899,1.16,42.0813,55.8899,2.3323,4.5873,4.7867,1.2584,1.2584,248183.3948,243173.1461,180057.4224,2958346.066,2898623.9015
300732.SZ,20250321,6.89,1.9652,3.7785,0.89,18.5547,,0.851,0.9682,1.2323,2.9027,2.9027,32431.512,32374.1683,16837.6238,223453.1177,223058.0196
002428.SZ,20250321,21.48,3.5793,4.4745,0.6,2011.4616,339.5819,9.7935,20.8772,19.9349,0.0931,0.0931,65312.0,65303.5625,52237.7225,1402901.76,1402720.5225
600007.SH,20250321,22.69,0.3791,1.9589,0.88,18.1506,17.9182,2.429,5.7806,5.7799,5.7294,5.7294,100728.2534,100728.2534,19492.2293,2285524.0696,2285524.0696
688701.SH,20250321,6.33,1.8819,3.7544,1.53,,,4.2929,2.4507,3.5329,,,13427.7372,13427.7372,6730.7755,84997.5765,84997.5765
000756.SZ,20250321,14.9,2.0305,3.6899,1.14,20.6997,22.9093,2.0866,1.2687,1.2327,1.8181,1.8181,68977.6535,45553.1936,25066.7844,1027767.0372,678742.5846
688118.SH,20250321,26.6,8.3478,10.8145,2.74,,382.4895,3.0277,5.0826,5.8174,0.3759,0.3759,9181.7613,9181.7613,7087.4804,244234.8506,244234.8506
300068.SZ,20250321,18.41,6.9401,7.7545,0.59,459.5535,,3.0371,1.1273,1.438,0.3393,0.3393,89803.9858,85519.0788,76537.5175,1653291.3786,1574406.2407
920491.BJ,20250321,30.38,6.6973,7.1713,0.99,55.7035,48.1866,4.2863,9.1806,6.9471,0.6583,0.6583,14114.8348,11414.7977,10660.2367,428808.6812,346781.5541
603829.SH,20250321,14.75,0.9921,3.9264,0.49,21.6615,20.481,2.3516,1.2015,1.148,0.678,0.678,16000.0,16000.0,4042.63,236000.0,236000.0
002646.SZ,20250321,9.48,1.4309,2.462,0.83,51.0083,111.3753,1.6129,3.7759,3.6376,1.7194,1.7194,48200.2974,47633.7624,27685.4584,456938.8194,451568.0676
003025.SZ,20250321,17.71,8.6271,15.2469,1.08,42.9418,22.6451,3.6496,8.6252,6.6045,1.1293,1.1293,23662.7965,19874.9026,11245.7714,419068.126,351984.525
300552.SZ,20250321,31.12,4.5754,5.6394,1.22,,,3.2012,7.2969,6.6846,0.0,,21313.3112,12945.9529,10503.3691,663270.2445,402878.0542
300801.SZ,20250321,16.52,1.4918,2.2495,0.95,25.4398,32.8348,1.5164,1.6361,1.621,1.4429,1.4429,21843.0,13408.5105,8892.0105,360846.36,221508.5935
601369.SH,20250321,8.58,0.5978,1.5921,0.62,14.5113,15.4163,1.8122,1.4597,1.4568,6.6434,6.6434,172559.9033,169136.7233,63507.861,1480563.9703,1451193.0859
002518.SZ,20250321,27.17,3.8482,9.5014,0.97,18.71,30.9833,3.6446,2.9081,3.6935,1.6695,1.6695,58222.5094,56519.7914,22891.3654,1581905.5804,1535642.7323
600597.SH,20250321,8.5,1.4412,2.9803,0.4,12.1127,15.3967,1.3405,0.4424,0.4835,2.5882,2.5882,137847.3763,137845.5363,66659.4767,1171702.6986,1171687.0586
603515.SH,20250321,17.4,0.1885,1.2703,0.89,14.031,14.6235,1.9993,1.6633,1.7643,4.8251,4.8251,74514.8915,73502.9315,10905.7179,1296559.1121,1278951.0081
603105.SH,20250321,9.0,1.9054,2.9611,0.69,20.4402,20.4135,2.2076,6.5578,6.351,1.6667,1.6667,50000.6441,50000.6441,32174.6441,450005.7969,450005.7969
603132.SH,20250321,11.74,0.3214,2.0175,0.66,24.0725,24.0725,3.5212,7.4602,7.4602,3.4923,3.4923,97800.0,97800.0,15580.0,1148172.0,1148172.0
002913.SZ,20250321,27.57,1.4379,3.8771,0.64,16.8708,24.5147,2.0266,2.0208,1.9824,1.1425,1.1425,31736.0504,25570.2974,9483.4974,874962.9095,704973.0993
600956.SH,20250321,7.45,0.2838,2.3041,1.38,14.1938,14.2657,1.458,1.5449,1.3654,2.8725,2.8725,420569.3073,234808.8677,28924.7424,3133241.3394,1749326.0644
601818.SH,20250321,3.84,0.2515,0.6515,0.96,5.5621,5.4651,0.4837,1.5574,1.6701,4.5052,7.2135,5908555.1061,4640681.5561,1791370.0232,22688851.6074,17820217.1754
