ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
300819.SZ,20260227,58.92,9.7287,24.1597,0.99,136.4038,148.8393,10.287,14.6635,15.554,0.6789,0.6789,14920.5,13476.225,5426.615,879115.86,794019.177
001378.SZ,20260227,25.85,3.5842,3.5842,1.2,37.0409,42.9823,1.8561,2.2661,2.308,2.5094,2.5094,13333.36,6450.5766,6450.5766,344667.356,166747.4051
688505.SH,20260227,8.68,0.4993,1.1491,0.9,226.4426,,3.9842,12.6831,12.6434,0.3456,0.3456,103657.21,71057.21,30872.7971,899744.5828,616776.5828
605158.SH,20260227,8.58,0.8147,2.9625,0.94,19.1275,26.8054,1.7756,0.6334,0.6516,1.7306,1.7306,51142.0,51142.0,14064.084,438798.36,438798.36
688193.SH,20260227,54.23,0.9385,1.7187,0.89,,,2.3813,12.2524,13.1011,0.4458,0.4458,4006.987,4006.987,2188.0251,217298.905,217298.905
300612.SZ,20260227,17.68,5.4092,6.822,0.57,,,6.5078,4.6706,6.2418,,,18045.4496,17987.9496,14262.9421,319043.5489,318026.9489
300235.SZ,20260227,14.3,2.785,3.5501,0.83,207.2032,633.4626,5.1617,39.0676,50.2713,0.3134,0.3134,25174.6635,20313.4291,15935.9263,359997.6881,290482.0361
600360.SH,20260227,9.58,2.1195,2.7285,1.08,72.0218,52.4452,2.7077,4.471,4.1388,0.7724,0.7724,96029.5304,96029.5304,74596.8648,919962.9012,919962.9012
300161.SZ,20260227,33.13,1.7738,2.6392,0.87,,,4.2831,3.6932,4.223,0.0302,0.0302,19869.6906,19499.4903,13105.5198,658282.8496,646018.1136
001282.SZ,20260227,23.4,17.116,23.602,5.01,35.5375,38.584,3.2412,3.3278,3.16,0.6044,0.6044,22218.56,7816.48,5668.466,519914.304,182905.632
300779.SZ,20260227,101.16,4.387,5.316,1.12,477.149,761.0994,14.9184,17.6877,17.4951,0.0959,0.0959,20093.3302,16104.054,13289.7052,2032641.283,1629086.1026
300434.SZ,20260227,10.77,1.2314,2.0936,0.81,47.1523,33.1812,1.719,3.925,4.1045,0.6407,0.6407,40174.3872,34212.1086,20121.7619,432678.1501,368464.4096
000695.SZ,20260227,13.32,5.4205,7.7319,1.34,,,17.9738,6.2566,6.1639,,,23175.2139,22181.1164,15550.1597,308693.8491,295452.4704
920112.BJ,20260227,38.32,1.2135,1.2135,2.21,25.1262,22.5723,3.6308,3.0757,2.903,1.3048,1.3048,8485.0,2318.3,2318.3,325145.2,88837.256
000905.SZ,20260227,12.74,3.3847,7.0746,1.61,47.326,45.9641,1.8777,0.4267,0.4551,0.8634,0.8634,74180.9597,74180.8097,35490.0575,945065.4266,945063.5156
301332.SZ,20260227,9.9,1.0608,1.4362,0.95,32.0945,35.9406,1.5672,1.2941,1.2996,1.5046,1.5046,46156.25,26489.75,19566.3025,456946.875,262248.525
301278.SZ,20260227,41.88,13.9916,17.0362,1.1,37.9437,125.3179,2.6406,4.1588,3.9203,1.2204,1.2204,8970.8143,5140.1964,4221.5963,375697.7029,215271.4252
920725.BJ,20260227,39.32,20.8826,32.8432,1.53,911.0514,,5.9261,16.5928,20.9348,0.2526,0.2526,9127.5,4207.7762,2675.415,358893.3,165449.7602
920068.BJ,20260227,22.1,18.2173,18.2173,1.7,84.0319,151.349,11.4467,18.0827,22.3649,0.4525,0.4525,65560.0015,6270.4261,6270.4261,1448876.0332,138576.4168
000573.SZ,20260227,4.52,2.2514,2.8405,0.82,,44.2131,1.7537,5.8932,6.6366,1.1062,1.1062,63828.0604,63296.4819,50169.3956,288502.833,286100.0982
300521.SZ,20260227,32.7,1.604,2.1277,0.8,,,9.2015,25.7664,26.143,0.1176,,14973.0,14973.0,11287.652,489617.1,489617.1
600639.SH,20260227,10.59,0.6396,1.8363,0.8,11.8632,12.5153,0.8206,4.3623,5.6459,3.0472,3.0472,112241.2893,85023.6703,29615.5246,1188635.2537,900400.6685
301149.SZ,20260227,12.51,3.5441,4.5103,0.75,31.3881,39.8455,2.6741,0.9565,0.9354,1.199,1.199,43000.0018,26122.8714,20526.8973,537930.0225,326797.1212
600835.SH,20260227,27.45,1.2034,3.077,1.32,29.9511,30.7219,2.0062,1.3574,1.4246,1.5301,1.5301,102273.9308,80650.43,31543.0714,2807419.4005,2213854.3035
000973.SZ,20260227,13.54,3.6918,3.6918,0.57,278.2038,276.6151,3.883,14.9392,14.7687,0.1017,0.1017,245823.6766,96742.3171,96742.3171,3328452.5812,1309890.9735
000501.SZ,20260227,9.72,0.6818,1.1962,0.57,34.6063,34.0234,0.6871,1.115,1.2238,3.0098,3.0098,76899.2731,76822.8566,43788.4503,747460.9345,746718.1662
000822.SZ,20260227,6.62,3.3664,5.6423,0.58,151.0964,,1.2352,0.9855,1.2456,,,89509.1926,89509.1926,53404.3048,592550.855,592550.855
688588.SH,20260227,14.1,0.712,1.3378,0.75,45.3778,58.0174,4.5793,5.062,5.2752,1.3697,1.3697,40001.0003,40001.0003,21287.1884,564014.1042,564014.1042
300812.SZ,20260227,45.52,20.8896,27.7803,0.71,,,8.1363,16.2384,14.6235,,,14007.7029,9270.8057,6971.2757,637630.636,422007.0755
301205.SZ,20260227,184.78,9.5392,11.2912,0.92,257.9174,213.118,15.1153,26.9054,21.8926,0.1082,0.1082,12974.4,6795.828,5741.378,2397409.632,1255733.0978
600386.SH,20260227,4.44,0.9306,2.068,0.55,172.8739,4359.1298,2.0052,0.7925,0.8701,0.2252,0.2252,80640.0,80640.0,36288.0,358041.6,358041.6
605116.SH,20260227,26.54,0.7899,2.9047,1.39,30.3843,25.3926,4.2743,7.3049,6.6361,1.0891,1.0891,40618.3234,40618.3234,11045.5434,1078010.303,1078010.303
002651.SZ,20260227,11.07,1.6039,3.0532,1.13,95.2574,198.8079,4.123,14.7381,15.7571,0.542,0.542,103346.0,56546.3641,29704.505,1144040.22,625968.2506
300971.SZ,20260227,26.79,3.6219,4.1133,0.93,71.9436,42.7183,2.9904,8.1745,6.1825,0.6666,0.6666,11760.0,9206.2498,8106.3398,315050.4,246635.4321
300808.SZ,20260227,32.93,3.0067,5.8246,1.01,,,5.434,12.2132,15.4964,,,16000.0,11889.9578,6137.7254,526880.0,391536.3104
002020.SZ,20260227,16.34,0.9842,1.3091,0.9,19.7612,19.7446,2.4895,3.3832,3.5191,2.0247,2.0247,86102.914,72396.8335,54430.2753,1406921.6148,1182964.2594
300757.SZ,20260227,413.0,7.293,10.9149,1.06,1083.5352,,41.5712,62.571,136.7703,0.0109,0.0109,16760.8111,15065.2774,10066.1942,6922214.9843,6221959.5662
603011.SH,20260227,25.71,5.9891,9.2173,1.41,,,6.0531,6.1281,5.5747,,,49441.4437,49441.4437,32125.5293,1271139.5175,1271139.5175
300484.SZ,20260227,19.65,2.3397,2.5405,0.98,147.1077,75.2716,6.0277,11.5693,8.6433,0.8161,0.8161,20716.39,16635.2625,15320.4401,407077.0635,326882.9081
605198.SH,20260227,40.92,0.4398,2.545,0.96,52.4542,39.4625,5.0035,9.6439,7.9784,0.6109,0.6109,33418.8,27053.6,4675.38,1367497.296,1107033.312
605050.SH,20260227,13.74,1.4262,3.9198,1.26,21.3808,18.9195,1.5907,0.6004,0.5802,2.5425,2.5337,49282.9181,49282.9181,17931.3881,677147.2947,677147.2947
300166.SZ,20260227,13.72,15.8199,16.896,0.84,530.9247,,2.6702,5.5945,5.708,,,113874.5748,90577.7562,84809.0226,1562359.1663,1242726.8151
600571.SH,20260227,15.97,2.0781,2.5951,1.13,103.1845,74.193,6.2138,3.7857,3.5765,0.2943,0.2943,46631.8309,45775.1703,36656.1545,744710.3395,731029.4697
002091.SZ,20260227,9.1,0.8437,1.4917,0.68,13.3962,12.8427,0.9589,0.3809,0.3751,5.1646,5.1646,162771.469,159682.4465,90310.6869,1481220.3679,1453110.2632
920914.BJ,20260227,28.88,1.6292,2.8091,0.7,42.6493,51.8135,2.9699,3.3753,2.758,0.3442,0.3442,9959.8,9951.925,5771.9045,287639.024,287411.594
