ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
603719.SH,20220826,26.29,1.7977,5.1184,2.55,37.4458,37.2751,4.676,1.1307,1.076,0.9776,0.8003,40100.0,22369.6635,7856.7548,1054229.0,588098.4534
300730.SZ,20220826,9.5,1.7341,2.4085,0.74,59.0928,56.4888,4.8062,4.5858,4.2656,0.4202,0.421,23980.4997,17461.8028,12572.6299,227814.7472,165887.1266
000100.SZ,20220826,4.31,0.6593,0.7294,0.69,6.0127,6.7145,1.4658,0.3698,0.3517,2.6882,3.39,1403064.2421,1341708.6931,1212736.58,6047206.8835,5782764.4673
300272.SZ,20220826,5.44,0.9033,0.9881,0.94,29.943,39.6356,2.6647,2.0773,2.0084,0.9067,1.8064,57717.1949,41112.2721,37581.2975,313981.5403,223650.7602
600239.SH,20220826,1.85,0.2667,0.4436,0.73,,,9.0053,0.4912,0.4979,0.0,,160568.6909,160568.6909,96553.6334,297052.0782,297052.0782
000759.SZ,20220826,4.94,0.281,0.9315,0.79,,,1.0937,0.2728,0.2738,0.975,,68102.15,68069.7589,20534.3991,336424.621,336264.609
000539.SZ,20220826,4.67,1.6563,5.191,0.87,,,1.0827,0.5551,0.514,2.5696,,525028.3986,255390.9869,81487.9864,2451882.6215,1192675.9088
002818.SZ,20220826,13.05,2.6283,5.2813,0.89,10.6376,10.0176,1.7211,6.3556,6.1716,4.6179,6.1303,74845.894,29841.2381,14850.9319,976738.9167,389428.1572
000548.SZ,20220826,4.54,1.555,2.2974,0.68,43.6792,52.8136,1.2358,5.2872,5.4275,0.4405,0.4405,49921.5811,49918.8811,33788.2354,226643.9782,226631.7202
301211.SZ,20220826,18.93,1.5396,1.5396,0.59,37.3467,40.175,2.0852,8.4036,8.2921,,1.5848,24000.0,5767.4419,5767.4419,454320.0,109177.6752
920368.BJ,20220826,79.93,0.2235,0.2242,0.16,53.6884,51.5524,7.2795,9.1092,9.069,0.3724,0.1877,23250.28,12042.3609,12006.9293,1858394.8804,962545.9067
002339.SZ,20220826,7.4,7.1123,8.5493,0.74,,,2.1541,1.8585,1.8376,0.3993,,51180.48,48149.4255,40056.6417,378735.552,356305.7487
300522.SZ,20220826,13.05,1.2287,1.824,0.59,37.7193,50.4818,4.3633,5.2611,5.1993,1.0166,0.9195,27016.0605,18203.9033,12262.6902,352559.5895,237560.9381
301096.SZ,20220826,79.2,3.2358,3.2358,0.86,77.1171,55.2127,3.659,22.8868,17.8953,,0.7576,10816.6667,2591.1014,2591.1014,856680.0026,205215.2309
