ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
512800.SH,20260508,0.784,0.785,0.79,0.783,0.785,0.001,0.1276,7698890.0,604451.063
512800.SH,20260507,0.788,0.787,0.789,0.784,0.784,-0.004,-0.5076,7292740.26,573092.505
512800.SH,20260506,0.795,0.793,0.794,0.783,0.788,-0.007,-0.8805,10567806.0,830690.161
512800.SH,20260430,0.8,0.798,0.8,0.792,0.795,-0.005,-0.625,10150845.42,807184.213
512800.SH,20260429,0.803,0.8,0.803,0.794,0.8,-0.003,-0.3736,7695896.47,614600.23
512800.SH,20260428,0.8,0.798,0.803,0.797,0.803,0.003,0.375,7112420.8,569013.966
512800.SH,20260427,0.803,0.802,0.811,0.798,0.8,-0.003,-0.3736,5785464.26,465406.575
512800.SH,20260424,0.804,0.804,0.807,0.8,0.803,-0.001,-0.1244,6452956.0,518122.19
512800.SH,20260423,0.802,0.802,0.808,0.799,0.804,0.002,0.2494,7636190.0,614220.415
512800.SH,20260422,0.808,0.808,0.809,0.8,0.802,-0.006,-0.7426,6575247.0,528343.05
512800.SH,20260421,0.805,0.805,0.814,0.803,0.808,0.003,0.3727,7960166.5,644365.053
512800.SH,20260420,0.796,0.796,0.805,0.794,0.805,0.009,1.1307,7837479.5,628612.71
512800.SH,20260417,0.801,0.799,0.802,0.795,0.796,-0.005,-0.6242,6380878.0,509032.459
512800.SH,20260416,0.802,0.802,0.808,0.798,0.801,-0.001,-0.1247,7816561.25,626682.236
512800.SH,20260415,0.794,0.794,0.804,0.793,0.802,0.008,1.0076,8290893.77,663371.327
512800.SH,20260414,0.789,0.787,0.795,0.786,0.794,0.005,0.6337,7933022.19,628172.015
512800.SH,20260413,0.787,0.787,0.789,0.782,0.789,0.002,0.2541,7395119.69,580682.945
512800.SH,20260410,0.788,0.788,0.789,0.786,0.787,-0.001,-0.1269,8139513.0,640823.185
512800.SH,20260409,0.794,0.793,0.796,0.787,0.788,-0.006,-0.7557,6250158.59,493509.157
512800.SH,20260408,0.788,0.79,0.795,0.784,0.794,0.006,0.7614,11520314.59,911251.358
