ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
515210.SH,20260508,1.457,1.451,1.466,1.441,1.465,0.008,0.5491,516078.0,74975.919
515210.SH,20260507,1.456,1.457,1.465,1.444,1.457,0.001,0.0687,1054791.94,152906.9
515210.SH,20260506,1.441,1.445,1.46,1.439,1.456,0.015,1.0409,753547.0,109325.916
515210.SH,20260430,1.463,1.459,1.459,1.432,1.441,-0.022,-1.5038,746468.0,107564.313
515210.SH,20260429,1.432,1.432,1.465,1.422,1.463,0.031,2.1648,787729.0,114706.771
515210.SH,20260428,1.431,1.429,1.433,1.417,1.432,0.001,0.0699,458399.0,65395.949
515210.SH,20260427,1.448,1.444,1.446,1.424,1.431,-0.017,-1.174,388383.31,55543.465
515210.SH,20260424,1.451,1.451,1.454,1.435,1.448,-0.003,-0.2068,488828.41,70502.296
515210.SH,20260423,1.476,1.476,1.476,1.447,1.451,-0.025,-1.6938,614633.49,89451.633
515210.SH,20260422,1.471,1.472,1.48,1.46,1.476,0.005,0.3399,409248.92,60124.626
515210.SH,20260421,1.476,1.479,1.479,1.463,1.471,-0.005,-0.3388,441962.9,64854.028
515210.SH,20260420,1.477,1.48,1.484,1.469,1.476,-0.001,-0.0677,413247.0,61015.649
515210.SH,20260417,1.482,1.48,1.483,1.469,1.477,-0.005,-0.3374,257469.61,37982.892
515210.SH,20260416,1.45,1.452,1.484,1.45,1.482,0.032,2.2069,563358.37,82869.535
515210.SH,20260415,1.464,1.465,1.476,1.445,1.45,-0.014,-0.9563,1158758.46,168671.073
515210.SH,20260414,1.471,1.475,1.477,1.447,1.464,-0.007,-0.4759,510416.0,74403.354
515210.SH,20260413,1.456,1.456,1.475,1.45,1.471,0.015,1.0302,504262.0,73767.114
515210.SH,20260410,1.456,1.464,1.473,1.454,1.456,0.0,0.0,557339.0,81546.62
515210.SH,20260409,1.463,1.455,1.467,1.452,1.456,-0.007,-0.4785,1094288.0,159340.045
515210.SH,20260408,1.416,1.433,1.464,1.433,1.463,0.047,3.3192,1289116.19,187524.554
515210.SH,20260407,1.411,1.406,1.417,1.397,1.416,0.005,0.3544,577880.0,81412.215
515210.SH,20260403,1.431,1.431,1.433,1.407,1.411,-0.02,-1.3976,433517.0,61423.786
515210.SH,20260402,1.444,1.435,1.444,1.42,1.431,-0.013,-0.9003,797164.0,114082.248
515210.SH,20260401,1.427,1.438,1.452,1.437,1.444,0.017,1.1913,2210261.0,318366.893
515210.SH,20260331,1.451,1.45,1.457,1.424,1.427,-0.024,-1.654,568786.08,81803.172
515210.SH,20260330,1.439,1.43,1.453,1.418,1.451,0.012,0.8339,780647.37,112169.674
515210.SH,20260327,1.418,1.404,1.446,1.4,1.439,0.021,1.481,674016.0,96577.948
515210.SH,20260326,1.447,1.438,1.451,1.413,1.418,-0.029,-2.0041,1041657.0,149181.335
515210.SH,20260325,1.421,1.427,1.448,1.424,1.447,0.026,1.8297,2164173.0,311503.202
515210.SH,20260324,1.372,1.387,1.421,1.374,1.421,0.049,3.5714,968768.22,135496.327
515210.SH,20260323,1.435,1.414,1.421,1.364,1.372,-0.063,-4.3902,1340069.36,186400.23
515210.SH,20260320,1.466,1.46,1.473,1.434,1.435,-0.031,-2.1146,1010529.88,146315.217
515210.SH,20260319,1.526,1.508,1.52,1.459,1.466,-0.06,-3.9318,1180815.0,174710.267
515210.SH,20260318,1.537,1.534,1.542,1.508,1.526,-0.011,-0.7157,1030380.95,156923.183
515210.SH,20260317,1.542,1.54,1.576,1.535,1.537,-0.005,-0.3243,2062965.35,320890.576
515210.SH,20260316,1.593,1.581,1.588,1.521,1.542,-0.051,-3.2015,2416326.45,372692.707
515210.SH,20260313,1.602,1.593,1.629,1.587,1.593,-0.009,-0.5618,1580321.97,254765.774
515210.SH,20260312,1.588,1.591,1.609,1.579,1.602,0.014,0.8816,1048724.8,167388.87
515210.SH,20260311,1.596,1.6,1.6,1.577,1.588,-0.008,-0.5013,818769.1,129739.349
