ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
512400.SH,20260508,2.207,2.188,2.215,2.165,2.206,-0.001,-0.0453,5402753.62,1185767.596
512400.SH,20260507,2.199,2.231,2.235,2.178,2.207,0.008,0.3638,7521275.63,1658626.372
512400.SH,20260506,2.119,2.134,2.2,2.114,2.199,0.08,3.7754,7010343.11,1518315.837
512400.SH,20260430,2.14,2.128,2.154,2.101,2.119,-0.021,-0.9813,3802627.04,807395.293
512400.SH,20260429,2.043,2.032,2.14,2.032,2.14,0.097,4.7479,5640091.75,1186274.821
512400.SH,20260428,2.095,2.081,2.084,2.036,2.043,-0.052,-2.4821,4231090.77,867853.166
512400.SH,20260427,2.118,2.112,2.12,2.091,2.095,-0.023,-1.0859,3263695.46,685380.331
512400.SH,20260424,2.098,2.083,2.131,2.066,2.118,0.02,0.9533,5021145.86,1050990.72
512400.SH,20260423,2.179,2.178,2.185,2.081,2.098,-0.081,-3.7173,7641207.79,1612859.892
512400.SH,20260422,2.18,2.158,2.187,2.153,2.179,-0.001,-0.0459,4610108.2,1002010.25
512400.SH,20260421,2.179,2.182,2.186,2.147,2.18,0.001,0.0459,3793951.9,824157.616
512400.SH,20260420,2.167,2.166,2.197,2.16,2.179,0.012,0.5538,4008419.18,872691.514
512400.SH,20260417,2.17,2.152,2.184,2.15,2.167,-0.003,-0.1382,3438027.56,745783.562
512400.SH,20260416,2.104,2.115,2.17,2.115,2.17,0.066,3.1369,5274975.32,1133518.617
512400.SH,20260415,2.136,2.168,2.174,2.097,2.104,-0.032,-1.4981,5137963.41,1098272.76
512400.SH,20260414,2.096,2.14,2.144,2.108,2.136,0.04,1.9084,5368810.63,1140808.668
512400.SH,20260413,2.096,2.078,2.104,2.075,2.096,0.0,0.0,4117044.56,860705.749
512400.SH,20260410,2.103,2.12,2.128,2.09,2.096,-0.007,-0.3329,4429296.12,932549.685
512400.SH,20260409,2.119,2.081,2.122,2.075,2.103,-0.016,-0.7551,5137457.26,1077600.681
512400.SH,20260408,1.992,2.06,2.12,2.06,2.119,0.127,6.3755,7502238.96,1569912.677
