ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
515030.SH,20260508,2.182,2.158,2.202,2.13,2.132,-0.05,-2.2915,1712224.18,369878.6
515030.SH,20260507,2.202,2.206,2.206,2.154,2.182,-0.02,-0.9083,1620363.0,352380.361
515030.SH,20260506,2.132,2.155,2.207,2.134,2.202,0.07,3.2833,1763001.75,383028.953
515030.SH,20260430,2.135,2.128,2.154,2.117,2.132,-0.003,-0.1405,2045722.32,436488.052
515030.SH,20260429,2.032,2.012,2.14,2.012,2.135,0.103,5.0689,2028513.35,423915.138
515030.SH,20260428,2.076,2.061,2.066,2.023,2.032,-0.044,-2.1195,1825391.0,371941.568
515030.SH,20260427,2.059,2.062,2.085,2.057,2.076,0.017,0.8256,2019328.99,418068.621
515030.SH,20260424,2.004,1.992,2.076,1.992,2.059,0.055,2.7445,1908049.86,388600.193
515030.SH,20260423,2.047,2.047,2.049,1.988,2.004,-0.043,-2.1006,3271917.0,656041.578
515030.SH,20260422,2.043,2.031,2.066,2.03,2.047,0.004,0.1958,1441744.0,294445.213
515030.SH,20260421,2.012,2.018,2.049,1.99,2.043,0.031,1.5408,1757317.0,355809.69
515030.SH,20260420,2.02,2.018,2.022,1.99,2.012,-0.008,-0.396,1283756.0,257839.969
515030.SH,20260417,2.025,2.025,2.04,2.009,2.02,-0.005,-0.2469,1230863.98,248841.388
515030.SH,20260416,1.966,1.975,2.04,1.975,2.025,0.059,3.001,1425695.0,287457.026
515030.SH,20260415,2.005,2.016,2.016,1.958,1.966,-0.039,-1.9451,1570997.63,310718.01
515030.SH,20260414,1.956,1.964,2.006,1.945,2.005,0.049,2.5051,3065438.0,604401.951
515030.SH,20260413,1.922,1.92,1.966,1.916,1.956,0.034,1.769,1553267.46,302953.067
515030.SH,20260410,1.856,1.859,1.936,1.859,1.922,0.066,3.556,1691923.0,324441.305
515030.SH,20260409,1.865,1.861,1.878,1.834,1.856,-0.009,-0.4826,1207315.0,224381.615
515030.SH,20260408,1.796,1.823,1.865,1.822,1.865,0.069,3.8419,1822593.27,336683.422
515030.SH,20260407,1.795,1.79,1.819,1.78,1.796,0.001,0.0557,1111251.0,199495.216
515030.SH,20260403,1.833,1.821,1.843,1.79,1.795,-0.038,-2.0731,1033949.0,186512.285
515030.SH,20260402,1.857,1.841,1.873,1.82,1.833,-0.024,-1.2924,1457989.0,269262.742
515030.SH,20260401,1.846,1.861,1.873,1.838,1.857,0.011,0.5959,1053553.0,195441.769
515030.SH,20260331,1.903,1.894,1.901,1.846,1.846,-0.057,-2.9953,1548149.25,290510.679
515030.SH,20260330,1.907,1.895,1.914,1.867,1.903,-0.004,-0.2098,1831629.28,347134.272
515030.SH,20260327,1.852,1.837,1.918,1.835,1.907,0.055,2.9698,1662965.74,311679.58
515030.SH,20260326,1.84,1.84,1.888,1.828,1.852,0.012,0.6522,1164015.55,217021.694
515030.SH,20260325,1.807,1.811,1.847,1.807,1.84,0.033,1.8262,1263778.0,231137.45
515030.SH,20260324,1.796,1.822,1.823,1.744,1.807,0.011,0.6125,1704391.59,302431.242
515030.SH,20260323,1.825,1.806,1.86,1.785,1.796,-0.029,-1.589,3786985.36,691058.153
515030.SH,20260320,1.799,1.795,1.877,1.795,1.825,0.026,1.4452,1324560.46,242733.501
515030.SH,20260319,1.853,1.83,1.845,1.79,1.799,-0.054,-2.9142,1181013.63,214154.882
515030.SH,20260318,1.873,1.864,1.879,1.829,1.853,-0.02,-1.0678,1052479.56,194235.037
515030.SH,20260317,1.913,1.913,1.93,1.871,1.873,-0.04,-2.091,949935.0,180162.786
515030.SH,20260316,1.915,1.899,1.92,1.881,1.913,-0.002,-0.1044,1176599.65,223699.77
515030.SH,20260313,1.907,1.902,1.951,1.894,1.915,0.008,0.4195,1134718.4,218748.045
515030.SH,20260312,1.914,1.906,1.916,1.886,1.907,-0.007,-0.3657,1018100.73,193397.457
515030.SH,20260311,1.865,1.871,1.928,1.86,1.914,0.049,2.6273,1442759.0,274973.608
515030.SH,20260310,1.835,1.848,1.877,1.848,1.865,0.03,1.6349,945059.0,176465.211
515030.SH,20260309,1.821,1.807,1.842,1.763,1.835,0.014,0.7688,1260041.0,226783.175
515030.SH,20260306,1.822,1.823,1.835,1.807,1.821,-0.001,-0.0549,752866.0,137287.841
515030.SH,20260305,1.807,1.828,1.839,1.808,1.822,0.015,0.8301,950991.8,173673.897
515030.SH,20260304,1.815,1.8,1.83,1.793,1.807,-0.008,-0.4408,1101961.6,199342.834
515030.SH,20260303,1.879,1.876,1.891,1.812,1.815,-0.064,-3.4061,1187998.61,219107.804
515030.SH,20260302,1.898,1.882,1.897,1.853,1.879,-0.019,-1.0011,1102780.0,206504.993
515030.SH,20260227,1.897,1.883,1.901,1.881,1.898,0.001,0.0527,762171.0,144170.561
515030.SH,20260226,1.93,1.942,1.943,1.892,1.897,-0.033,-1.7098,1034137.0,196810.628
515030.SH,20260225,1.894,1.891,1.944,1.889,1.93,0.036,1.9007,1206771.0,231923.458
515030.SH,20260224,1.878,1.902,1.908,1.886,1.894,0.016,0.852,986699.0,187149.831
515030.SH,20260213,1.895,1.877,1.899,1.868,1.878,-0.017,-0.8971,844826.0,159373.775
515030.SH,20260212,1.875,1.878,1.897,1.871,1.895,0.02,1.0667,828151.0,156444.152
515030.SH,20260211,1.852,1.854,1.882,1.847,1.875,0.023,1.2419,796110.0,148932.73
515030.SH,20260210,1.86,1.856,1.859,1.844,1.852,-0.008,-0.4301,760633.0,140771.157
515030.SH,20260209,1.838,1.853,1.862,1.839,1.86,0.022,1.197,940124.0,174046.728
515030.SH,20260206,1.808,1.79,1.858,1.775,1.838,0.03,1.6593,1134870.0,207150.385
515030.SH,20260205,1.848,1.823,1.837,1.795,1.808,-0.04,-2.1645,1003055.0,181563.489
515030.SH,20260204,1.83,1.827,1.85,1.814,1.848,0.018,0.9836,1150653.0,210220.677
515030.SH,20260203,1.789,1.8,1.83,1.79,1.83,0.041,2.2918,1113893.0,201185.416
515030.SH,20260202,1.833,1.81,1.84,1.786,1.789,-0.044,-2.4004,1144267.0,208175.41
515030.SH,20260130,1.869,1.865,1.865,1.791,1.833,-0.036,-1.9262,1232351.0,224914.861
515030.SH,20260129,1.902,1.9,1.903,1.866,1.869,-0.033,-1.735,1007638.25,189722.271
515030.SH,20260128,1.909,1.907,1.908,1.87,1.902,-0.007,-0.3667,1214544.76,228959.959
515030.SH,20260127,1.94,1.929,1.949,1.864,1.909,-0.031,-1.5979,1018385.46,192781.963
515030.SH,20260126,1.969,1.985,1.993,1.934,1.94,-0.029,-1.4728,976904.26,191431.64
515030.SH,20260123,1.922,1.922,1.972,1.922,1.969,0.047,2.4454,1373650.0,268516.783
515030.SH,20260122,1.941,1.949,1.973,1.913,1.922,-0.019,-0.9789,1293219.0,249310.355
515030.SH,20260121,1.912,1.907,1.956,1.902,1.941,0.029,1.5167,1155811.0,224403.238
515030.SH,20260120,1.939,1.945,1.959,1.896,1.912,-0.027,-1.3925,975665.0,186952.755
515030.SH,20260119,1.947,1.944,1.96,1.93,1.939,-0.008,-0.4109,784751.0,152709.422
515030.SH,20260116,1.942,1.946,1.969,1.937,1.947,0.005,0.2575,1190030.0,232040.5
515030.SH,20260115,1.907,1.896,1.96,1.896,1.942,0.035,1.8353,992970.0,193289.061
515030.SH,20260114,1.93,1.918,1.966,1.888,1.907,-0.023,-1.1917,1387965.0,267935.335
515030.SH,20260113,1.935,1.937,1.973,1.92,1.93,-0.005,-0.2584,1195657.29,232839.759
515030.SH,20260112,1.93,1.93,1.95,1.894,1.935,0.005,0.2591,716471.75,137523.804
515030.SH,20260109,1.915,1.906,1.95,1.898,1.93,0.015,0.7833,958180.03,184797.081
515030.SH,20260108,1.94,1.922,1.952,1.898,1.915,-0.025,-1.2887,1180710.98,227668.695
515030.SH,20260107,1.949,1.949,1.972,1.922,1.94,-0.009,-0.4618,990767.27,193100.174
