ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
510880.SH,20260508,3.272,3.273,3.292,3.25,3.261,-0.011,-0.3362,1593841.37,519812.739
510880.SH,20260507,3.341,3.327,3.327,3.268,3.272,-0.069,-2.0652,2937811.0,964538.06
510880.SH,20260506,3.341,3.335,3.342,3.3,3.341,0.0,0.0,1451800.0,481710.572
510880.SH,20260430,3.347,3.34,3.357,3.324,3.341,-0.006,-0.1793,1434351.24,478767.666
510880.SH,20260429,3.325,3.315,3.36,3.313,3.347,0.022,0.6617,1395718.71,466652.88
510880.SH,20260428,3.275,3.27,3.326,3.265,3.325,0.05,1.5267,1653364.52,545846.331
510880.SH,20260427,3.28,3.27,3.293,3.264,3.275,-0.005,-0.1524,1008522.0,330541.99
510880.SH,20260424,3.293,3.277,3.292,3.266,3.28,-0.013,-0.3948,1460046.0,478523.898
510880.SH,20260423,3.269,3.269,3.294,3.253,3.293,0.024,0.7342,1213083.25,397569.032
510880.SH,20260422,3.265,3.268,3.281,3.259,3.269,0.004,0.1225,1127009.0,368498.363
510880.SH,20260421,3.225,3.224,3.273,3.222,3.265,0.04,1.2403,2186008.72,712181.256
510880.SH,20260420,3.218,3.219,3.235,3.212,3.225,0.007,0.2175,896280.31,288666.367
510880.SH,20260417,3.244,3.24,3.244,3.216,3.218,-0.026,-0.8015,1068333.0,344442.966
510880.SH,20260416,3.24,3.23,3.251,3.23,3.244,0.004,0.1235,942202.6,305409.124
510880.SH,20260415,3.223,3.221,3.242,3.206,3.24,0.017,0.5275,1155044.5,372895.343
510880.SH,20260414,3.223,3.216,3.224,3.205,3.223,0.0,0.0,991290.16,318664.154
510880.SH,20260413,3.218,3.225,3.233,3.202,3.223,0.005,0.1554,1137072.0,365930.898
510880.SH,20260410,3.212,3.211,3.231,3.205,3.218,0.006,0.1868,839605.72,270381.505
510880.SH,20260409,3.227,3.222,3.232,3.202,3.212,-0.015,-0.4648,792582.0,254702.266
510880.SH,20260408,3.228,3.21,3.228,3.186,3.227,-0.001,-0.031,1714533.0,549273.612
510880.SH,20260407,3.216,3.217,3.232,3.196,3.228,0.012,0.3731,1021183.72,328441.978
510880.SH,20260403,3.258,3.256,3.259,3.204,3.216,-0.042,-1.2891,1523365.99,490888.645
510880.SH,20260402,3.241,3.24,3.27,3.238,3.258,0.017,0.5245,1002087.45,326342.217
510880.SH,20260401,3.251,3.248,3.269,3.236,3.241,-0.01,-0.3076,1322342.01,429458.774
510880.SH,20260331,3.299,3.293,3.314,3.248,3.251,-0.048,-1.455,1590399.0,519957.179
510880.SH,20260330,3.267,3.262,3.304,3.262,3.299,0.032,0.9795,1081539.99,355809.927
510880.SH,20260327,3.268,3.267,3.283,3.243,3.267,-0.001,-0.0306,887787.99,289198.915
510880.SH,20260326,3.256,3.251,3.288,3.248,3.268,0.012,0.3686,1148295.0,375558.985
510880.SH,20260325,3.269,3.25,3.257,3.21,3.256,-0.013,-0.3977,1575615.0,509345.306
510880.SH,20260324,3.234,3.23,3.27,3.227,3.269,0.035,1.0823,1398703.05,455037.626
510880.SH,20260323,3.296,3.305,3.306,3.226,3.234,-0.062,-1.8811,2022804.43,660155.165
510880.SH,20260320,3.305,3.275,3.329,3.273,3.296,-0.009,-0.2723,1074156.0,355018.429
