ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
512480.SH,20260508,1.949,1.908,1.918,1.879,1.902,-0.047,-2.4115,8513916.11,1617900.148
512480.SH,20260507,1.913,1.93,1.955,1.903,1.949,0.036,1.8819,8124785.72,1566590.591
512480.SH,20260506,1.817,1.893,1.983,1.89,1.913,0.096,5.2834,10695164.95,2074942.49
512480.SH,20260430,1.732,1.751,1.829,1.747,1.817,0.085,4.9076,12900460.34,2308150.758
512480.SH,20260429,1.735,1.713,1.735,1.678,1.732,-0.003,-0.1729,8347152.29,1428440.288
512480.SH,20260428,1.755,1.745,1.782,1.723,1.735,-0.02,-1.1396,7513621.48,1315600.78
512480.SH,20260427,1.677,1.703,1.764,1.695,1.755,0.078,4.6512,12107588.8,2096512.673
512480.SH,20260424,1.648,1.652,1.696,1.637,1.677,0.029,1.7597,11744618.38,1960086.342
512480.SH,20260423,1.677,1.692,1.695,1.634,1.648,-0.029,-1.7293,9387022.65,1562235.481
512480.SH,20260422,1.635,1.625,1.678,1.625,1.677,0.042,2.5688,10113763.37,1672879.495
512480.SH,20260421,1.653,1.648,1.649,1.609,1.635,-0.018,-1.0889,6632696.0,1078879.284
512480.SH,20260420,1.628,1.629,1.658,1.627,1.653,0.025,1.5356,6837801.01,1126335.652
512480.SH,20260417,1.62,1.614,1.641,1.608,1.628,0.008,0.4938,6187050.61,1006981.127
512480.SH,20260416,1.598,1.596,1.621,1.588,1.62,0.022,1.3767,6878260.33,1106117.703
512480.SH,20260415,1.608,1.621,1.634,1.59,1.598,-0.01,-0.6219,7797838.18,1260029.004
512480.SH,20260414,1.566,1.59,1.616,1.587,1.608,0.042,2.682,8288640.57,1327792.918
512480.SH,20260413,1.561,1.548,1.595,1.548,1.566,0.005,0.3203,6822983.37,1074530.381
512480.SH,20260410,1.532,1.556,1.58,1.555,1.561,0.029,1.893,7789697.0,1220774.124
512480.SH,20260409,1.531,1.513,1.55,1.505,1.532,0.001,0.0653,8052903.08,1232859.13
512480.SH,20260408,1.437,1.482,1.533,1.482,1.531,0.094,6.5414,10290859.16,1547562.545
512480.SH,20260407,1.413,1.417,1.45,1.417,1.437,0.024,1.6985,6988137.16,1006351.157
512480.SH,20260403,1.413,1.42,1.43,1.408,1.413,0.0,0.0,5175092.0,734618.691
512480.SH,20260402,1.458,1.453,1.455,1.404,1.413,-0.045,-3.0864,7711924.0,1097787.743
512480.SH,20260401,1.415,1.455,1.466,1.442,1.458,0.043,3.0389,8851075.12,1287610.527
512480.SH,20260331,1.467,1.455,1.46,1.413,1.415,-0.052,-3.5446,8498197.53,1217722.461
512480.SH,20260330,1.468,1.44,1.473,1.433,1.467,-0.001,-0.0681,6281802.17,912040.899
512480.SH,20260327,1.453,1.428,1.479,1.421,1.468,0.015,1.0323,6244796.35,908084.504
512480.SH,20260326,1.49,1.48,1.485,1.449,1.453,-0.037,-2.4832,6597208.28,966434.806
512480.SH,20260325,1.451,1.46,1.506,1.46,1.49,0.039,2.6878,10158227.07,1513447.695
512480.SH,20260324,1.425,1.447,1.454,1.401,1.451,0.026,1.8246,9107576.79,1301760.882
512480.SH,20260323,1.501,1.46,1.48,1.416,1.425,-0.076,-5.0633,11882615.16,1722477.769
512480.SH,20260320,1.527,1.533,1.538,1.5,1.501,-0.026,-1.7027,8226738.62,1253127.647
512480.SH,20260319,1.568,1.54,1.545,1.52,1.527,-0.041,-2.6148,9605428.09,1471208.68
512480.SH,20260318,1.534,1.543,1.571,1.536,1.568,0.034,2.2164,8549739.16,1329704.253
512480.SH,20260317,1.577,1.578,1.579,1.531,1.534,-0.043,-2.7267,7716085.91,1199539.555
512480.SH,20260316,1.544,1.539,1.581,1.514,1.577,0.033,2.1373,10626385.58,1646849.249
512480.SH,20260313,1.555,1.542,1.572,1.531,1.544,-0.011,-0.7074,6808668.16,1054020.19
512480.SH,20260312,1.577,1.571,1.592,1.542,1.555,-0.022,-1.3951,7211407.88,1126910.096
512480.SH,20260311,1.595,1.595,1.609,1.575,1.577,-0.018,-1.1285,7266901.6,1152860.062
512480.SH,20260310,1.554,1.586,1.599,1.574,1.595,0.041,2.6384,7886919.67,1254697.733
512480.SH,20260309,1.586,1.549,1.563,1.504,1.554,-0.032,-2.0177,9810226.39,1498242.731
512480.SH,20260306,1.586,1.569,1.602,1.569,1.586,0.0,0.0,5632987.11,894957.456
512480.SH,20260305,1.559,1.595,1.611,1.574,1.586,0.027,1.7319,9219535.39,1469911.591
512480.SH,20260304,1.559,1.542,1.59,1.542,1.559,0.0,0.0,9872893.73,1545404.68
512480.SH,20260303,1.655,1.657,1.665,1.555,1.559,-0.096,-5.8006,13466368.96,2147203.296
512480.SH,20260302,1.685,1.65,1.683,1.648,1.655,-0.03,-1.7804,7357657.72,1223053.805
512480.SH,20260227,1.699,1.673,1.691,1.657,1.685,-0.014,-0.824,7130867.8,1192755.419
512480.SH,20260226,1.675,1.675,1.71,1.655,1.699,0.024,1.4328,7972492.03,1341602.777
512480.SH,20260225,1.661,1.664,1.683,1.637,1.675,0.014,0.8429,8759857.81,1456318.426
512480.SH,20260224,1.655,1.677,1.678,1.635,1.661,0.006,0.3625,5788507.33,959109.815
512480.SH,20260213,1.652,1.642,1.676,1.637,1.655,0.003,0.1816,7231725.83,1203366.624
512480.SH,20260212,1.617,1.627,1.654,1.62,1.652,0.035,2.1645,6963868.45,1140537.358
512480.SH,20260211,1.636,1.622,1.631,1.608,1.617,-0.019,-1.1614,5384602.89,871648.106
512480.SH,20260210,1.628,1.632,1.657,1.628,1.636,0.008,0.4914,6386633.32,1047112.106
512480.SH,20260209,1.577,1.609,1.629,1.596,1.628,0.051,3.234,9454882.06,1526810.93
512480.SH,20260206,1.591,1.568,1.597,1.56,1.577,-0.014,-0.8799,8384436.31,1324268.548
512480.SH,20260205,1.608,1.58,1.598,1.559,1.591,-0.017,-1.0572,10236926.1,1613709.734
512480.SH,20260204,1.642,1.616,1.619,1.585,1.608,-0.034,-2.0706,9993004.3,1600383.718
512480.SH,20260203,1.618,1.649,1.653,1.601,1.642,0.024,1.4833,9294591.65,1517015.213
512480.SH,20260202,1.711,1.682,1.695,1.613,1.618,-0.093,-5.4354,14744126.23,2426779.641
512480.SH,20260130,1.694,1.686,1.728,1.653,1.711,0.017,1.0035,10597615.76,1796289.39
512480.SH,20260129,1.764,1.763,1.766,1.69,1.694,-0.07,-3.9683,12761855.78,2196828.82
512480.SH,20260128,1.744,1.754,1.785,1.74,1.764,0.02,1.1468,10506696.08,1852506.849
512480.SH,20260127,1.698,1.69,1.75,1.672,1.744,0.046,2.7091,9918714.39,1703749.554
512480.SH,20260126,1.738,1.735,1.75,1.69,1.698,-0.04,-2.3015,9961460.63,1699627.414
512480.SH,20260123,1.735,1.721,1.74,1.704,1.738,0.003,0.1729,8719854.6,1500380.606
512480.SH,20260122,1.746,1.781,1.787,1.72,1.735,-0.011,-0.63,9646671.64,1678336.997
512480.SH,20260121,1.682,1.671,1.754,1.67,1.746,0.064,3.805,12527428.81,2172315.608
512480.SH,20260120,1.694,1.685,1.717,1.668,1.682,-0.012,-0.7084,8677224.48,1464412.756
512480.SH,20260119,1.702,1.706,1.71,1.685,1.694,-0.008,-0.47,9361344.02,1588881.518
512480.SH,20260116,1.649,1.672,1.717,1.66,1.702,0.053,3.2141,13113620.65,2211529.787
512480.SH,20260115,1.617,1.602,1.65,1.594,1.649,0.032,1.979,10045465.02,1628546.42
512480.SH,20260114,1.593,1.593,1.645,1.593,1.617,0.024,1.5066,10945757.28,1773071.809
512480.SH,20260113,1.646,1.64,1.65,1.58,1.593,-0.053,-3.2199,10424241.02,1678452.773
512480.SH,20260112,1.618,1.624,1.648,1.612,1.646,0.028,1.7305,8059671.2,1318019.466
512480.SH,20260109,1.607,1.592,1.619,1.578,1.618,0.011,0.6845,9438237.91,1512390.761
512480.SH,20260108,1.603,1.592,1.638,1.592,1.607,0.004,0.2495,10422723.69,1684123.691
