ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
515790.SH,20260508,1.101,1.092,1.103,1.083,1.096,-0.005,-0.4541,3022384.86,330524.538
515790.SH,20260507,1.086,1.094,1.106,1.091,1.101,0.015,1.3812,3883637.65,427113.138
515790.SH,20260506,1.063,1.068,1.089,1.061,1.086,0.023,2.1637,5659183.06,610909.467
515790.SH,20260430,1.059,1.056,1.067,1.052,1.063,0.004,0.3777,4244137.94,449930.363
515790.SH,20260429,1.04,1.028,1.064,1.022,1.059,0.019,1.8269,3472168.13,363916.865
515790.SH,20260428,1.053,1.045,1.057,1.035,1.04,-0.013,-1.2346,2522824.0,263462.633
515790.SH,20260427,1.062,1.053,1.062,1.044,1.053,-0.009,-0.8475,2766489.41,291786.256
515790.SH,20260424,1.078,1.073,1.076,1.057,1.062,-0.016,-1.4842,3031379.39,322813.019
515790.SH,20260423,1.085,1.089,1.095,1.065,1.078,-0.007,-0.6452,4279971.82,461396.534
515790.SH,20260422,1.082,1.075,1.087,1.072,1.085,0.003,0.2773,3068555.0,331588.22
515790.SH,20260421,1.086,1.086,1.09,1.073,1.082,-0.004,-0.3683,2823603.73,305297.575
515790.SH,20260420,1.071,1.071,1.088,1.066,1.086,0.015,1.4006,2924613.0,315754.84
515790.SH,20260417,1.07,1.064,1.075,1.061,1.071,0.001,0.0935,2878009.97,307567.476
515790.SH,20260416,1.058,1.055,1.072,1.047,1.07,0.012,1.1342,3649955.0,387920.297
515790.SH,20260415,1.064,1.066,1.072,1.053,1.058,-0.006,-0.5639,3438285.03,365255.542
515790.SH,20260414,1.056,1.06,1.066,1.048,1.064,0.008,0.7576,3533696.0,373417.871
515790.SH,20260413,1.037,1.028,1.065,1.025,1.056,0.019,1.8322,6324172.0,663460.211
515790.SH,20260410,1.017,1.024,1.048,1.024,1.037,0.02,1.9666,4161108.0,431954.861
515790.SH,20260409,1.031,1.019,1.02,1.002,1.017,-0.014,-1.3579,3785122.5,383342.351
515790.SH,20260408,0.984,1.003,1.031,1.002,1.031,0.047,4.7764,4347700.6,442238.908
515790.SH,20260407,0.982,0.98,0.995,0.977,0.984,0.002,0.2037,2833263.0,279132.414
515790.SH,20260403,1.007,1.007,1.011,0.981,0.982,-0.025,-2.4826,4803573.71,475965.8
515790.SH,20260402,1.041,1.031,1.038,1.001,1.007,-0.034,-3.2661,4511520.18,458018.539
515790.SH,20260401,1.034,1.042,1.055,1.025,1.041,0.007,0.677,4999900.1,519034.192
515790.SH,20260331,1.067,1.06,1.073,1.033,1.034,-0.033,-3.0928,5097603.74,535312.033
515790.SH,20260330,1.107,1.092,1.098,1.05,1.067,-0.04,-3.6134,7014744.61,748356.169
515790.SH,20260327,1.108,1.092,1.117,1.088,1.107,-0.001,-0.0903,3875849.8,426894.214
515790.SH,20260326,1.136,1.137,1.137,1.102,1.108,-0.028,-2.4648,5200085.51,580126.479
515790.SH,20260325,1.124,1.122,1.147,1.119,1.136,0.012,1.0676,6194425.84,702393.869
515790.SH,20260324,1.122,1.131,1.133,1.069,1.124,0.002,0.1783,8788063.26,970104.496
515790.SH,20260323,1.138,1.13,1.155,1.108,1.122,-0.016,-1.406,10222475.75,1157803.319
515790.SH,20260320,1.105,1.105,1.18,1.105,1.138,0.033,2.9864,11887018.39,1356984.92
515790.SH,20260319,1.12,1.104,1.127,1.099,1.105,-0.015,-1.3393,5179114.57,576042.599
515790.SH,20260318,1.115,1.115,1.128,1.099,1.12,0.005,0.4484,5499272.71,613155.747
515790.SH,20260317,1.135,1.135,1.156,1.113,1.115,-0.02,-1.7621,7589368.93,861518.584
515790.SH,20260316,1.164,1.163,1.173,1.13,1.135,-0.029,-2.4914,7948708.1,904319.467
515790.SH,20260313,1.183,1.176,1.192,1.16,1.164,-0.019,-1.6061,6884147.74,809319.541
515790.SH,20260312,1.18,1.18,1.188,1.156,1.183,0.003,0.2542,8702544.7,1021221.976
515790.SH,20260311,1.162,1.157,1.198,1.153,1.18,0.018,1.5491,8173459.2,964694.528
515790.SH,20260310,1.149,1.146,1.163,1.134,1.162,0.013,1.1314,6784000.66,781990.455
515790.SH,20260309,1.127,1.11,1.152,1.109,1.149,0.022,1.9521,9602689.69,1092169.393
515790.SH,20260306,1.125,1.121,1.139,1.108,1.127,0.002,0.1778,4377898.14,492896.694
515790.SH,20260305,1.11,1.124,1.132,1.116,1.125,0.015,1.3514,3919783.14,440879.213
515790.SH,20260304,1.11,1.09,1.129,1.079,1.11,0.0,0.0,5763519.6,640385.483
515790.SH,20260303,1.136,1.142,1.163,1.107,1.11,-0.026,-2.2887,8689601.34,986382.221
515790.SH,20260302,1.136,1.119,1.157,1.112,1.136,0.0,0.0,5603688.03,638102.492
515790.SH,20260227,1.118,1.109,1.137,1.108,1.136,0.018,1.61,5253737.21,593079.013
515790.SH,20260226,1.123,1.121,1.121,1.101,1.118,-0.005,-0.4452,5024419.35,559125.237
515790.SH,20260225,1.11,1.105,1.129,1.104,1.123,0.013,1.1712,4923521.16,549597.58
515790.SH,20260224,1.094,1.105,1.121,1.101,1.11,0.016,1.4625,4278896.0,475498.117
515790.SH,20260213,1.128,1.116,1.119,1.092,1.094,-0.034,-3.0142,5889708.0,649959.84
515790.SH,20260212,1.114,1.113,1.132,1.111,1.128,0.014,1.2567,4345035.23,487735.397
515790.SH,20260211,1.125,1.121,1.136,1.113,1.114,-0.011,-0.9778,4912772.68,550634.453
515790.SH,20260210,1.144,1.134,1.144,1.121,1.125,-0.019,-1.6608,7136474.52,805523.397
515790.SH,20260209,1.102,1.131,1.159,1.12,1.144,0.042,3.8113,10449849.35,1195632.373
515790.SH,20260206,1.094,1.075,1.119,1.068,1.102,0.008,0.7313,7016671.92,769239.566
515790.SH,20260205,1.157,1.143,1.143,1.088,1.094,-0.063,-5.4451,10098367.06,1115322.6
515790.SH,20260204,1.122,1.116,1.16,1.112,1.157,0.035,3.1194,13021886.4,1479349.035
515790.SH,20260203,1.058,1.074,1.125,1.074,1.122,0.064,6.0491,9668501.53,1068421.808
515790.SH,20260202,1.068,1.077,1.092,1.057,1.058,-0.01,-0.9363,6121304.46,659041.544
515790.SH,20260130,1.094,1.081,1.092,1.035,1.068,-0.026,-2.3766,6997277.22,743588.82
515790.SH,20260129,1.104,1.1,1.124,1.088,1.094,-0.01,-0.9058,6526177.17,720388.888
515790.SH,20260128,1.13,1.12,1.125,1.096,1.104,-0.026,-2.3009,6661844.97,737697.716
515790.SH,20260127,1.122,1.102,1.138,1.082,1.13,0.008,0.713,9588568.73,1061962.101
515790.SH,20260126,1.155,1.156,1.159,1.114,1.122,-0.033,-2.8571,16201089.71,1843626.462
515790.SH,20260123,1.058,1.067,1.16,1.067,1.155,0.097,9.1682,17799551.92,2013211.824
515790.SH,20260122,1.045,1.044,1.064,1.041,1.058,0.013,1.244,4617322.72,485930.617
515790.SH,20260121,1.05,1.04,1.057,1.035,1.045,-0.005,-0.4762,5188134.38,543383.197
515790.SH,20260120,1.079,1.075,1.08,1.043,1.05,-0.029,-2.6877,6116374.36,646219.376
