ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
159928.SZ,20260508,0.739,0.738,0.741,0.732,0.734,-0.005,-0.6766,4686874.37,344373.082
159928.SZ,20260507,0.742,0.741,0.746,0.737,0.739,-0.003,-0.4043,3648240.35,270118.519
159928.SZ,20260506,0.747,0.74,0.742,0.735,0.742,-0.005,-0.6693,4829361.67,356655.966
159928.SZ,20260430,0.745,0.745,0.753,0.743,0.747,0.002,0.2685,4895282.26,365906.977
159928.SZ,20260429,0.732,0.732,0.748,0.731,0.745,0.013,1.776,5452947.0,404965.954
159928.SZ,20260428,0.731,0.73,0.733,0.728,0.732,0.001,0.1368,3594153.0,262511.945
159928.SZ,20260427,0.737,0.734,0.735,0.729,0.731,-0.006,-0.8141,3123984.9,228331.975
159928.SZ,20260424,0.737,0.736,0.74,0.732,0.737,0.0,0.0,3373514.0,248619.574
159928.SZ,20260423,0.737,0.737,0.742,0.733,0.737,0.0,0.0,5154696.92,380575.146
159928.SZ,20260422,0.742,0.74,0.744,0.735,0.737,-0.005,-0.6739,3439869.38,254016.817
159928.SZ,20260421,0.742,0.742,0.747,0.74,0.742,0.0,0.0,4846740.0,359912.923
159928.SZ,20260420,0.742,0.742,0.744,0.739,0.742,0.0,0.0,5230535.81,387664.305
159928.SZ,20260417,0.753,0.747,0.747,0.74,0.742,-0.011,-1.4608,7058045.68,523305.59
159928.SZ,20260416,0.752,0.752,0.753,0.749,0.753,0.001,0.133,3394576.0,255125.478
159928.SZ,20260415,0.751,0.75,0.754,0.747,0.752,0.001,0.1332,6431324.6,482688.445
159928.SZ,20260414,0.744,0.745,0.751,0.742,0.751,0.007,0.9409,5314141.92,396456.558
159928.SZ,20260413,0.743,0.741,0.745,0.738,0.744,0.001,0.1346,6382730.0,474080.054
159928.SZ,20260410,0.747,0.747,0.749,0.741,0.743,-0.004,-0.5355,12417288.07,923592.795
159928.SZ,20260409,0.757,0.753,0.754,0.744,0.747,-0.01,-1.321,3609129.78,269798.444
159928.SZ,20260408,0.745,0.753,0.757,0.748,0.757,0.012,1.6107,5803719.0,437032.815
159928.SZ,20260407,0.747,0.747,0.752,0.743,0.745,-0.002,-0.2677,3113428.3,232285.988
159928.SZ,20260403,0.756,0.756,0.757,0.745,0.747,-0.009,-1.1905,2972841.0,222421.047
159928.SZ,20260402,0.751,0.75,0.761,0.748,0.756,0.005,0.6658,4044343.0,305772.809
