trade_date,etf_code,theme,style,dividend_yield_abs,weighted_pb,weighted_pe_ttm,constituent_count,source
2021-01-22,512000.SH,证券,cyclical_value,0.010458062190525802,2.92218551872091,24.822264089859388,47,constituent_weighted
2021-01-22,512800.SH,银行,stable_value,0.04433476410142521,0.9369675743942212,6.841308502621409,37,constituent_weighted
2021-01-22,512200.SH,地产,cyclical_value,0.03852221086286442,1.4190031068823399,8.082011627366834,128,constituent_weighted
2021-01-22,159928.SZ,消费,stable_value,0.00823369273311342,17.540976331399865,58.52489848369347,110,constituent_weighted
2021-01-22,512010.SH,医药,growth,0.005771211885442588,13.987036098183282,48.545830773953206,317,constituent_weighted
2021-01-22,512480.SH,半导体,growth,0.0014449007311325473,17.52273396161934,102.36125770295548,46,constituent_weighted
2021-01-22,159995.SZ,芯片,growth,0.0011281405284909907,15.894796546111547,103.9476767090911,68,constituent_weighted
2021-01-22,159819.SZ,人工智能,growth,0.0037758264030193474,9.455228759217725,70.40037531896161,224,constituent_weighted
2021-01-22,512660.SH,军工,growth,0.0024014450537684588,6.156714672279779,75.61038542152804,73,constituent_weighted
2021-01-22,515030.SH,新能源车,growth,0.041485243380837845,1.2567096032777754,11.04383000647527,38,constituent_weighted
2021-01-22,515790.SH,光伏,growth,0.00425687239507282,9.336307484329874,50.80098413314465,208,constituent_weighted
2021-01-22,512400.SH,有色,cyclical_value,0.005076939776664874,5.656089389527386,54.721015509436825,121,constituent_weighted
2021-01-22,515220.SH,煤炭,cyclical_value,0.04288333205836265,1.216680014718748,10.821294272231857,35,constituent_weighted
2021-01-22,515210.SH,钢铁,cyclical_value,0.024819512978640143,1.7356523034231979,14.103839610633814,35,constituent_weighted
2021-01-22,561560.SH,电力,stable_value,0.024575530702956642,1.9119737944019457,16.36414122316815,171,constituent_weighted
2021-02-19,512000.SH,证券,cyclical_value,0.011027578464725312,2.706082550587463,23.492164453125433,47,constituent_weighted
2021-02-19,512800.SH,银行,stable_value,0.04172341260870348,1.0150569373524243,7.204161930297102,38,constituent_weighted
2021-02-19,512200.SH,地产,cyclical_value,0.03833242096651748,1.4668662917641218,8.092944033794506,128,constituent_weighted
2021-02-19,159928.SZ,消费,stable_value,0.007496562277063567,20.133371636781362,64.45236832502071,110,constituent_weighted
2021-02-19,512010.SH,医药,growth,0.005791828558521379,14.821587555473643,48.291926117141166,318,constituent_weighted
2021-02-19,512480.SH,半导体,growth,0.0015750769066786964,14.632047118081214,95.01487378970722,46,constituent_weighted
2021-02-19,159995.SZ,芯片,growth,0.0012264438715772843,13.490960470062053,97.13029688340546,69,constituent_weighted
2021-02-19,159819.SZ,人工智能,growth,0.003931821170841044,8.634579894033088,66.91441894200692,227,constituent_weighted
2021-02-19,512660.SH,军工,growth,0.002672952871482613,5.519541981475826,66.50766347681252,75,constituent_weighted
2021-02-19,515030.SH,新能源车,growth,0.04054646104797392,1.3692737665127719,11.303129977937058,38,constituent_weighted
2021-02-19,515790.SH,光伏,growth,0.00430547841173311,9.165551590710935,49.75722707451374,211,constituent_weighted
2021-02-19,512400.SH,有色,cyclical_value,0.004711255679486482,5.352090520411623,59.12778955672128,121,constituent_weighted
2021-02-19,515220.SH,煤炭,cyclical_value,0.04209772985313675,1.311689169574332,11.026776951852893,35,constituent_weighted
2021-02-19,515210.SH,钢铁,cyclical_value,0.023998062051493383,1.7220477095543456,14.65010504345909,35,constituent_weighted
2021-02-19,561560.SH,电力,stable_value,0.024133619862225623,1.9198061718494264,16.27656236393336,176,constituent_weighted
2021-03-19,512000.SH,证券,cyclical_value,0.012181883528498572,2.114855415581809,21.007142262644052,47,constituent_weighted
2021-03-19,512800.SH,银行,stable_value,0.04272468147333887,0.9441867801590041,7.023812393481407,38,constituent_weighted
2021-03-19,512200.SH,地产,cyclical_value,0.0377752481233179,1.4655220349583924,8.18704066193434,128,constituent_weighted
2021-03-19,159928.SZ,消费,stable_value,0.00940979680627243,15.392652557450011,50.64426522177972,111,constituent_weighted
2021-03-19,512010.SH,医药,growth,0.006632450826535815,10.372262738789846,40.49472365454258,318,constituent_weighted
2021-03-19,512480.SH,半导体,growth,0.0018540929817241892,11.817847370412752,74.75868438373803,46,constituent_weighted
2021-03-19,159995.SZ,芯片,growth,0.0014483924623568663,10.854505872818937,76.36294553075017,69,constituent_weighted
2021-03-19,159819.SZ,人工智能,growth,0.004346473612615453,6.785675488471078,56.81082633954864,226,constituent_weighted
2021-03-19,512660.SH,军工,growth,0.0030153800845990797,4.694720276063153,58.08147278834974,75,constituent_weighted
2021-03-19,515030.SH,新能源车,growth,0.03988979477237805,1.3084463949323897,11.487038234629267,38,constituent_weighted
2021-03-19,515790.SH,光伏,growth,0.005080089960316594,6.766714466634217,41.98012623527664,211,constituent_weighted
2021-03-19,512400.SH,有色,cyclical_value,0.00541193164083746,4.330054242311228,52.34456476016264,124,constituent_weighted
2021-03-19,515220.SH,煤炭,cyclical_value,0.041267239360048516,1.2608362611991535,11.246566780183676,35,constituent_weighted
2021-03-19,515210.SH,钢铁,cyclical_value,0.020865015982286825,1.5712797820690942,16.596196081504754,35,constituent_weighted
2021-03-19,561560.SH,电力,stable_value,0.02220512422225611,2.074649791029514,17.897942732656983,177,constituent_weighted
2021-04-30,512000.SH,证券,cyclical_value,0.011638382633633731,2.2438841286939475,19.134880189330183,47,constituent_weighted
2021-04-30,512800.SH,银行,stable_value,0.04335046943517037,0.95506896867308,6.508829267971973,38,constituent_weighted
2021-04-30,512200.SH,地产,cyclical_value,0.03912235776633093,1.4712914812752993,8.066606113360482,125,constituent_weighted
2021-04-30,159928.SZ,消费,stable_value,0.008737758755692045,14.691441862359202,49.73458859646276,112,constituent_weighted
2021-04-30,512010.SH,医药,growth,0.00580543697284076,12.338746751369538,39.56003877277633,315,constituent_weighted
2021-04-30,512480.SH,半导体,growth,0.0017918598103909868,13.06111824392958,67.81859079278496,45,constituent_weighted
