ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000300.SH,20260508,4871.9122,4871.1185,4887.2129,4849.9871,4900.5098,-28.5976,-0.5836,251720996.0,716546104.146
000300.SH,20260507,4900.5098,4895.8001,4901.8575,4866.8749,4877.0932,23.4166,0.4801,257833972.0,787236200.023
000300.SH,20260506,4877.0932,4857.6537,4892.7957,4834.2807,4807.3069,69.7863,1.4517,274443880.0,881744311.635
000300.SH,20260430,4807.3069,4820.9716,4829.2715,4797.5445,4810.3468,-3.0399,-0.0632,250633370.0,726665374.516
000300.SH,20260429,4810.3468,4737.5755,4813.6104,4737.1139,4758.2083,52.1385,1.0958,233298110.0,681020507.301
000300.SH,20260428,4758.2083,4757.0766,4778.1891,4743.4355,4770.9469,-12.7386,-0.267,216724233.0,631521664.931
000300.SH,20260427,4770.9469,4776.3351,4795.1682,4762.6441,4769.3688,1.5781,0.0331,192796550.0,648904814.981
000300.SH,20260424,4769.3688,4771.7348,4786.444,4735.606,4786.3273,-16.9585,-0.3543,193798314.0,680097832.547
000300.SH,20260423,4786.3273,4816.0267,4823.4704,4759.86,4799.627,-13.2997,-0.2771,232865736.0,693853775.976
000300.SH,20260422,4799.627,4751.2794,4801.4465,4750.3502,4767.997,31.63,0.6634,204481830.0,619505670.177
000300.SH,20260421,4767.997,4750.5149,4776.8258,4722.0074,4757.4419,10.5551,0.2219,205614058.0,580407995.62
000300.SH,20260420,4757.4419,4727.1661,4763.0427,4720.6853,4728.6716,28.7703,0.6084,221633494.0,626568410.331
000300.SH,20260417,4728.6716,4728.9951,4738.3236,4714.4669,4736.6077,-7.9361,-0.1675,182915336.0,587622682.308
000300.SH,20260416,4736.6077,4694.4309,4739.2208,4689.414,4685.2464,51.3613,1.0962,192057600.0,567611323.592
000300.SH,20260415,4685.2464,4726.6381,4731.2729,4672.556,4701.2837,-16.0373,-0.3411,201688500.0,604550556.798
000300.SH,20260414,4701.2837,4676.1235,4701.2837,4654.8526,4646.1546,55.1291,1.1866,204700332.0,605717793.585
000300.SH,20260413,4646.1546,4615.133,4653.3983,4615.133,4636.5655,9.5891,0.2068,196712277.0,556620945.24
000300.SH,20260410,4636.5655,4594.9467,4655.0988,4590.1089,4566.2237,70.3418,1.5405,208678605.0,625717995.648
000300.SH,20260409,4566.2237,4562.6696,4579.197,4552.4244,4595.556,-29.3323,-0.6383,184939783.0,500445676.661
000300.SH,20260408,4595.556,4517.3403,4595.556,4513.7705,4440.6162,154.9398,3.4892,253339213.0,641779180.97
000300.SH,20260407,4440.6162,4445.8613,4458.9264,4420.6939,4440.7889,-0.1727,-0.0039,162638787.0,378261695.015
000300.SH,20260403,4440.7889,4492.8461,4494.4571,4437.5952,4478.9141,-38.1252,-0.8512,168321705.0,373234910.158
000300.SH,20260402,4478.9141,4514.4416,4519.6931,4459.6095,4526.0668,-47.1527,-1.0418,190992161.0,429949131.7
000300.SH,20260401,4526.0668,4517.2717,4532.1093,4492.0544,4450.0493,76.0175,1.7082,216483196.0,503744056.996
000300.SH,20260331,4450.0493,4491.9209,4523.1745,4450.0493,4491.95,-41.9007,-0.9328,224541585.0,484558113.011
000300.SH,20260330,4491.95,4461.7367,4496.4109,4447.1373,4502.5698,-10.6198,-0.2359,209293092.0,444629519.711
000300.SH,20260327,4502.5698,4431.5034,4519.8903,4431.4205,4477.5343,25.0355,0.5591,192400388.0,440517561.617
000300.SH,20260326,4477.5343,4525.3291,4541.0502,4468.9571,4537.4656,-59.9313,-1.3208,213736788.0,471127498.414
000300.SH,20260325,4537.4656,4506.6247,4542.1806,4502.0265,4474.7224,62.7432,1.4022,262639279.0,550428161.188
000300.SH,20260324,4474.7224,4458.9074,4474.825,4394.2943,4417.9971,56.7253,1.284,255532517.0,530149390.314
000300.SH,20260323,4417.9971,4499.1004,4514.7182,4397.5661,4567.0179,-149.0208,-3.263,328081945.0,671719761.061
000300.SH,20260320,4567.0179,4602.8205,4628.7118,4563.0687,4583.2511,-16.2332,-0.3542,257873703.0,615463088.558
000300.SH,20260319,4583.2511,4611.4399,4634.5468,4570.392,4658.3324,-75.0813,-1.6118,254130449.0,547850295.789
000300.SH,20260318,4658.3324,4648.7517,4662.2936,4604.5163,4637.4392,20.8932,0.4505,234690705.0,524173911.454
000300.SH,20260317,4637.4392,4685.5697,4720.8608,4637.368,4671.5591,-34.1199,-0.7304,263021913.0,578501505.808
000300.SH,20260316,4671.5591,4669.2241,4673.6929,4621.8118,4669.14,2.4191,0.0518,296215070.0,598799098.356
000300.SH,20260313,4669.14,4669.0619,4707.4194,4659.4979,4687.5601,-18.4201,-0.393,310772009.0,580305608.198
000300.SH,20260312,4687.5601,4700.7205,4704.3791,4654.3147,4704.4959,-16.9358,-0.36,302986816.0,572105482.464
