index_code,con_code,in_date,out_date,is_new
801740.SI,000519.SZ,20170703,,Y
801740.SI,000547.SZ,20170703,,Y
801740.SI,000561.SZ,20190708,,Y
801740.SI,000576.SZ,20200623,,Y
801740.SI,000638.SZ,20240109,,Y
801740.SI,000687.SZ,20190708,20220525,N
801740.SI,000697.SZ,20190708,20251127,N
801740.SI,000697.SZ,20251201,,Y
801740.SI,000733.SZ,20211213,,Y
801740.SI,000738.SZ,20140221,,Y
801740.SI,000768.SZ,20140221,,Y
801740.SI,000801.SZ,20150316,20150317,N
801740.SI,000801.SZ,20150401,20160218,N
801740.SI,000901.SZ,20211213,20220729,N
801740.SI,001270.SZ,20220613,,Y
801740.SI,002013.SZ,20140221,20230316,N
801740.SI,002023.SZ,20140221,,Y
801740.SI,002025.SZ,20190708,,Y
801740.SI,002111.SZ,20230706,,Y
801740.SI,002151.SZ,20140221,,Y
801740.SI,002179.SZ,20190708,,Y
801740.SI,002189.SZ,20211213,,Y
801740.SI,002190.SZ,20140702,20220729,N
801740.SI,002214.SZ,20211213,,Y
801740.SI,002231.SZ,20210430,20260326,N
801740.SI,002297.SZ,20140221,,Y
801740.SI,002338.SZ,20211213,,Y
801740.SI,002383.SZ,20211213,,Y
801740.SI,002389.SZ,20190708,,Y
801740.SI,002413.SZ,20170703,,Y
801740.SI,002414.SZ,20211213,,Y
801740.SI,002446.SZ,20211213,,Y
801740.SI,002465.SZ,20190708,,Y
801740.SI,002519.SZ,20230824,,Y
801740.SI,002608.SZ,20140221,20180713,N
801740.SI,002625.SZ,20211213,,Y
801740.SI,002651.SZ,20220801,,Y
801740.SI,002664.SZ,20190708,20211210,N
801740.SI,002829.SZ,20161220,,Y
801740.SI,002933.SZ,20180904,,Y
801740.SI,002935.SZ,20180906,20180906,N
801740.SI,002935.SZ,20180910,,Y
801740.SI,002977.SZ,20200324,,Y
801740.SI,002985.SZ,20200511,,Y
801740.SI,003009.SZ,20201012,,Y
801740.SI,300008.SZ,20140221,20201222,N
801740.SI,300008.SZ,20201224,,Y
801740.SI,300034.SZ,20170703,,Y
801740.SI,300045.SZ,20211213,,Y
801740.SI,300065.SZ,20190708,,Y
801740.SI,300101.SZ,20140221,,Y
801740.SI,300114.SZ,20211213,,Y
801740.SI,300123.SZ,20140221,,Y
801740.SI,300159.SZ,20170703,20220729,N
801740.SI,300177.SZ,20211213,,Y
801740.SI,300252.SZ,20211213,,Y
801740.SI,300395.SZ,20211213,,Y
801740.SI,300397.SZ,20170703,,Y
801740.SI,300424.SZ,20150429,,Y
801740.SI,300447.SZ,20211213,,Y
801740.SI,300456.SZ,20150521,20200731,N
801740.SI,300474.SZ,20160413,,Y
801740.SI,300527.SZ,20160812,,Y
801740.SI,300581.SZ,20161227,,Y
801740.SI,300589.SZ,20170120,,Y
801740.SI,300600.SZ,20171121,,Y
801740.SI,300629.SZ,20220801,,Y
801740.SI,300696.SZ,20170829,,Y
801740.SI,300699.SZ,20211213,,Y
801740.SI,300719.SZ,20171116,,Y
801740.SI,300722.SZ,20171117,,Y
801740.SI,300726.SZ,20211213,,Y
801740.SI,300762.SZ,20190321,,Y
801740.SI,300775.SZ,20190528,,Y
801740.SI,300777.SZ,20211213,,Y
801740.SI,300810.SZ,20191213,,Y
801740.SI,300875.SZ,20200831,,Y
801740.SI,300900.SZ,20201105,,Y
801740.SI,300922.SZ,20210104,,Y
