index_code,con_code,in_date,out_date,is_new
801950.SI,000552.SZ,19991230,,Y
801950.SI,000571.SZ,19991230,,Y
801950.SI,000611.SZ,19991230,20220606,N
801950.SI,000723.SZ,19991230,,Y
801950.SI,000780.SZ,19991230,20220121,N
801950.SI,000937.SZ,19991230,,Y
801950.SI,000983.SZ,20000802,,Y
801950.SI,001286.SZ,20230417,20230505,N
801950.SI,002128.SZ,20070425,,Y
801950.SI,600121.SH,19991230,,Y
801950.SI,600123.SH,19991230,,Y
801950.SI,600157.SH,19991230,,Y
801950.SI,600188.SH,19991230,,Y
801950.SI,600348.SH,20030828,,Y
801950.SI,600395.SH,20010607,,Y
801950.SI,600397.SH,20020709,,Y
801950.SI,600403.SH,20031016,,Y
801950.SI,600408.SH,20030219,,Y
801950.SI,600508.SH,20010905,,Y
801950.SI,600532.SH,20021107,20230529,N
801950.SI,600546.SH,20030807,,Y
801950.SI,600575.SH,20220801,,Y
801950.SI,600725.SH,19991230,,Y
801950.SI,600740.SH,19991230,,Y
801950.SI,600758.SH,19991230,,Y
801950.SI,600792.SH,19991230,,Y
801950.SI,600925.SH,20230406,,Y
801950.SI,600971.SH,20040824,,Y
801950.SI,600985.SH,20040512,,Y
801950.SI,600997.SH,20040609,,Y
801950.SI,601001.SH,20060630,,Y
801950.SI,601011.SH,20110316,,Y
801950.SI,601015.SH,20141112,,Y
801950.SI,601088.SH,20071016,,Y
801950.SI,601101.SH,20100408,,Y
801950.SI,601225.SH,20140211,,Y
801950.SI,601666.SH,20061130,,Y
801950.SI,601699.SH,20060929,,Y
801950.SI,601898.SH,20080215,,Y
801950.SI,601918.SH,20071226,,Y
801950.SI,603071.SH,20220801,,Y
801950.SI,603113.SH,20170518,20240521,N
