index_code,con_code,in_date,out_date,is_new
801780.SI,000001.SZ,20140221,,Y
801780.SI,001227.SZ,20220124,,Y
801780.SI,002142.SZ,20140221,,Y
801780.SI,002807.SZ,20160909,,Y
801780.SI,002839.SZ,20170207,,Y
801780.SI,002936.SZ,20180927,,Y
801780.SI,002948.SZ,20190123,,Y
801780.SI,002958.SZ,20190402,,Y
801780.SI,002966.SZ,20190809,,Y
801780.SI,600000.SH,20140221,,Y
801780.SI,600015.SH,20140221,,Y
801780.SI,600016.SH,20140221,,Y
801780.SI,600036.SH,20140221,,Y
801780.SI,600908.SH,20160930,,Y
801780.SI,600919.SH,20160809,,Y
801780.SI,600926.SH,20161103,,Y
801780.SI,600928.SH,20190308,,Y
801780.SI,601009.SH,20140221,,Y
801780.SI,601077.SH,20191105,,Y
801780.SI,601128.SH,20161014,,Y
801780.SI,601166.SH,20140221,,Y
801780.SI,601169.SH,20140221,,Y
801780.SI,601187.SH,20201103,,Y
801780.SI,601229.SH,20161123,,Y
801780.SI,601288.SH,20140221,,Y
801780.SI,601328.SH,20140221,,Y
801780.SI,601398.SH,20140221,,Y
801780.SI,601528.SH,20210702,,Y
801780.SI,601577.SH,20181010,,Y
801780.SI,601658.SH,20191217,,Y
801780.SI,601665.SH,20210625,,Y
801780.SI,601818.SH,20140221,,Y
801780.SI,601825.SH,20210826,,Y
801780.SI,601838.SH,20180207,,Y
801780.SI,601860.SH,20190110,,Y
801780.SI,601916.SH,20191203,,Y
801780.SI,601939.SH,20140221,,Y
801780.SI,601963.SH,20210219,,Y
801780.SI,601988.SH,20140221,,Y
801780.SI,601997.SH,20160823,,Y
801780.SI,601998.SH,20140221,,Y
801780.SI,603323.SH,20161206,,Y
