index_code,con_code,in_date,out_date,is_new
801150.SI,000004.SZ,20010903,20070702,N
801150.SI,000004.SZ,20090602,20210615,N
801150.SI,000028.SZ,20010903,20060427,N
801150.SI,000028.SZ,20060508,,Y
801150.SI,000078.SZ,19981218,,Y
801150.SI,000150.SZ,20150701,20151102,N
801150.SI,000150.SZ,20160219,20230608,N
801150.SI,000153.SZ,20000920,,Y
801150.SI,000159.SZ,20000926,20070702,N
801150.SI,000403.SZ,19960628,20070521,N
801150.SI,000403.SZ,20130218,,Y
801150.SI,000411.SZ,20020508,20101008,N
801150.SI,000411.SZ,20111010,,Y
801150.SI,000416.SZ,20020508,20101008,N
801150.SI,000423.SZ,19960729,,Y
801150.SI,000503.SZ,20160701,20211210,N
801150.SI,000504.SZ,20190708,,Y
801150.SI,000509.SZ,20190708,20220729,N
801150.SI,000513.SZ,19931028,,Y
801150.SI,000516.SZ,20190516,,Y
801150.SI,000518.SZ,20111010,,Y
801150.SI,000522.SZ,19931108,20130426,N
801150.SI,000534.SZ,20200724,,Y
801150.SI,000538.SZ,19931215,,Y
801150.SI,000545.SZ,19931215,20120504,N
801150.SI,000545.SZ,20130729,20140701,N
801150.SI,000566.SZ,19940525,,Y
801150.SI,000590.SZ,19960119,,Y
801150.SI,000591.SZ,19960208,20160630,N
801150.SI,000597.SZ,19960523,,Y
801150.SI,000603.SZ,19960823,20120629,N
801150.SI,000605.SZ,20010903,20150630,N
801150.SI,000606.SZ,20111010,20170630,N
801150.SI,000607.SZ,20070703,20110930,N
801150.SI,000623.SZ,19961028,20070702,N
801150.SI,000623.SZ,20140702,,Y
801150.SI,000627.SZ,19961112,20110930,N
801150.SI,000650.SZ,20070711,,Y
801150.SI,000661.SZ,19961218,,Y
801150.SI,000668.SZ,20220801,20240730,N
801150.SI,000669.SZ,20070703,20120629,N
801150.SI,000705.SZ,19970410,,Y
801150.SI,000710.SZ,20180716,,Y
801150.SI,000739.SZ,20020902,20140925,N
801150.SI,000739.SZ,20140929,,Y
801150.SI,000750.SZ,19970709,20070702,N
801150.SI,000756.SZ,19970806,,Y
801150.SI,000766.SZ,19970430,,Y
801150.SI,000788.SZ,19970616,,Y
801150.SI,000790.SZ,19980327,,Y
801150.SI,000809.SZ,20050701,20091009,N
801150.SI,000813.SZ,20180905,,Y
801150.SI,000908.SZ,20150701,20260310,N
801150.SI,000908.SZ,20260312,,Y
801150.SI,000915.SZ,20111010,,Y
801150.SI,000919.SZ,19991118,,Y
801150.SI,000931.SZ,20190708,,Y
801150.SI,000950.SZ,20190708,,Y
801150.SI,000952.SZ,19991112,,Y
801150.SI,000953.SZ,20220801,,Y
801150.SI,000963.SZ,20000127,,Y
801150.SI,000989.SZ,20000628,,Y
801150.SI,000990.SZ,20070703,20170630,N
801150.SI,000999.SZ,20000309,,Y
801150.SI,001367.SZ,20230417,,Y
801150.SI,002001.SZ,20040625,20240730,N
801150.SI,002004.SZ,20040625,20120629,N
801150.SI,002004.SZ,20211213,,Y
801150.SI,002007.SZ,20040625,,Y
801150.SI,002016.SZ,20040708,20100601,N
801150.SI,002019.SZ,20070703,,Y
801150.SI,002020.SZ,20040715,,Y
801150.SI,002022.SZ,20040721,,Y
801150.SI,002030.SZ,20040809,,Y
801150.SI,002038.SZ,20040909,,Y
801150.SI,002044.SZ,20160701,,Y
801150.SI,002082.SZ,20220801,,Y
801150.SI,002086.SZ,20220801,20231228,N
801150.SI,002086.SZ,20240102,,Y
801150.SI,002099.SZ,20070108,,Y
801150.SI,002100.SZ,20070108,20110930,N
801150.SI,002102.SZ,20171227,,Y
801150.SI,002107.SZ,20070201,,Y
