index_code,con_code,in_date,out_date,is_new
801180.SI,000002.SZ,19910129,,Y
801180.SI,000004.SZ,20070703,20090601,N
801180.SI,000005.SZ,19901210,20170630,N
801180.SI,000006.SZ,19920427,20160930,N
801180.SI,000006.SZ,20170703,,Y
801180.SI,000007.SZ,20061010,20090601,N
801180.SI,000009.SZ,19910625,20130628,N
801180.SI,000011.SZ,19920330,,Y
801180.SI,000014.SZ,20020508,,Y
801180.SI,000018.SZ,20150701,20160630,N
801180.SI,000024.SZ,20020508,20151224,N
801180.SI,000029.SZ,19930915,,Y
801180.SI,000031.SZ,19931008,,Y
801180.SI,000036.SZ,20101011,,Y
801180.SI,000038.SZ,20130218,20160630,N
801180.SI,000040.SZ,20100602,20171225,N
801180.SI,000042.SZ,19940921,,Y
801180.SI,000046.SZ,19940912,20201201,N
801180.SI,000046.SZ,20211213,20240206,N
801180.SI,000048.SZ,20211213,20250812,N
801180.SI,000049.SZ,19950320,20070702,N
801180.SI,000056.SZ,20140702,,Y
801180.SI,000069.SZ,20080603,,Y
801180.SI,000090.SZ,20061010,,Y
801180.SI,000150.SZ,20070703,20150630,N
801180.SI,000150.SZ,20151103,20160218,N
801180.SI,000402.SZ,20000901,,Y
801180.SI,000502.SZ,20030512,20220602,N
801180.SI,000505.SZ,19921221,20180713,N
801180.SI,000506.SZ,20090609,20150630,N
801180.SI,000506.SZ,20160701,20220729,N
801180.SI,000511.SZ,19930518,20140701,N
801180.SI,000514.SZ,19930712,,Y
801180.SI,000517.SZ,20100602,,Y
801180.SI,000526.SZ,20020508,20091009,N
801180.SI,000526.SZ,20120702,20170630,N
801180.SI,000534.SZ,20100602,20200723,N
801180.SI,000537.SZ,20070703,20220826,N
801180.SI,000540.SZ,20020508,20230629,N
801180.SI,000546.SZ,20020508,20140701,N
801180.SI,000558.SZ,19940509,20250307,N
801180.SI,000560.SZ,20190708,,Y
801180.SI,000567.SZ,20061010,20180713,N
801180.SI,000572.SZ,19940808,20050930,N
801180.SI,000573.SZ,19940815,,Y
801180.SI,000592.SZ,19960327,20060615,N
801180.SI,000592.SZ,20080416,20091009,N
801180.SI,000608.SZ,19960919,,Y
801180.SI,000609.SZ,20070703,,Y
801180.SI,000615.SZ,20160701,20211210,N
801180.SI,000616.SZ,20030512,20220729,N
801180.SI,000620.SZ,20121008,20231225,N
801180.SI,000620.SZ,20231227,,Y
801180.SI,000628.SZ,19961118,20130628,N
801180.SI,000631.SZ,20100602,,Y
801180.SI,000632.SZ,19961121,20070702,N
801180.SI,000638.SZ,20090623,20170630,N
801180.SI,000656.SZ,20070703,20250911,N
801180.SI,000656.SZ,20250915,,Y
801180.SI,000667.SZ,20030512,20230713,N
801180.SI,000668.SZ,20070703,20090123,N
801180.SI,000668.SZ,20090203,20090601,N
801180.SI,000668.SZ,20111010,20220729,N
801180.SI,000668.SZ,20240731,,Y
801180.SI,000670.SZ,20130218,20140714,N
801180.SI,000670.SZ,20140716,20150630,N
801180.SI,000671.SZ,20070703,20230815,N
801180.SI,000679.SZ,20150701,20160630,N
801180.SI,000679.SZ,20180824,20211210,N
801180.SI,000691.SZ,20121008,20220729,N
801180.SI,000711.SZ,20070703,20130628,N
801180.SI,000712.SZ,20070703,20090601,N
801180.SI,000718.SZ,20061010,,Y
801180.SI,000720.SZ,20211213,20220729,N
801180.SI,000732.SZ,20111010,20230803,N
801180.SI,000736.SZ,20070703,,Y
801180.SI,000760.SZ,20030512,20091009,N
801180.SI,000797.SZ,20070703,,Y
801180.SI,000802.SZ,20020508,20070702,N
801180.SI,000803.SZ,20061010,20070702,N
801180.SI,000803.SZ,20100602,20190705,N
801180.SI,000809.SZ,20091012,,Y
801180.SI,000836.SZ,20070703,20110930,N
801180.SI,000838.SZ,20090602,,Y
801180.SI,000863.SZ,20120806,20170601,N
801180.SI,000863.SZ,20190708,,Y
801180.SI,000886.SZ,20140702,20160630,N
801180.SI,000886.SZ,20220801,20250812,N
801180.SI,000889.SZ,19971218,20040629,N
801180.SI,000889.SZ,20040701,20070629,N
801180.SI,000897.SZ,19990422,,Y
801180.SI,000909.SZ,20090602,,Y
801180.SI,000918.SZ,20100318,20230727,N
801180.SI,000926.SZ,20100602,,Y
801180.SI,000931.SZ,20070703,20170630,N
801180.SI,000961.SZ,20080603,20240710,N
801180.SI,000965.SZ,20070703,20070927,N
801180.SI,000965.SZ,20071008,,Y
801180.SI,000975.SZ,20070703,20090601,N
801180.SI,000975.SZ,20100602,20110930,N
801180.SI,000979.SZ,20100318,20181108,N
801180.SI,000981.SZ,20111010,20220224,N
801180.SI,000981.SZ,20220228,20220729,N
801180.SI,001914.SZ,20070703,,Y
801180.SI,001979.SZ,20160111,,Y
