index_code,con_code,in_date,out_date,is_new
801750.SI,000004.SZ,20210616,,Y
801750.SI,000021.SZ,20140221,20190705,N
801750.SI,000034.SZ,20170703,,Y
801750.SI,000066.SZ,20140221,,Y
801750.SI,000158.SZ,20170703,,Y
801750.SI,000409.SZ,20220801,,Y
801750.SI,000503.SZ,20211213,,Y
801750.SI,000555.SZ,20140702,,Y
801750.SI,000606.SZ,20170703,20230612,N
801750.SI,000638.SZ,20211213,20240108,N
801750.SI,000662.SZ,20170703,20210225,N
801750.SI,000748.SZ,20140221,20170113,N
801750.SI,000815.SZ,20240731,,Y
801750.SI,000938.SZ,20140221,,Y
801750.SI,000948.SZ,20140221,,Y
801750.SI,000977.SZ,20140221,,Y
801750.SI,000997.SZ,20140221,,Y
801750.SI,001229.SZ,20220815,,Y
801750.SI,001309.SZ,20220708,20240730,N
801750.SI,001339.SZ,20220822,,Y
801750.SI,002027.SZ,20140221,20160630,N
801750.SI,002063.SZ,20140221,,Y
801750.SI,002065.SZ,20140221,,Y
801750.SI,002072.SZ,20170703,20211210,N
801750.SI,002152.SZ,20140221,,Y
801750.SI,002153.SZ,20140221,,Y
801750.SI,002177.SZ,20140221,,Y
801750.SI,002178.SZ,20211213,,Y
801750.SI,002180.SZ,20190708,20211210,N
801750.SI,002180.SZ,20230320,,Y
801750.SI,002195.SZ,20140221,,Y
801750.SI,002197.SZ,20140221,,Y
801750.SI,002212.SZ,20190708,,Y
801750.SI,002230.SZ,20140221,,Y
801750.SI,002232.SZ,20140221,,Y
801750.SI,002236.SZ,20140221,20170630,N
801750.SI,002236.SZ,20211213,,Y
801750.SI,002253.SZ,20140221,,Y
801750.SI,002261.SZ,20220125,,Y
801750.SI,002268.SZ,20140221,,Y
801750.SI,002279.SZ,20140221,,Y
801750.SI,002280.SZ,20140221,20211210,N
801750.SI,002296.SZ,20140221,20211210,N
801750.SI,002298.SZ,20211213,,Y
801750.SI,002308.SZ,20140221,20240926,N
801750.SI,002312.SZ,20140221,20211210,N
801750.SI,002316.SZ,20190708,20211210,N
801750.SI,002322.SZ,20211213,,Y
801750.SI,002331.SZ,20140221,,Y
801750.SI,002362.SZ,20140221,,Y
801750.SI,002368.SZ,20140221,,Y
801750.SI,002373.SZ,20140221,,Y
801750.SI,002376.SZ,20140221,,Y
801750.SI,002380.SZ,20140221,,Y
801750.SI,002383.SZ,20140221,20211210,N
801750.SI,002387.SZ,20180716,20190705,N
801750.SI,002401.SZ,20140221,,Y
