index_code,con_code,in_date,out_date,is_new
801730.SI,000009.SZ,20211213,,Y
801730.SI,000049.SZ,20211213,,Y
801730.SI,000159.SZ,20240731,,Y
801730.SI,000400.SZ,20140221,,Y
801730.SI,000533.SZ,20190708,,Y
801730.SI,000585.SZ,20140221,20220427,N
801730.SI,000591.SZ,20160701,20190705,N
801730.SI,000682.SZ,20140221,,Y
801730.SI,000695.SZ,20240731,,Y
801730.SI,000720.SZ,20220801,,Y
801730.SI,000803.SZ,20190708,20211210,N
801730.SI,000806.SZ,20140221,20230612,N
801730.SI,000821.SZ,20220801,,Y
801730.SI,000862.SZ,20140221,20150630,N
801730.SI,000922.SZ,20140221,,Y
801730.SI,000967.SZ,20140221,20170630,N
801730.SI,000982.SZ,20230706,20240809,N
801730.SI,001208.SZ,20210701,,Y
801730.SI,001269.SZ,20221014,,Y
801730.SI,001283.SZ,20220913,,Y
801730.SI,001301.SZ,20230105,,Y
801730.SI,001382.SZ,20250328,,Y
801730.SI,001388.SZ,20250708,,Y
801730.SI,002006.SZ,20140221,20140701,N
801730.SI,002028.SZ,20140221,,Y
801730.SI,002056.SZ,20230706,,Y
801730.SI,002058.SZ,20140221,20220729,N
801730.SI,002074.SZ,20140221,,Y
801730.SI,002079.SZ,20240731,,Y
801730.SI,002090.SZ,20140221,,Y
801730.SI,002112.SZ,20140221,,Y
801730.SI,002121.SZ,20140221,,Y
801730.SI,002123.SZ,20140221,20170630,N
801730.SI,002125.SZ,20220801,,Y
801730.SI,002129.SZ,20170703,,Y
801730.SI,002168.SZ,20140221,20190705,N
801730.SI,002168.SZ,20230706,,Y
801730.SI,002169.SZ,20140221,,Y
801730.SI,002176.SZ,20140221,20201228,N
801730.SI,002176.SZ,20201230,20220729,N
801730.SI,002176.SZ,20240731,,Y
801730.SI,002180.SZ,20140221,20150630,N
801730.SI,002184.SZ,20140221,20211210,N
801730.SI,002192.SZ,20211213,20220406,N
801730.SI,002196.SZ,20140221,,Y
801730.SI,002202.SZ,20140221,,Y
801730.SI,002212.SZ,20140221,20190705,N
801730.SI,002218.SZ,20140221,20240730,N
801730.SI,002227.SZ,20140221,,Y
801730.SI,002245.SZ,20211213,,Y
801730.SI,002249.SZ,20140221,,Y
801730.SI,002255.SZ,20140221,,Y
801730.SI,002266.SZ,20140221,20200902,N
801730.SI,002270.SZ,20170703,,Y
801730.SI,002272.SZ,20220801,20230705,N
801730.SI,002276.SZ,20140221,,Y
801730.SI,002298.SZ,20140221,20190705,N
801730.SI,002300.SZ,20140221,,Y
801730.SI,002309.SZ,20140221,20241223,N
