index_code,con_code,in_date,out_date,is_new
801193.SI,000166.SZ,20150126,,Y
801193.SI,000562.SZ,19940202,20150123,N
801193.SI,000578.SZ,20000901,20070702,N
801193.SI,000623.SZ,20070703,20140701,N
801193.SI,000686.SZ,20070703,,Y
801193.SI,000712.SZ,20141219,20141222,N
801193.SI,000712.SZ,20151028,,Y
801193.SI,000728.SZ,20070703,20170418,N
801193.SI,000728.SZ,20170420,,Y
801193.SI,000750.SZ,20070703,20110808,N
801193.SI,000750.SZ,20110810,,Y
801193.SI,000776.SZ,20070703,20100212,N
801193.SI,000776.SZ,20100223,,Y
801193.SI,000783.SZ,20070703,,Y
801193.SI,000987.SZ,20170703,20211210,N
801193.SI,002500.SZ,20101123,,Y
801193.SI,002670.SZ,20170703,,Y
801193.SI,002673.SZ,20120510,,Y
801193.SI,002736.SZ,20150107,,Y
801193.SI,002797.SZ,20160518,,Y
801193.SI,002926.SZ,20180212,,Y
801193.SI,002939.SZ,20181102,,Y
801193.SI,002945.SZ,20190124,,Y
801193.SI,300059.SZ,20200724,,Y
801193.SI,600030.SH,20030106,,Y
801193.SI,600061.SH,20160701,20211210,N
801193.SI,600061.SH,20250813,,Y
801193.SI,600095.SH,20200710,,Y
801193.SI,600109.SH,20070703,,Y
801193.SI,600155.SH,20170703,,Y
801193.SI,600369.SH,20070703,,Y
801193.SI,600621.SH,20190708,,Y
801193.SI,600733.SH,20070703,20130628,N
801193.SI,600739.SH,20070703,20140701,N
801193.SI,600837.SH,20070703,20250303,N
801193.SI,600864.SH,20170703,,Y
801193.SI,600906.SH,20210514,,Y
801193.SI,600909.SH,20161213,,Y
801193.SI,600918.SH,20200610,,Y
801193.SI,600958.SH,20150330,,Y
801193.SI,600999.SH,20091124,,Y
801193.SI,601059.SH,20230208,,Y
801193.SI,601066.SH,20180627,,Y
801193.SI,601099.SH,20080109,,Y
801193.SI,601108.SH,20171031,,Y
801193.SI,601136.SH,20221229,,Y
801193.SI,601162.SH,20181026,,Y
801193.SI,601198.SH,20150305,,Y
801193.SI,601211.SH,20150703,20250314,N
801193.SI,601211.SH,20250318,,Y
801193.SI,601236.SH,20190712,,Y
801193.SI,601375.SH,20170110,,Y
801193.SI,601377.SH,20101021,,Y
801193.SI,601456.SH,20200807,,Y
801193.SI,601555.SH,20111219,,Y
801193.SI,601688.SH,20100308,,Y
801193.SI,601696.SH,20200304,,Y
801193.SI,601788.SH,20090826,,Y
801193.SI,601878.SH,20170703,,Y
801193.SI,601881.SH,20170206,,Y
801193.SI,601901.SH,20110817,,Y
801193.SI,601990.SH,20180621,,Y
801193.SI,601995.SH,20201109,,Y
