index_code,con_code,in_date,out_date,is_new
801120.SI,000019.SZ,19921012,20190705,N
801120.SI,000529.SZ,20230518,,Y
801120.SI,000557.SZ,20070703,20180713,N
801120.SI,000567.SZ,20030103,20061009,N
801120.SI,000568.SZ,19940509,,Y
801120.SI,000576.SZ,19940907,20110930,N
801120.SI,000596.SZ,19960927,,Y
801120.SI,000639.SZ,20190708,20211210,N
801120.SI,000639.SZ,20240731,,Y
801120.SI,000716.SZ,20070703,,Y
801120.SI,000729.SZ,19970716,,Y
801120.SI,000752.SZ,19970625,,Y
801120.SI,000796.SZ,20111010,20160630,N
801120.SI,000799.SZ,19970718,,Y
801120.SI,000833.SZ,19981111,20101008,N
801120.SI,000848.SZ,19971113,,Y
801120.SI,000858.SZ,19980427,,Y
801120.SI,000860.SZ,20150701,,Y
801120.SI,000869.SZ,20001026,,Y
801120.SI,000885.SZ,19990319,20070702,N
801120.SI,000895.SZ,19981210,,Y
801120.SI,000911.SZ,19990527,20110930,N
801120.SI,000929.SZ,19990623,,Y
801120.SI,000995.SZ,20000807,20190510,N
801120.SI,000995.SZ,20201218,,Y
801120.SI,001215.SZ,20210913,,Y
801120.SI,001219.SZ,20211028,,Y
801120.SI,001318.SZ,20220527,,Y
801120.SI,002001.SZ,20240731,20240808,N
801120.SI,002216.SZ,20080228,,Y
801120.SI,002220.SZ,20090602,20110930,N
801120.SI,002286.SZ,20090907,20110930,N
801120.SI,002304.SZ,20091116,,Y
801120.SI,002329.SZ,20100114,,Y
801120.SI,002330.SZ,20100114,,Y
801120.SI,002387.SZ,20100421,20180713,N
801120.SI,002461.SZ,20100826,,Y
801120.SI,002481.SZ,20101011,20211210,N
801120.SI,002495.SZ,20101110,,Y
801120.SI,002507.SZ,20101201,,Y
801120.SI,002515.SZ,20101213,,Y
801120.SI,002557.SZ,20110310,,Y
801120.SI,002568.SZ,20110406,,Y
801120.SI,002570.SZ,20110420,,Y
801120.SI,002582.SZ,20110527,,Y
801120.SI,002597.SZ,20201117,20211210,N
801120.SI,002604.SZ,20110804,20110930,N
801120.SI,002626.SZ,20211213,,Y
801120.SI,002646.SZ,20111229,,Y
801120.SI,002650.SZ,20120113,,Y
801120.SI,002661.SZ,20120323,20211210,N
801120.SI,002661.SZ,20230404,,Y
801120.SI,002695.SZ,20120912,,Y
801120.SI,002702.SZ,20121018,,Y
801120.SI,002719.SZ,20140211,,Y
801120.SI,002726.SZ,20140703,,Y
801120.SI,002732.SZ,20141212,,Y
801120.SI,002770.SZ,20150707,20220531,N
801120.SI,002820.SZ,20161125,,Y
801120.SI,002840.SZ,20170117,,Y
801120.SI,002847.SZ,20170215,,Y
801120.SI,002891.SZ,20170828,20180411,N
801120.SI,002910.SZ,20171107,,Y
801120.SI,002946.SZ,20190201,,Y
801120.SI,002956.SZ,20190626,,Y
801120.SI,002991.SZ,20200807,,Y
801120.SI,003000.SZ,20200921,,Y
801120.SI,003030.SZ,20210113,20211210,N
801120.SI,300106.SZ,20211213,,Y
801120.SI,300138.SZ,20101115,20110930,N
801120.SI,300146.SZ,20120702,,Y
801120.SI,300149.SZ,20101230,20110930,N
801120.SI,300741.SZ,20180308,20211210,N
801120.SI,300783.SZ,20190903,,Y
801120.SI,300791.SZ,20191009,,Y
801120.SI,300858.SZ,20200803,20211210,N
801120.SI,300892.SZ,20201009,20211210,N
801120.SI,300892.SZ,20220801,,Y
801120.SI,300898.SZ,20201023,,Y
801120.SI,300908.SZ,20201130,,Y
801120.SI,300915.SZ,20201209,,Y
801120.SI,300972.SZ,20240731,20260305,N
801120.SI,300973.SZ,20210422,,Y
801120.SI,300997.SZ,20210609,,Y
801120.SI,600059.SH,19970516,,Y
801120.SI,600073.SH,19970704,,Y
801120.SI,600084.SH,20070703,,Y
801120.SI,600090.SH,19970616,20170630,N
801120.SI,600132.SH,19971030,,Y
801120.SI,600136.SH,19980303,20061009,N
801120.SI,600159.SH,19980526,20061009,N
801120.SI,600186.SH,19980825,20070216,N
801120.SI,600186.SH,20070227,20200120,N
801120.SI,600186.SH,20200122,,Y
801120.SI,600189.SH,20190708,,Y
801120.SI,600191.SH,19981210,20110930,N
801120.SI,600197.SH,19990916,,Y
801120.SI,600199.SH,19980812,,Y
801120.SI,600238.SH,20000120,,Y
801120.SI,600239.SH,19991202,20070702,N
801120.SI,600298.SH,20000818,20060427,N
801120.SI,600298.SH,20060508,20110930,N
801120.SI,600298.SH,20211213,,Y
801120.SI,600300.SH,20000630,,Y
801120.SI,600305.SH,20010206,,Y
801120.SI,600365.SH,20010115,20220729,N
801120.SI,600381.SH,20160701,20180904,N
801120.SI,600381.SH,20201124,,Y
801120.SI,600419.SH,20180716,,Y
801120.SI,600429.SH,20030915,,Y
801120.SI,600519.SH,20010827,,Y
801120.SI,600530.SH,20211213,,Y
801120.SI,600543.SH,20070703,,Y
801120.SI,600559.SH,20090602,,Y
801120.SI,600573.SH,20030226,,Y
801120.SI,600597.SH,20020828,,Y
801120.SI,600600.SH,19930827,,Y
801120.SI,600616.SH,20050701,,Y
801120.SI,600696.SH,20220801,,Y
801120.SI,600702.SH,19960524,,Y
801120.SI,600735.SH,19960726,20090601,N
801120.SI,600737.SH,20010903,20070702,N
801120.SI,600779.SH,19961206,,Y
801120.SI,600783.SH,20061010,20070702,N
801120.SI,600809.SH,19940106,,Y
801120.SI,600866.SH,20111010,20211210,N
801120.SI,600872.SH,20111010,,Y
801120.SI,600873.SH,20111010,20170630,N
801120.SI,600873.SH,20211213,20220729,N
801120.SI,600882.SH,20170703,,Y
801120.SI,600887.SH,19960312,,Y
801120.SI,600962.SH,20040622,20110930,N
801120.SI,601579.SH,20140901,,Y
801120.SI,603020.SH,20150401,20211210,N
801120.SI,603027.SH,20160314,,Y
801120.SI,603031.SH,20160829,20181225,N
801120.SI,603043.SH,20170704,,Y
801120.SI,603057.SH,20221010,,Y
801120.SI,603102.SH,20220208,,Y
801120.SI,603156.SH,20180226,,Y
801120.SI,603170.SH,20220722,,Y
801120.SI,603198.SH,20150604,,Y
801120.SI,603237.SH,20220907,,Y
801120.SI,603262.SH,20250730,,Y
801120.SI,603288.SH,20140218,,Y
801120.SI,603317.SH,20190423,,Y
801120.SI,603345.SH,20170301,,Y
801120.SI,603369.SH,20140710,,Y
801120.SI,603517.SH,20170324,,Y
801120.SI,603536.SH,20170620,,Y
801120.SI,603589.SH,20150706,,Y
801120.SI,603696.SH,20151216,,Y
801120.SI,603697.SH,20190513,20190513,N
801120.SI,603697.SH,20190515,,Y
801120.SI,603711.SH,20171207,,Y
801120.SI,603719.SH,20200302,,Y
801120.SI,603755.SH,20190904,,Y
801120.SI,603777.SH,20161019,,Y
801120.SI,603779.SH,20160523,,Y
801120.SI,603866.SH,20151229,,Y
801120.SI,603886.SH,20170105,,Y
801120.SI,603919.SH,20160317,,Y
801120.SI,605077.SH,20210223,20211210,N
801120.SI,605089.SH,20210507,,Y
801120.SI,605179.SH,20210105,,Y
801120.SI,605300.SH,20210512,,Y
801120.SI,605337.SH,20210222,,Y
801120.SI,605338.SH,20201019,,Y
801120.SI,605339.SH,20210525,,Y
801120.SI,605388.SH,20200825,,Y
801120.SI,605499.SH,20210603,,Y
801120.SI,605567.SH,20211020,,Y
