index_code,con_code,in_date,out_date,is_new
801040.SI,000039.SZ,19940408,20080602,N
801040.SI,000055.SZ,19960415,20070702,N
801040.SI,000535.SZ,19931130,20050518,N
801040.SI,000569.SZ,19940425,20090506,N
801040.SI,000629.SZ,19961115,20120928,N
801040.SI,000629.SZ,20211213,,Y
801040.SI,000655.SZ,20211213,,Y
801040.SI,000656.SZ,19961128,20070702,N
801040.SI,000708.SZ,19970326,,Y
801040.SI,000709.SZ,19970416,,Y
801040.SI,000717.SZ,19970508,,Y
801040.SI,000761.SZ,19980115,,Y
801040.SI,000778.SZ,19970606,20080602,N
801040.SI,000778.SZ,20090602,,Y
801040.SI,000825.SZ,19981021,,Y
801040.SI,000890.SZ,19990119,20080602,N
801040.SI,000898.SZ,19971225,,Y
801040.SI,000906.SZ,20111010,20170630,N
801040.SI,000923.SZ,20211213,,Y
801040.SI,000926.SZ,19990618,20080602,N
801040.SI,000932.SZ,19990803,,Y
801040.SI,000959.SZ,19991216,,Y
801040.SI,000961.SZ,20000301,20080602,N
801040.SI,001203.SZ,20211213,,Y
801040.SI,002075.SZ,20111010,,Y
801040.SI,002110.SZ,20070205,,Y
801040.SI,002132.SZ,20070514,20080602,N
801040.SI,002318.SZ,20091221,,Y
801040.SI,002443.SZ,20121008,,Y
801040.SI,002478.SZ,20121008,,Y
801040.SI,002756.SZ,20150522,20220729,N
801040.SI,300881.SZ,20200908,,Y
801040.SI,301160.SZ,20220613,,Y
801040.SI,600001.SH,19980122,20091229,N
801040.SI,600005.SH,19990803,20170208,N
801040.SI,600010.SH,20010309,,Y
801040.SI,600019.SH,20001212,,Y
801040.SI,600022.SH,20040629,,Y
801040.SI,600102.SH,19970828,20120228,N
801040.SI,600114.SH,20040511,20070702,N
801040.SI,600117.SH,19971015,20231130,N
801040.SI,600117.SH,20231204,,Y
801040.SI,600126.SH,19980311,,Y
801040.SI,600165.SH,19980529,20080602,N
801040.SI,600231.SH,20000511,,Y
801040.SI,600282.SH,20000919,,Y
801040.SI,600295.SH,20081009,20130628,N
801040.SI,600295.SH,20211213,,Y
801040.SI,600307.SH,20001220,,Y
801040.SI,600357.SH,20020906,20091229,N
801040.SI,600382.SH,20220801,,Y
801040.SI,600399.SH,20001229,20181221,N
801040.SI,600399.SH,20200421,,Y
801040.SI,600507.SH,20070703,,Y
801040.SI,600516.SH,20090602,20110930,N
801040.SI,600516.SH,20211213,,Y
801040.SI,600558.SH,20010227,20080602,N
801040.SI,600569.SH,20010820,,Y
801040.SI,600581.SH,20020816,,Y
801040.SI,600608.SH,20160701,20180713,N
801040.SI,600673.SH,20070703,20080602,N
801040.SI,600674.SH,19930924,20050630,N
801040.SI,600714.SH,19960606,20070702,N
801040.SI,600782.SH,19961225,20080602,N
801040.SI,600782.SH,20090602,,Y
801040.SI,600784.SH,20111010,20170630,N
801040.SI,600808.SH,19940106,,Y
801040.SI,600894.SH,19960328,20120928,N
801040.SI,600992.SH,20040514,20080602,N
801040.SI,601003.SH,20070307,,Y
801040.SI,601005.SH,20070308,20171225,N
801040.SI,601005.SH,20180201,,Y
801040.SI,601121.SH,20230317,,Y
801040.SI,601686.SH,20201211,,Y
801040.SI,601969.SH,20211213,,Y
801040.SI,603878.SH,20161226,,Y
801040.SI,603995.SH,20191231,,Y
801040.SI,605158.SH,20211213,20230705,N
801040.SI,688186.SH,20230925,20250512,N
