index_code,con_code,in_date,out_date,is_new
801050.SI,000007.SZ,20130701,20140701,N
801050.SI,000008.SZ,20161010,20170630,N
801050.SI,000060.SZ,19970123,,Y
801050.SI,000408.SZ,20230706,,Y
801050.SI,000426.SZ,20120702,,Y
801050.SI,000506.SZ,19930312,20070521,N
801050.SI,000506.SZ,20150701,20160630,N
801050.SI,000506.SZ,20220801,,Y
801050.SI,000511.SZ,20140702,20170704,N
801050.SI,000519.SZ,20150701,20170630,N
801050.SI,000602.SZ,20070703,20130628,N
801050.SI,000603.SZ,20120702,,Y
801050.SI,000612.SZ,19960926,,Y
801050.SI,000620.SZ,20110711,20110930,N
801050.SI,000630.SZ,19961120,,Y
801050.SI,000633.SZ,20150701,20151027,N
801050.SI,000633.SZ,20160219,,Y
801050.SI,000657.SZ,19961205,20100409,N
801050.SI,000657.SZ,20130218,,Y
801050.SI,000688.SZ,20130701,,Y
801050.SI,000693.SZ,20140113,20180712,N
801050.SI,000697.SZ,20111010,20190705,N
801050.SI,000737.SZ,20220801,,Y
801050.SI,000751.SZ,19970626,20130507,N
801050.SI,000751.SZ,20140807,,Y
801050.SI,000758.SZ,20051010,,Y
801050.SI,000762.SZ,20211213,,Y
801050.SI,000795.SZ,19970808,,Y
801050.SI,000807.SZ,19980408,,Y
801050.SI,000813.SZ,20150701,20180904,N
801050.SI,000831.SZ,19980911,20110324,N
801050.SI,000831.SZ,20130218,,Y
801050.SI,000878.SZ,19980602,,Y
801050.SI,000908.SZ,20070703,20090601,N
801050.SI,000928.SZ,19990312,20150630,N
801050.SI,000933.SZ,20160701,,Y
801050.SI,000960.SZ,20000221,,Y
801050.SI,000962.SZ,20000120,,Y
801050.SI,000969.SZ,20000529,,Y
801050.SI,000970.SZ,20000420,20090601,N
801050.SI,000970.SZ,20100602,,Y
801050.SI,000975.SZ,20130701,,Y
801050.SI,001257.SZ,20260408,,Y
801050.SI,001280.SZ,20251210,,Y
801050.SI,001337.SZ,20230310,,Y
801050.SI,002056.SZ,20070703,20090601,N
801050.SI,002056.SZ,20190708,20230705,N
801050.SI,002057.SZ,20070703,20230705,N
801050.SI,002070.SZ,20170703,20180510,N
801050.SI,002075.SZ,20061103,20100507,N
801050.SI,002075.SZ,20110412,20110930,N
801050.SI,002082.SZ,20211213,20220729,N
801050.SI,002114.SZ,20070302,,Y
801050.SI,002130.SZ,20111010,20211210,N
801050.SI,002136.SZ,20070607,20080602,N
801050.SI,002149.SZ,20070820,,Y
801050.SI,002155.SZ,20070824,,Y
801050.SI,002160.SZ,20070829,,Y
801050.SI,002167.SZ,20111010,,Y
801050.SI,002171.SZ,20071008,,Y
801050.SI,002176.SZ,20220801,20240730,N
801050.SI,002182.SZ,20071121,,Y
801050.SI,002192.SZ,20220407,,Y
801050.SI,002203.SZ,20080124,,Y
801050.SI,002237.SZ,20080528,,Y
801050.SI,002240.SZ,20210924,,Y
801050.SI,002295.SZ,20091015,,Y
801050.SI,002297.SZ,20091015,20110930,N
801050.SI,002340.SZ,20100201,20211210,N
801050.SI,002378.SZ,20100409,,Y
801050.SI,002379.SZ,20100409,,Y
801050.SI,002428.SZ,20100621,,Y
801050.SI,002460.SZ,20100818,,Y
801050.SI,002466.SZ,20100908,,Y
801050.SI,002497.SZ,20220801,20240730,N
801050.SI,002501.SZ,20101125,20201230,N
801050.SI,002501.SZ,20210104,,Y
801050.SI,002502.SZ,20230706,20240904,N
801050.SI,002532.SZ,20211213,,Y
801050.SI,002540.SZ,20110215,,Y
801050.SI,002578.SZ,20110506,,Y
801050.SI,002600.SZ,20110722,20180713,N
801050.SI,002716.SZ,20140211,20201228,N
801050.SI,002716.SZ,20201230,,Y
801050.SI,002738.SZ,20200805,,Y
801050.SI,002756.SZ,20220801,,Y
801050.SI,002806.SZ,20160802,20230705,N
801050.SI,002824.SZ,20170119,,Y
