index_code,con_code,in_date,out_date,is_new
801160.SI,000005.SZ,20170703,20211210,N
801160.SI,000027.SZ,19930903,,Y
801160.SI,000035.SZ,20140702,20211210,N
801160.SI,000037.SZ,19940701,,Y
801160.SI,000040.SZ,20171226,20250429,N
801160.SI,000068.SZ,20170703,20211210,N
801160.SI,000155.SZ,20190708,,Y
801160.SI,000301.SZ,20150701,20190705,N
801160.SI,000407.SZ,20160701,,Y
801160.SI,000421.SZ,20160701,20230705,N
801160.SI,000426.SZ,19960828,20120629,N
801160.SI,000507.SZ,20230706,,Y
801160.SI,000531.SZ,19940106,,Y
801160.SI,000532.SZ,19940103,20060928,N
801160.SI,000532.SZ,20061009,20070702,N
801160.SI,000534.SZ,19940110,20100601,N
801160.SI,000537.SZ,20220829,,Y
801160.SI,000539.SZ,19931126,,Y
801160.SI,000543.SZ,19931220,,Y
801160.SI,000544.SZ,20061010,20211210,N
801160.SI,000551.SZ,19940106,20110930,N
801160.SI,000591.SZ,20190708,,Y
801160.SI,000593.SZ,20150701,20151102,N
801160.SI,000593.SZ,20160219,,Y
801160.SI,000598.SZ,20090602,20211210,N
801160.SI,000600.SZ,20070703,,Y
801160.SI,000601.SZ,19960830,,Y
801160.SI,000602.SZ,20130701,20130814,N
801160.SI,000605.SZ,20150701,20211210,N
801160.SI,000635.SZ,20030512,20070702,N
801160.SI,000669.SZ,20130701,,Y
801160.SI,000685.SZ,20090602,20211210,N
801160.SI,000690.SZ,20070703,,Y
801160.SI,000692.SZ,19970227,,Y
801160.SI,000695.SZ,20061010,20190705,N
801160.SI,000711.SZ,20180716,20211210,N
801160.SI,000712.SZ,20090602,20141218,N
801160.SI,000712.SZ,20141223,20151027,N
801160.SI,000720.SZ,20030512,20211210,N
801160.SI,000722.SZ,20130701,,Y
801160.SI,000767.SZ,19970609,,Y
801160.SI,000791.SZ,20130701,,Y
801160.SI,000793.SZ,20030103,20070702,N
801160.SI,000803.SZ,20211213,20250812,N
801160.SI,000820.SZ,20170703,20211210,N
801160.SI,000826.SZ,19980225,20211210,N
801160.SI,000862.SZ,20150701,,Y
801160.SI,000875.SZ,20020926,,Y
801160.SI,000883.SZ,20111010,,Y
801160.SI,000899.SZ,19971126,,Y
801160.SI,000920.SZ,20160701,20211210,N
801160.SI,000925.SZ,20120702,20150630,N
801160.SI,000939.SZ,19990923,20190510,N
801160.SI,000958.SZ,19991223,20201130,N
801160.SI,000958.SZ,20211213,20220729,N
801160.SI,000966.SZ,20000316,,Y
801160.SI,000967.SZ,20170703,20211210,N
801160.SI,000975.SZ,20030103,20070702,N
801160.SI,000993.SZ,20000731,20160630,N
801160.SI,000993.SZ,20190109,,Y
801160.SI,001210.SZ,20210805,,Y
801160.SI,001258.SZ,20220803,,Y
801160.SI,001286.SZ,20230508,,Y
801160.SI,001289.SZ,20220209,,Y
801160.SI,001299.SZ,20221107,,Y
801160.SI,001331.SZ,20220916,,Y
801160.SI,001376.SZ,20231110,,Y
801160.SI,001896.SZ,19980122,,Y
801160.SI,002015.SZ,20200724,,Y
801160.SI,002034.SZ,20190708,20211210,N
801160.SI,002039.SZ,20050303,,Y
801160.SI,002053.SZ,20241209,,Y
801160.SI,002060.SZ,20220801,,Y
801160.SI,002205.SZ,20190708,20211210,N
801160.SI,002218.SZ,20240731,,Y
801160.SI,002256.SZ,20190708,,Y
801160.SI,002259.SZ,20180716,,Y
801160.SI,002266.SZ,20200903,20211210,N
801160.SI,002267.SZ,20080821,,Y
801160.SI,002341.SZ,20140702,20190705,N
801160.SI,002479.SZ,20101011,,Y
801160.SI,002480.SZ,20230706,,Y
801160.SI,002499.SZ,20101117,20110930,N
801160.SI,002499.SZ,20190708,20220729,N
801160.SI,002524.SZ,20170703,20190705,N
801160.SI,002573.SZ,20110429,20211210,N
801160.SI,002608.SZ,20180716,,Y
801160.SI,002610.SZ,20190708,20211210,N
801160.SI,002616.SZ,20190708,,Y
801160.SI,002617.SZ,20211213,,Y
801160.SI,002658.SZ,20190109,20211210,N
801160.SI,002672.SZ,20120507,20211210,N
801160.SI,002700.SZ,20120928,,Y
801160.SI,002887.SZ,20190708,20211210,N
801160.SI,002893.SZ,20170922,,Y
801160.SI,002911.SZ,20171129,,Y
801160.SI,002973.SZ,20200113,20211210,N
801160.SI,003027.SZ,20201225,20211210,N
801160.SI,003035.SZ,20210126,,Y
801160.SI,003039.SZ,20210315,20211210,N
801160.SI,003816.SZ,20191119,,Y
801160.SI,300040.SZ,20240731,,Y
801160.SI,300055.SZ,20100308,20211210,N
801160.SI,300056.SZ,20100308,20211210,N
801160.SI,300070.SZ,20100429,20211210,N
801160.SI,300072.SZ,20170703,20190705,N
801160.SI,300090.SZ,20130701,20200713,N
801160.SI,300125.SZ,20101021,20251226,N
801160.SI,300125.SZ,20251230,,Y
801160.SI,300137.SZ,20150701,20211210,N
801160.SI,300139.SZ,20211213,20220729,N
801160.SI,300140.SZ,20180716,20211210,N
801160.SI,300152.SZ,20150701,20211210,N
801160.SI,300156.SZ,20110117,20200713,N
801160.SI,300172.SZ,20110216,20211210,N
801160.SI,300187.SZ,20110316,20211210,N
801160.SI,300190.SZ,20110324,20211210,N
801160.SI,300203.SZ,20150701,20151102,N
801160.SI,300203.SZ,20160219,20211210,N
801160.SI,300262.SZ,20110923,20211210,N
801160.SI,300263.SZ,20170703,20211210,N
801160.SI,300266.SZ,20150216,20150716,N
801160.SI,300266.SZ,20180716,20211210,N
801160.SI,300317.SZ,20211213,,Y
801160.SI,300332.SZ,20120705,,Y
801160.SI,300334.SZ,20120712,20211210,N
801160.SI,300335.SZ,20120717,,Y
801160.SI,300388.SZ,20140808,20211210,N
801160.SI,300422.SZ,20150303,20211210,N
801160.SI,300425.SZ,20150302,20211210,N
801160.SI,300435.SZ,20200310,,Y
801160.SI,300483.SZ,20211213,,Y
801160.SI,300614.SZ,20210601,20211210,N
801160.SI,300631.SZ,20170406,20211210,N
801160.SI,300664.SZ,20180112,20211210,N
801160.SI,300692.SZ,20170828,20211210,N
801160.SI,300774.SZ,20210811,20211210,N
801160.SI,300779.SZ,20190529,20211210,N
801160.SI,300815.SZ,20200207,20211210,N
801160.SI,300831.SZ,20200514,20200520,N
801160.SI,300854.SZ,20210927,20211210,N
801160.SI,300864.SZ,20200831,20211210,N
801160.SI,300867.SZ,20200831,20211210,N
801160.SI,300899.SZ,20201023,20211210,N
801160.SI,300929.SZ,20210127,20211210,N
801160.SI,300958.SZ,20210406,20211210,N
801160.SI,300961.SZ,20210407,20211210,N
801160.SI,301049.SZ,20210831,20211210,N
801160.SI,301068.SZ,20211012,20211210,N
801160.SI,600008.SH,20040401,20211210,N
801160.SI,600011.SH,20011206,,Y
801160.SI,600021.SH,20031029,,Y
801160.SI,600023.SH,20131226,,Y
801160.SI,600025.SH,20171222,,Y
801160.SI,600027.SH,20050203,,Y
801160.SI,600032.SH,20210601,,Y
801160.SI,600052.SH,20230706,,Y
801160.SI,600098.SH,19970718,,Y
801160.SI,600101.SH,19970627,,Y
801160.SI,600116.SH,19970804,,Y
801160.SI,600131.SH,19980402,20211210,N
801160.SI,600149.SH,20211213,,Y
801160.SI,600157.SH,20210706,20211210,N
801160.SI,600163.SH,20160701,,Y
801160.SI,600167.SH,19990128,,Y
801160.SI,600168.SH,19980427,20211210,N
801160.SI,600187.SH,20101011,20150520,N
801160.SI,600187.SH,20150522,20211210,N
801160.SI,600217.SH,20150701,20211210,N
801160.SI,600226.SH,20220801,,Y
801160.SI,600236.SH,20000323,,Y
801160.SI,600283.SH,20001018,20211210,N
801160.SI,600292.SH,20001101,20211210,N
801160.SI,600310.SH,20010228,,Y
801160.SI,600323.SH,20001225,20211210,N
801160.SI,600333.SH,20001211,,Y
801160.SI,600388.SH,20001229,20110930,N
801160.SI,600396.SH,20010328,,Y
801160.SI,600452.SH,20040303,,Y
801160.SI,600461.SH,20040601,20211210,N
801160.SI,600475.SH,20240731,,Y
801160.SI,600483.SH,20150701,,Y
801160.SI,600505.SH,20020530,,Y
801160.SI,600509.SH,20020228,,Y
801160.SI,600526.SH,20020722,20110930,N
801160.SI,600578.SH,20020510,,Y
801160.SI,600617.SH,20140702,,Y
801160.SI,600635.SH,20020508,20090601,N
801160.SI,600635.SH,20160701,,Y
801160.SI,600642.SH,19930416,,Y
801160.SI,600644.SH,19930426,,Y
801160.SI,600649.SH,19930518,20100601,N
801160.SI,600656.SH,20140702,20150525,N
801160.SI,600674.SH,20050701,20120321,N
801160.SI,600674.SH,20120323,,Y
801160.SI,600681.SH,20160701,,Y
801160.SI,600719.SH,19960716,,Y
801160.SI,600726.SH,19960701,,Y
801160.SI,600744.SH,19960905,,Y
801160.SI,600758.SH,20070703,20170630,N
801160.SI,600769.SH,20140702,20170630,N
801160.SI,600780.SH,19961205,20120629,N
801160.SI,600780.SH,20130701,,Y
801160.SI,600795.SH,19970318,,Y
801160.SI,600803.SH,20170703,20190705,N
801160.SI,600803.SH,20200901,,Y
801160.SI,600821.SH,20220801,,Y
801160.SI,600856.SH,20150701,20151102,N
801160.SI,600856.SH,20160219,20211210,N
801160.SI,600863.SH,19940520,,Y
801160.SI,600864.SH,19940809,20170630,N
801160.SI,600868.SH,20070703,20220729,N
801160.SI,600868.SH,20240731,,Y
801160.SI,600874.SH,19950630,20211210,N
801160.SI,600886.SH,20030512,20111121,N
801160.SI,600886.SH,20111123,,Y
801160.SI,600900.SH,20031118,,Y
801160.SI,600903.SH,20171114,,Y
801160.SI,600905.SH,20210618,,Y
801160.SI,600917.SH,20141014,,Y
801160.SI,600930.SH,20250723,,Y
801160.SI,600956.SH,20200706,,Y
801160.SI,600969.SH,20040408,,Y
801160.SI,600979.SH,20040906,20060928,N
801160.SI,600979.SH,20061009,,Y
801160.SI,600982.SH,20050701,,Y
801160.SI,600995.SH,20040615,,Y
801160.SI,601016.SH,20141013,,Y
801160.SI,601139.SH,20100105,,Y
801160.SI,601158.SH,20100408,20211210,N
801160.SI,601199.SH,20110325,20211210,N
801160.SI,601200.SH,20170411,20211210,N
801160.SI,601222.SH,20211213,,Y
801160.SI,601330.SH,20180619,20211210,N
801160.SI,601368.SH,20150619,20211210,N
801160.SI,601619.SH,20170727,,Y
801160.SI,601778.SH,20200526,,Y
801160.SI,601827.SH,20200612,20211210,N
801160.SI,601908.SH,20211213,,Y
801160.SI,601985.SH,20150617,,Y
801160.SI,601991.SH,20061228,,Y
801160.SI,603053.SH,20191224,,Y
801160.SI,603071.SH,20211223,20220729,N
801160.SI,603080.SH,20180110,,Y
801160.SI,603105.SH,20201116,,Y
801160.SI,603126.SH,20140807,20211210,N
801160.SI,603177.SH,20170214,20211210,N
801160.SI,603200.SH,20170608,20211210,N
801160.SI,603318.SH,20211213,,Y
801160.SI,603393.SH,20160921,,Y
801160.SI,603568.SH,20150604,20211210,N
801160.SI,603588.SH,20150107,20211210,N
801160.SI,603603.SH,20170224,20211210,N
801160.SI,603689.SH,20170117,,Y
801160.SI,603693.SH,20180710,,Y
801160.SI,603706.SH,20180716,,Y
801160.SI,603759.SH,20210402,20211210,N
801160.SI,603797.SH,20170420,20211210,N
801160.SI,603817.SH,20170227,20211210,N
801160.SI,603903.SH,20170321,20211210,N
801160.SI,605011.SH,20210707,,Y
801160.SI,605028.SH,20210719,,Y
801160.SI,605069.SH,20210823,20211210,N
801160.SI,605090.SH,20210601,,Y
801160.SI,605162.SH,20210714,,Y
801160.SI,605169.SH,20201106,,Y
801160.SI,605368.SH,20210205,,Y
801160.SI,605580.SH,20210826,,Y
