index_code,con_code,in_date,out_date,is_new
801081.SI,000670.SZ,20150701,20200403,N
801081.SI,000925.SZ,19990611,20110930,N
801081.SI,001309.SZ,20240731,,Y
801081.SI,002049.SZ,20111010,,Y
801081.SI,002077.SZ,20180716,,Y
801081.SI,002079.SZ,20061124,20240730,N
801081.SI,002119.SZ,20070312,,Y
801081.SI,002129.SZ,20070703,20170630,N
801081.SI,002134.SZ,20070524,20110930,N
801081.SI,002156.SZ,20070824,,Y
801081.SI,002180.SZ,20150701,20190705,N
801081.SI,002180.SZ,20211213,20230317,N
801081.SI,002185.SZ,20071128,,Y
801081.SI,002213.SZ,20230706,,Y
801081.SI,002371.SZ,20100324,,Y
801081.SI,002409.SZ,20200609,,Y
801081.SI,002449.SZ,20100726,20110930,N
801081.SI,002504.SZ,20101126,20150630,N
801081.SI,002506.SZ,20101126,20110930,N
801081.SI,002587.SZ,20110617,20110930,N
801081.SI,002859.SZ,20170414,20180713,N
801081.SI,003026.SZ,20201225,,Y
801081.SI,003043.SZ,20211213,,Y
801081.SI,300046.SZ,20100128,,Y
801081.SI,300053.SZ,20100226,20220729,N
801081.SI,300053.SZ,20240731,,Y
801081.SI,300077.SZ,20100511,,Y
801081.SI,300102.SZ,20100820,20110930,N
801081.SI,300111.SZ,20100906,20110930,N
801081.SI,300139.SZ,20101122,20211210,N
801081.SI,300162.SZ,20110121,20110930,N
801081.SI,300183.SZ,20110302,20180713,N
801081.SI,300219.SZ,20110524,20110930,N
801081.SI,300223.SZ,20110608,,Y
801081.SI,300232.SZ,20110629,20110930,N
801081.SI,300241.SZ,20110719,20110930,N
801081.SI,300327.SZ,20120620,,Y
801081.SI,300346.SZ,20180716,20211210,N
801081.SI,300373.SZ,20140207,,Y
801081.SI,300456.SZ,20200803,,Y
801081.SI,300458.SZ,20150522,,Y
801081.SI,300493.SZ,20151217,20211210,N
801081.SI,300604.SZ,20170424,20170630,N
801081.SI,300604.SZ,20211213,,Y
801081.SI,300613.SZ,20170227,,Y
801081.SI,300623.SZ,20170406,20170406,N
801081.SI,300623.SZ,20170413,,Y
801081.SI,300661.SZ,20170613,,Y
801081.SI,300666.SZ,20190708,,Y
801081.SI,300671.SZ,20170712,,Y
801081.SI,300672.SZ,20170719,,Y
801081.SI,300706.SZ,20190708,,Y
