index_code,con_code,trade_date,weight
000300.SH,300750.SZ,20260506,4.5686
000300.SH,300308.SZ,20260506,3.5719
000300.SH,600519.SH,20260506,3.2332
000300.SH,601318.SH,20260506,2.3764
000300.SH,601899.SH,20260506,2.1161
000300.SH,300502.SZ,20260506,1.9503
000300.SH,600036.SH,20260506,1.7663
000300.SH,000333.SZ,20260506,1.4875
000300.SH,688256.SH,20260506,1.4451
000300.SH,002475.SZ,20260506,1.2841
000300.SH,600900.SH,20260506,1.2497
000300.SH,688041.SH,20260506,1.2025
000300.SH,601166.SH,20260506,1.1311
000300.SH,002594.SZ,20260506,1.028
000300.SH,603259.SH,20260506,1.0124
000300.SH,600030.SH,20260506,1.0076
000300.SH,300059.SZ,20260506,0.99
000300.SH,601138.SH,20260506,0.9409
000300.SH,688981.SH,20260506,0.9244
000300.SH,002384.SZ,20260506,0.9239
000300.SH,600276.SH,20260506,0.8993
000300.SH,601398.SH,20260506,0.8943
000300.SH,002371.SZ,20260506,0.8867
000300.SH,603986.SH,20260506,0.8635
000300.SH,688008.SH,20260506,0.8557
000300.SH,300274.SZ,20260506,0.7659
000300.SH,300476.SZ,20260506,0.7457
000300.SH,601288.SH,20260506,0.7402
000300.SH,600150.SH,20260506,0.6983
000300.SH,000338.SZ,20260506,0.6981
000300.SH,601211.SH,20260506,0.6904
000300.SH,601328.SH,20260506,0.6742
000300.SH,000858.SZ,20260506,0.6724
000300.SH,000651.SZ,20260506,0.6723
000300.SH,600887.SH,20260506,0.6521
000300.SH,601088.SH,20260506,0.6401
000300.SH,603993.SH,20260506,0.6387
000300.SH,600309.SH,20260506,0.6329
000300.SH,688012.SH,20260506,0.6309
000300.SH,600919.SH,20260506,0.6203
000300.SH,000725.SZ,20260506,0.5764
000300.SH,300394.SZ,20260506,0.5538
000300.SH,603019.SH,20260506,0.5484
000300.SH,601816.SH,20260506,0.5369
000300.SH,002463.SZ,20260506,0.5298
000300.SH,600111.SH,20260506,0.5276
000300.SH,600089.SH,20260506,0.5271
000300.SH,601857.SH,20260506,0.5061
000300.SH,300124.SZ,20260506,0.5044
000300.SH,002415.SZ,20260506,0.4962
000300.SH,002028.SZ,20260506,0.4818
000300.SH,000792.SZ,20260506,0.4817
000300.SH,601601.SH,20260506,0.4769
000300.SH,600031.SH,20260506,0.4658
000300.SH,000063.SZ,20260506,0.4629
000300.SH,600000.SH,20260506,0.4593
000300.SH,002714.SZ,20260506,0.4579
000300.SH,002230.SZ,20260506,0.4296
000300.SH,300408.SZ,20260506,0.4282
000300.SH,601688.SH,20260506,0.4244
000300.SH,000001.SZ,20260506,0.4139
000300.SH,002142.SZ,20260506,0.4063
000300.SH,002050.SZ,20260506,0.4049
000300.SH,600406.SH,20260506,0.3955
000300.SH,300760.SZ,20260506,0.3931
000300.SH,002460.SZ,20260506,0.3879
000300.SH,603799.SH,20260506,0.3872
000300.SH,601668.SH,20260506,0.3817
000300.SH,601225.SH,20260506,0.3772
000300.SH,601012.SH,20260506,0.3768
000300.SH,600183.SH,20260506,0.3686
000300.SH,601600.SH,20260506,0.3614
000300.SH,600522.SH,20260506,0.3578
000300.SH,000425.SZ,20260506,0.3573
000300.SH,600660.SH,20260506,0.3569
000300.SH,300014.SZ,20260506,0.353
000300.SH,601229.SH,20260506,0.3474
000300.SH,601728.SH,20260506,0.3469
000300.SH,600016.SH,20260506,0.344
000300.SH,600938.SH,20260506,0.3439
000300.SH,002709.SZ,20260506,0.3422
000300.SH,002352.SZ,20260506,0.336
000300.SH,000100.SZ,20260506,0.3351
000300.SH,601919.SH,20260506,0.3348
000300.SH,600176.SH,20260506,0.3337
000300.SH,300498.SZ,20260506,0.332
000300.SH,600941.SH,20260506,0.3281
000300.SH,600926.SH,20260506,0.3276
000300.SH,603501.SH,20260506,0.3208
000300.SH,002916.SZ,20260506,0.3192
000300.SH,002466.SZ,20260506,0.3173
000300.SH,601939.SH,20260506,0.3118
000300.SH,601988.SH,20260506,0.307
000300.SH,600690.SH,20260506,0.3041
000300.SH,300442.SZ,20260506,0.2953
000300.SH,600489.SH,20260506,0.2953
000300.SH,600028.SH,20260506,0.2939
000300.SH,601169.SH,20260506,0.2935
000300.SH,000977.SZ,20260506,0.2827
000300.SH,300033.SZ,20260506,0.2783
000300.SH,601985.SH,20260506,0.2756
000300.SH,000568.SZ,20260506,0.2718
000300.SH,601766.SH,20260506,0.2713
000300.SH,601127.SH,20260506,0.2701
000300.SH,601009.SH,20260506,0.2665
000300.SH,000408.SZ,20260506,0.2659
000300.SH,600050.SH,20260506,0.2612
000300.SH,600584.SH,20260506,0.2591
000300.SH,600809.SH,20260506,0.2583
000300.SH,000807.SZ,20260506,0.2552
000300.SH,600989.SH,20260506,0.2492
000300.SH,603288.SH,20260506,0.2427
000300.SH,600547.SH,20260506,0.242
000300.SH,002027.SZ,20260506,0.2411
000300.SH,600010.SH,20260506,0.2398
000300.SH,000938.SZ,20260506,0.2395
000300.SH,601006.SH,20260506,0.2392
000300.SH,600104.SH,20260506,0.2361
000300.SH,000776.SZ,20260506,0.2348
000300.SH,600893.SH,20260506,0.2344
000300.SH,002241.SZ,20260506,0.233
000300.SH,601888.SH,20260506,0.2311
000300.SH,601628.SH,20260506,0.2294
000300.SH,688111.SH,20260506,0.227
000300.SH,002625.SZ,20260506,0.227
000300.SH,601872.SH,20260506,0.2261
000300.SH,600999.SH,20260506,0.2228
000300.SH,600905.SH,20260506,0.2206
000300.SH,605117.SH,20260506,0.2172
000300.SH,601818.SH,20260506,0.2168
000300.SH,600426.SH,20260506,0.2153
000300.SH,601100.SH,20260506,0.2116
000300.SH,601658.SH,20260506,0.2095
000300.SH,600019.SH,20260506,0.2071
000300.SH,688271.SH,20260506,0.2043
000300.SH,601336.SH,20260506,0.2026
000300.SH,601689.SH,20260506,0.2024
000300.SH,002049.SZ,20260506,0.2018
000300.SH,300433.SZ,20260506,0.1992
000300.SH,000630.SZ,20260506,0.1964
000300.SH,002938.SZ,20260506,0.1962
000300.SH,002001.SZ,20260506,0.1961
000300.SH,601390.SH,20260506,0.195
000300.SH,002600.SZ,20260506,0.1937
000300.SH,600585.SH,20260506,0.1905
000300.SH,601825.SH,20260506,0.1902
000300.SH,300015.SZ,20260506,0.1886
000300.SH,600160.SH,20260506,0.1878
000300.SH,002648.SZ,20260506,0.1865
000300.SH,600875.SH,20260506,0.1862
000300.SH,600958.SH,20260506,0.1834
000300.SH,601838.SH,20260506,0.1832
000300.SH,600362.SH,20260506,0.1829
000300.SH,601669.SH,20260506,0.1821
000300.SH,600346.SH,20260506,0.1812
000300.SH,600066.SH,20260506,0.1798
000300.SH,002179.SZ,20260506,0.1774
000300.SH,000538.SZ,20260506,0.1764
000300.SH,000625.SZ,20260506,0.1761
000300.SH,600438.SH,20260506,0.1761
000300.SH,600048.SH,20260506,0.1726
000300.SH,000975.SZ,20260506,0.1726
000300.SH,300418.SZ,20260506,0.1718
000300.SH,601916.SH,20260506,0.1688
000300.SH,600482.SH,20260506,0.1678
000300.SH,603296.SH,20260506,0.1675
000300.SH,601998.SH,20260506,0.1658
000300.SH,000166.SZ,20260506,0.1618
000300.SH,600795.SH,20260506,0.1611
000300.SH,600015.SH,20260506,0.1611
000300.SH,688126.SH,20260506,0.1607
000300.SH,600436.SH,20260506,0.1601
000300.SH,601377.SH,20260506,0.1601
000300.SH,002074.SZ,20260506,0.1569
000300.SH,605499.SH,20260506,0.1567
000300.SH,600570.SH,20260506,0.1559
000300.SH,002493.SZ,20260506,0.1542
000300.SH,600760.SH,20260506,0.154
000300.SH,600188.SH,20260506,0.1538
000300.SH,601995.SH,20260506,0.1522
000300.SH,002311.SZ,20260506,0.1508
000300.SH,601360.SH,20260506,0.1505
000300.SH,000157.SZ,20260506,0.1496
000300.SH,601868.SH,20260506,0.1492
000300.SH,601077.SH,20260506,0.1447
000300.SH,300661.SZ,20260506,0.1437
000300.SH,603893.SH,20260506,0.1434
000300.SH,600219.SH,20260506,0.1434
000300.SH,002422.SZ,20260506,0.1429
000300.SH,600115.SH,20260506,0.1413
000300.SH,600026.SH,20260506,0.1398
000300.SH,300803.SZ,20260506,0.1388
000300.SH,600233.SH,20260506,0.138
000300.SH,600415.SH,20260506,0.1365
000300.SH,688047.SH,20260506,0.1362
000300.SH,601058.SH,20260506,0.1361
000300.SH,002236.SZ,20260506,0.1357
000300.SH,003816.SZ,20260506,0.1356
000300.SH,300782.SZ,20260506,0.1337
000300.SH,601877.SH,20260506,0.1337
000300.SH,000301.SZ,20260506,0.1326
000300.SH,600460.SH,20260506,0.1297
000300.SH,600009.SH,20260506,0.1279
000300.SH,601898.SH,20260506,0.1275
000300.SH,688036.SH,20260506,0.1256
000300.SH,002736.SZ,20260506,0.1247
000300.SH,600886.SH,20260506,0.1232
000300.SH,000768.SZ,20260506,0.1228
000300.SH,001979.SZ,20260506,0.1226
000300.SH,600372.SH,20260506,0.1207
000300.SH,601698.SH,20260506,0.12
000300.SH,600196.SH,20260506,0.1182
000300.SH,600011.SH,20260506,0.1181
000300.SH,601117.SH,20260506,0.1175
000300.SH,002920.SZ,20260506,0.1171
000300.SH,601186.SH,20260506,0.1161
000300.SH,601066.SH,20260506,0.1138
000300.SH,688396.SH,20260506,0.1131
000300.SH,601788.SH,20260506,0.1125
000300.SH,601901.SH,20260506,0.1122
000300.SH,600674.SH,20260506,0.1119
000300.SH,600029.SH,20260506,0.1115
000300.SH,002252.SZ,20260506,0.1111
000300.SH,002304.SZ,20260506,0.1102
000300.SH,000963.SZ,20260506,0.1097
000300.SH,300316.SZ,20260506,0.1097
000300.SH,600741.SH,20260506,0.1095
000300.SH,300759.SZ,20260506,0.1091
000300.SH,000895.SZ,20260506,0.1082
000300.SH,002601.SZ,20260506,0.1063
000300.SH,601881.SH,20260506,0.1057
000300.SH,000661.SZ,20260506,0.1047
000300.SH,300347.SZ,20260506,0.1047
000300.SH,000002.SZ,20260506,0.1025
000300.SH,601878.SH,20260506,0.1018
000300.SH,000786.SZ,20260506,0.1018
000300.SH,688223.SH,20260506,0.1008
000300.SH,300866.SZ,20260506,0.0991
000300.SH,301236.SZ,20260506,0.0969
000300.SH,601111.SH,20260506,0.0963
000300.SH,601633.SH,20260506,0.0933
000300.SH,601800.SH,20260506,0.0928
000300.SH,600588.SH,20260506,0.0916
000300.SH,688169.SH,20260506,0.0909
000300.SH,000617.SZ,20260506,0.09
000300.SH,600023.SH,20260506,0.087
000300.SH,601021.SH,20260506,0.0867
000300.SH,601319.SH,20260506,0.0858
000300.SH,688506.SH,20260506,0.0841
000300.SH,600600.SH,20260506,0.0837
000300.SH,002459.SZ,20260506,0.0814
000300.SH,300251.SZ,20260506,0.0809
000300.SH,688472.SH,20260506,0.0808
000300.SH,601618.SH,20260506,0.0791
000300.SH,600039.SH,20260506,0.0786
000300.SH,000983.SZ,20260506,0.0779
000300.SH,603369.SH,20260506,0.0775
000300.SH,600845.SH,20260506,0.0774
000300.SH,302132.SZ,20260506,0.0753
000300.SH,600515.SH,20260506,0.0753
000300.SH,600027.SH,20260506,0.0752
000300.SH,301269.SZ,20260506,0.0739
000300.SH,000876.SZ,20260506,0.0738
000300.SH,001965.SZ,20260506,0.0728
000300.SH,600918.SH,20260506,0.0721
000300.SH,601607.SH,20260506,0.0719
000300.SH,600085.SH,20260506,0.0712
000300.SH,600803.SH,20260506,0.071
000300.SH,300628.SZ,20260506,0.0701
000300.SH,300832.SZ,20260506,0.0694
000300.SH,300122.SZ,20260506,0.0693
000300.SH,600930.SH,20260506,0.0688
000300.SH,600025.SH,20260506,0.0671
000300.SH,300896.SZ,20260506,0.0658
000300.SH,000596.SZ,20260506,0.0651
000300.SH,600061.SH,20260506,0.0647
000300.SH,000999.SZ,20260506,0.0644
000300.SH,300999.SZ,20260506,0.0643
000300.SH,601059.SH,20260506,0.0623
000300.SH,603260.SH,20260506,0.0609
000300.SH,000708.SZ,20260506,0.0587
000300.SH,601238.SH,20260506,0.0585
000300.SH,601456.SH,20260506,0.0571
000300.SH,603392.SH,20260506,0.0568
000300.SH,688082.SH,20260506,0.0567
000300.SH,300413.SZ,20260506,0.0556
000300.SH,601018.SH,20260506,0.0544
000300.SH,688303.SH,20260506,0.0538
000300.SH,600018.SH,20260506,0.0531
000300.SH,600161.SH,20260506,0.0527
000300.SH,688009.SH,20260506,0.0493
000300.SH,688187.SH,20260506,0.0484
000300.SH,603195.SH,20260506,0.0443
000300.SH,601236.SH,20260506,0.0401
000300.SH,601136.SH,20260506,0.0346
000300.SH,601808.SH,20260506,0.033
000300.SH,300979.SZ,20260506,0.0252
000300.SH,601298.SH,20260506,0.0235
000300.SH,600377.SH,20260506,0.0228
000300.SH,001391.SZ,20260506,0.0191
000300.SH,300750.SZ,20260430,4.393
000300.SH,300308.SZ,20260430,3.63
000300.SH,600519.SH,20260430,3.303
000300.SH,601318.SH,20260430,2.411
000300.SH,601899.SH,20260430,2.09
000300.SH,300502.SZ,20260430,1.991
000300.SH,600036.SH,20260430,1.805
000300.SH,000333.SZ,20260430,1.521
000300.SH,688256.SH,20260430,1.366
000300.SH,002475.SZ,20260430,1.301
