ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
159995.SZ,20260508,2.237,2.196,2.199,2.147,2.173,-0.064,-2.861,4793892.51,1041785.934
159995.SZ,20260507,2.204,2.213,2.249,2.187,2.237,0.033,1.4973,6657883.06,1473762.004
159995.SZ,20260506,2.073,2.175,2.28,2.17,2.204,0.131,6.3193,9890913.66,2201505.793
159995.SZ,20260430,1.97,2.005,2.084,1.998,2.073,0.103,5.2284,6308396.4,1289446.78
159995.SZ,20260429,1.98,1.96,1.973,1.915,1.97,-0.01,-0.5051,4225080.03,824766.176
159995.SZ,20260428,2.006,1.989,2.038,1.967,1.98,-0.026,-1.2961,5378900.91,1075453.67
159995.SZ,20260427,1.912,1.951,2.014,1.938,2.006,0.094,4.9163,6819100.59,1350707.124
159995.SZ,20260424,1.879,1.887,1.936,1.865,1.912,0.033,1.7563,6092944.04,1163651.883
159995.SZ,20260423,1.904,1.934,1.938,1.862,1.879,-0.025,-1.313,4280688.2,813479.941
159995.SZ,20260422,1.854,1.849,1.906,1.84,1.904,0.05,2.6969,4270192.75,804377.899
159995.SZ,20260421,1.881,1.879,1.879,1.828,1.854,-0.027,-1.4354,2868286.61,530176.775
159995.SZ,20260420,1.848,1.844,1.887,1.844,1.881,0.033,1.7857,3225315.01,603209.869
159995.SZ,20260417,1.836,1.834,1.868,1.829,1.848,0.012,0.6536,3053370.74,564467.029
159995.SZ,20260416,1.815,1.823,1.838,1.804,1.836,0.021,1.157,3452265.04,628933.967
159995.SZ,20260415,1.825,1.839,1.857,1.807,1.815,-0.01,-0.5479,4965271.5,911746.774
159995.SZ,20260414,1.786,1.815,1.834,1.804,1.825,0.039,2.1837,3615166.04,658020.293
159995.SZ,20260413,1.774,1.762,1.824,1.762,1.786,0.012,0.6764,4605172.0,825963.036
159995.SZ,20260410,1.743,1.769,1.8,1.766,1.774,0.031,1.7785,4123022.71,735102.597
159995.SZ,20260409,1.744,1.717,1.763,1.71,1.743,-0.001,-0.0573,3435456.0,598162.381
159995.SZ,20260408,1.642,1.688,1.746,1.688,1.744,0.102,6.2119,5229911.66,896293.985
159995.SZ,20260407,1.619,1.628,1.66,1.625,1.642,0.023,1.4206,2902650.83,477609.967
159995.SZ,20260403,1.624,1.634,1.64,1.615,1.619,-0.005,-0.3079,2386430.0,388174.593
159995.SZ,20260402,1.67,1.67,1.671,1.613,1.624,-0.046,-2.7545,3152827.0,516408.776
159995.SZ,20260401,1.621,1.66,1.68,1.654,1.67,0.049,3.0228,3889749.0,648225.765
159995.SZ,20260331,1.68,1.67,1.674,1.618,1.621,-0.059,-3.5119,4901863.92,809623.618
159995.SZ,20260330,1.685,1.65,1.687,1.643,1.68,-0.005,-0.2967,2874009.96,477680.662
159995.SZ,20260327,1.683,1.649,1.7,1.64,1.685,0.002,0.1188,3612910.4,603361.541
159995.SZ,20260326,1.722,1.716,1.718,1.676,1.683,-0.039,-2.2648,2519137.0,427650.712
159995.SZ,20260325,1.684,1.695,1.738,1.693,1.722,0.038,2.2565,3912277.03,673134.614
159995.SZ,20260324,1.663,1.681,1.686,1.627,1.684,0.021,1.2628,4242267.19,702923.346
159995.SZ,20260323,1.746,1.7,1.717,1.649,1.663,-0.083,-4.7537,4028814.12,679129.838
159995.SZ,20260320,1.774,1.78,1.787,1.745,1.746,-0.028,-1.5784,3581696.48,634192.511
159995.SZ,20260319,1.818,1.784,1.793,1.765,1.774,-0.044,-2.4202,3908272.55,695344.835
159995.SZ,20260318,1.782,1.792,1.82,1.782,1.818,0.036,2.0202,3733406.04,672725.481
159995.SZ,20260317,1.832,1.836,1.837,1.78,1.782,-0.05,-2.7293,3344726.01,605463.643
159995.SZ,20260316,1.8,1.796,1.837,1.765,1.832,0.032,1.7778,5301584.36,952697.881
