ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
512200.SH,20260508,1.47,1.464,1.493,1.462,1.488,0.018,1.2245,1298534.19,192610.407
512200.SH,20260507,1.462,1.462,1.476,1.46,1.47,0.008,0.5472,1875182.4,275329.829
512200.SH,20260506,1.438,1.45,1.469,1.439,1.462,0.024,1.669,1736132.76,252303.916
512200.SH,20260430,1.414,1.415,1.443,1.41,1.438,0.024,1.6973,825641.4,118217.367
512200.SH,20260429,1.385,1.384,1.417,1.38,1.414,0.029,2.0939,1154682.43,162764.757
512200.SH,20260428,1.38,1.375,1.393,1.375,1.385,0.005,0.3623,761308.51,105432.094
512200.SH,20260427,1.383,1.378,1.383,1.36,1.38,-0.003,-0.2169,1035461.59,141871.799
512200.SH,20260424,1.392,1.385,1.39,1.376,1.383,-0.009,-0.6466,813579.34,112476.64
512200.SH,20260423,1.4,1.402,1.404,1.385,1.392,-0.008,-0.5714,1271403.45,176802.348
512200.SH,20260422,1.393,1.391,1.401,1.388,1.4,0.007,0.5025,705271.31,98470.519
512200.SH,20260421,1.398,1.396,1.404,1.389,1.393,-0.005,-0.3577,887448.97,123684.726
512200.SH,20260420,1.404,1.397,1.398,1.388,1.398,-0.006,-0.4274,697055.09,97152.94
512200.SH,20260417,1.381,1.379,1.416,1.379,1.404,0.023,1.6655,1506594.23,211173.628
512200.SH,20260416,1.377,1.369,1.383,1.368,1.381,0.004,0.2905,808709.68,111291.678
512200.SH,20260415,1.398,1.398,1.402,1.372,1.377,-0.021,-1.5021,1225606.63,169783.137
512200.SH,20260414,1.36,1.366,1.399,1.363,1.398,0.038,2.7941,2348217.59,325473.995
512200.SH,20260413,1.348,1.338,1.364,1.335,1.36,0.012,0.8902,2948147.9,399977.38
512200.SH,20260410,1.334,1.336,1.358,1.336,1.348,0.014,1.0495,590359.14,79756.567
512200.SH,20260409,1.353,1.345,1.348,1.329,1.334,-0.019,-1.4043,601948.0,80446.158
512200.SH,20260408,1.303,1.318,1.353,1.318,1.353,0.05,3.8373,751960.57,100647.87
512200.SH,20260407,1.301,1.296,1.307,1.294,1.303,0.002,0.1537,523590.02,68135.607
512200.SH,20260403,1.329,1.33,1.331,1.296,1.301,-0.028,-2.1068,890196.08,116267.536
512200.SH,20260402,1.364,1.356,1.359,1.323,1.329,-0.035,-2.566,4339205.79,580280.186
512200.SH,20260401,1.356,1.367,1.374,1.354,1.364,0.008,0.59,1147389.04,156065.706
512200.SH,20260331,1.369,1.37,1.389,1.353,1.356,-0.013,-0.9496,1011971.24,138867.2
512200.SH,20260330,1.373,1.354,1.372,1.342,1.369,-0.004,-0.2913,2333127.05,317560.279
512200.SH,20260327,1.363,1.356,1.376,1.35,1.373,0.01,0.7337,715449.75,97736.945
512200.SH,20260326,1.389,1.386,1.396,1.359,1.363,-0.026,-1.8719,660452.95,90860.92
512200.SH,20260325,1.369,1.368,1.389,1.367,1.389,0.02,1.4609,2285418.84,315812.868
512200.SH,20260324,1.331,1.345,1.371,1.333,1.369,0.038,2.855,1718742.77,232154.101
512200.SH,20260323,1.401,1.39,1.39,1.322,1.331,-0.07,-4.9964,1884475.83,254548.562
512200.SH,20260320,1.426,1.426,1.435,1.401,1.401,-0.025,-1.7532,1311868.62,185511.602
512200.SH,20260319,1.466,1.45,1.455,1.419,1.426,-0.04,-2.7285,1582598.92,227520.6
512200.SH,20260318,1.482,1.481,1.481,1.452,1.466,-0.016,-1.0796,1399473.29,204598.836
512200.SH,20260317,1.477,1.476,1.509,1.476,1.482,0.005,0.3385,1500456.9,224151.357
512200.SH,20260316,1.468,1.468,1.489,1.467,1.477,0.009,0.6131,1034229.71,152761.758
512200.SH,20260313,1.468,1.462,1.494,1.462,1.468,0.0,0.0,768743.0,113838.707
512200.SH,20260312,1.472,1.47,1.478,1.46,1.468,-0.004,-0.2717,642354.86,94381.858
