etf_code,etf_name,status,rows,path
512000.SH,券商ETF,ok,1292,C:\Users\zhanc\Documents\GitHub\Industry_ETF_0509\data\local_csv\etf_daily_512000.SH.csv
512800.SH,银行ETF,ok,1292,C:\Users\zhanc\Documents\GitHub\Industry_ETF_0509\data\local_csv\etf_daily_512800.SH.csv
512200.SH,地产ETF,ok,1292,C:\Users\zhanc\Documents\GitHub\Industry_ETF_0509\data\local_csv\etf_daily_512200.SH.csv
159928.SZ,消费ETF,ok,1292,C:\Users\zhanc\Documents\GitHub\Industry_ETF_0509\data\local_csv\etf_daily_159928.SZ.csv
512010.SH,医药ETF,ok,1291,C:\Users\zhanc\Documents\GitHub\Industry_ETF_0509\data\local_csv\etf_daily_512010.SH.csv
512480.SH,半导体ETF,ok,1291,C:\Users\zhanc\Documents\GitHub\Industry_ETF_0509\data\local_csv\etf_daily_512480.SH.csv
159995.SZ,芯片ETF,ok,1292,C:\Users\zhanc\Documents\GitHub\Industry_ETF_0509\data\local_csv\etf_daily_159995.SZ.csv
159819.SZ,人工智能ETF,ok,1292,C:\Users\zhanc\Documents\GitHub\Industry_ETF_0509\data\local_csv\etf_daily_159819.SZ.csv
512660.SH,军工ETF,ok,1292,C:\Users\zhanc\Documents\GitHub\Industry_ETF_0509\data\local_csv\etf_daily_512660.SH.csv
515030.SH,新能源车ETF,ok,1292,C:\Users\zhanc\Documents\GitHub\Industry_ETF_0509\data\local_csv\etf_daily_515030.SH.csv
515790.SH,光伏ETF,ok,1292,C:\Users\zhanc\Documents\GitHub\Industry_ETF_0509\data\local_csv\etf_daily_515790.SH.csv
512400.SH,有色金属ETF,ok,1292,C:\Users\zhanc\Documents\GitHub\Industry_ETF_0509\data\local_csv\etf_daily_512400.SH.csv
515220.SH,煤炭ETF,ok,1292,C:\Users\zhanc\Documents\GitHub\Industry_ETF_0509\data\local_csv\etf_daily_515220.SH.csv
515210.SH,钢铁ETF,ok,1292,C:\Users\zhanc\Documents\GitHub\Industry_ETF_0509\data\local_csv\etf_daily_515210.SH.csv
561560.SH,电力ETF,ok,965,C:\Users\zhanc\Documents\GitHub\Industry_ETF_0509\data\local_csv\etf_daily_561560.SH.csv
510880.SH,红利ETF,ok,1292,C:\Users\zhanc\Documents\GitHub\Industry_ETF_0509\data\local_csv\etf_daily_510880.SH.csv
